img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-12.64560	water_buffalo	manhole_cover	9.99999	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000003.png	Shetland_sheepdog	-4.87404	triceratops	sundial	9.99933	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000006.png	garter_snake	-10.37235	nematode	sundial	9.97076	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000007.png	porcupine	-5.82585	porcupine	barrel	9.99469	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000010.png	Angora	7.08216	Maltese_dog	wig	0.00000	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000011.png	brain_coral	-3.32457	brain_coral	jackfruit	9.99658	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000012.png	cougar	3.80010	cougar	window_screen	9.96085	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000013.png	guenon	0.58019	guenon	jigsaw_puzzle	9.99999	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000016.png	grey_whale	-7.02597	grey_whale	volcano	9.96862	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000017.png	sea_anemone	-0.15040	goldfish	fire_screen	9.94959	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000018.png	vulture	-22.95668	hammerhead	jigsaw_puzzle	9.97439	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000021.png	porcupine	-12.69080	barn_spider	spider_web	9.99925	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000022.png	Ibizan_hound	-5.00767	cock	chain_saw	9.99106	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000025.png	vulture	-3.67452	vulture	worm_fence	9.99496	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000027.png	white_wolf	-6.12185	white_wolf	maze	9.99410	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000028.png	English_foxhound	2.77707	beagle	tennis_ball	9.84323	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000029.png	green_snake	-1.93543	green_snake	sombrero	9.98426	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000031.png	cabbage_butterfly	1.33326	cabbage_butterfly	head_cabbage	9.99575	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000033.png	sea_lion	-6.83406	terrapin	manhole_cover	9.96618	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000034.png	ballplayer	1.62091	ballplayer	knee_pad	0.00000	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000037.png	tailed_frog	-10.24551	cockroach	wok	10.00000	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000040.png	garden_spider	-4.30602	garden_spider	spider_web	9.99997	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000043.png	spoonbill	2.01736	spoonbill	poncho	9.99641	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000044.png	standard_schnauzer	-7.33512	West_Highland_white_terrier	maze	9.98569	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000045.png	Newfoundland	-10.76522	peacock	stole	9.97210	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000048.png	English_foxhound	-14.34526	kelpie	muzzle	9.99991	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000050.png	sturgeon	0.95850	gar	butcher_shop	0.00000	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000051.png	bee_eater	-8.26990	peacock	quill	9.90742	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000052.png	axolotl	-2.48693	brain_coral	coral_reef	9.99076	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000055.png	polecat	-25.10685	Persian_cat	bassinet	9.99898	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000057.png	Pomeranian	-5.15837	groom	tub	9.98693	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000058.png	stinkhorn	-6.81586	stinkhorn	broccoli	9.99999	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	-5.41622	curly-coated_retriever	doormat	9.99391	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000063.png	jellyfish	-22.84659	partridge	poncho	9.99694	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000064.png	green_lizard	-0.12253	common_iguana	rule	9.95919	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000066.png	eel	-1.60133	brain_coral	coral_reef	9.99999	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000067.png	tusker	-4.12919	tusker	chain_mail	9.96749	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000072.png	dugong	-18.80600	Lhasa	sleeping_bag	9.97832	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000073.png	kite	-22.11256	sulphur-crested_cockatoo	jigsaw_puzzle	9.99255	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000075.png	black_grouse	0.20795	black_grouse	worm_fence	9.97683	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	-12.62616	ruffed_grouse	muzzle	9.98934	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000078.png	African_hunting_dog	-13.48688	llama	muzzle	9.99520	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000079.png	otterhound	3.03842	cocker_spaniel	seat_belt	9.99408	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000082.png	Afghan_hound	-16.31852	Afghan_hound	fur_coat	9.99764	resnet18.noise-16	resnext50_32x4d
ILSVRC2012_val_00000084.png	water_snake	-12.14549	garden_spider	spider_web	9.99968	resnet18.noise-16	resnext50_32x4d
