img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-3.45774	rock_python	revolver	9.99127	resnet18.noise-4	resnet50
ILSVRC2012_val_00000003.png	Shetland_sheepdog	4.53519	Shetland_sheepdog	jigsaw_puzzle	9.94454	resnet18.noise-4	resnet50
ILSVRC2012_val_00000006.png	garter_snake	-0.82418	water_snake	maze	9.96101	resnet18.noise-4	resnet50
ILSVRC2012_val_00000007.png	porcupine	-7.63576	porcupine	hay	9.99385	resnet18.noise-4	resnet50
ILSVRC2012_val_00000010.png	Angora	-11.18295	toy_poodle	wig	9.97064	resnet18.noise-4	resnet50
ILSVRC2012_val_00000011.png	brain_coral	3.31447	brain_coral	coral_reef	9.99731	resnet18.noise-4	resnet50
ILSVRC2012_val_00000012.png	cougar	10.26080	cougar	window_screen	9.95168	resnet18.noise-4	resnet50
ILSVRC2012_val_00000013.png	guenon	5.97563	guenon	wig	9.95993	resnet18.noise-4	resnet50
ILSVRC2012_val_00000016.png	grey_whale	-5.41237	chiton	church	9.96242	resnet18.noise-4	resnet50
ILSVRC2012_val_00000017.png	sea_anemone	-2.27629	brain_coral	teddy	9.94151	resnet18.noise-4	resnet50
ILSVRC2012_val_00000018.png	vulture	-8.10711	starfish	jersey	9.99249	resnet18.noise-4	resnet50
ILSVRC2012_val_00000021.png	porcupine	-7.12567	lorikeet	spider_web	9.99867	resnet18.noise-4	resnet50
ILSVRC2012_val_00000022.png	Ibizan_hound	-12.31633	ox	barrow	9.94246	resnet18.noise-4	resnet50
ILSVRC2012_val_00000025.png	vulture	-3.52530	vulture	worm_fence	9.98499	resnet18.noise-4	resnet50
ILSVRC2012_val_00000027.png	white_wolf	0.49414	triceratops	chain_mail	9.94705	resnet18.noise-4	resnet50
ILSVRC2012_val_00000028.png	English_foxhound	-1.09377	Cardigan	soccer_ball	9.99909	resnet18.noise-4	resnet50
ILSVRC2012_val_00000029.png	green_snake	-1.66453	green_snake	confectionery	9.92798	resnet18.noise-4	resnet50
ILSVRC2012_val_00000031.png	cabbage_butterfly	0.64854	cabbage_butterfly	head_cabbage	9.93312	resnet18.noise-4	resnet50
ILSVRC2012_val_00000033.png	sea_lion	-8.21725	terrapin	manhole_cover	9.96145	resnet18.noise-4	resnet50
ILSVRC2012_val_00000034.png	ballplayer	-9.25871	ballplayer	crutch	9.97658	resnet18.noise-4	resnet50
ILSVRC2012_val_00000037.png	tailed_frog	-7.63999	terrapin	strainer	9.98995	resnet18.noise-4	resnet50
ILSVRC2012_val_00000040.png	garden_spider	-3.49659	garden_spider	spider_web	9.99986	resnet18.noise-4	resnet50
ILSVRC2012_val_00000043.png	spoonbill	5.38735	spoonbill	brassiere	9.99815	resnet18.noise-4	resnet50
ILSVRC2012_val_00000044.png	standard_schnauzer	-5.05499	Scotch_terrier	doormat	9.99430	resnet18.noise-4	resnet50
ILSVRC2012_val_00000045.png	Newfoundland	-12.27909	brain_coral	cardigan	9.94455	resnet18.noise-4	resnet50
ILSVRC2012_val_00000048.png	English_foxhound	-27.72907	groom	bubble	9.95303	resnet18.noise-4	resnet50
ILSVRC2012_val_00000050.png	sturgeon	-4.54831	Indian_elephant	jean	9.96880	resnet18.noise-4	resnet50
ILSVRC2012_val_00000051.png	bee_eater	-2.10275	terrapin	fountain_pen	9.96076	resnet18.noise-4	resnet50
ILSVRC2012_val_00000052.png	axolotl	-2.31782	brain_coral	coral_reef	9.99612	resnet18.noise-4	resnet50
ILSVRC2012_val_00000055.png	polecat	-16.14135	beagle	bassinet	9.96484	resnet18.noise-4	resnet50
ILSVRC2012_val_00000057.png	Pomeranian	-7.87384	Chihuahua	muzzle	9.98709	resnet18.noise-4	resnet50
ILSVRC2012_val_00000058.png	stinkhorn	-10.63644	stinkhorn	broccoli	9.93719	resnet18.noise-4	resnet50
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	-2.17985	giant_schnauzer	stole	9.94530	resnet18.noise-4	resnet50
ILSVRC2012_val_00000063.png	jellyfish	-11.33007	groom	poncho	9.98493	resnet18.noise-4	resnet50
ILSVRC2012_val_00000064.png	green_lizard	1.31151	green_lizard	cucumber	9.94806	resnet18.noise-4	resnet50
ILSVRC2012_val_00000066.png	eel	2.03613	brain_coral	coral_reef	9.98733	resnet18.noise-4	resnet50
ILSVRC2012_val_00000067.png	tusker	-6.62424	tusker	chain_mail	9.94319	resnet18.noise-4	resnet50
ILSVRC2012_val_00000072.png	dugong	-14.53581	brain_coral	sock	9.94175	resnet18.noise-4	resnet50
ILSVRC2012_val_00000073.png	kite	-3.04535	pug	screw	9.95478	resnet18.noise-4	resnet50
ILSVRC2012_val_00000075.png	black_grouse	8.39131	black_grouse	stole	9.95121	resnet18.noise-4	resnet50
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	-8.71580	Saluki	muzzle	9.99588	resnet18.noise-4	resnet50
ILSVRC2012_val_00000078.png	African_hunting_dog	-2.48319	African_hunting_dog	muzzle	9.95019	resnet18.noise-4	resnet50
ILSVRC2012_val_00000079.png	otterhound	-2.75435	golden_retriever	tennis_ball	9.98232	resnet18.noise-4	resnet50
ILSVRC2012_val_00000082.png	Afghan_hound	-2.53887	Afghan_hound	fur_coat	9.95709	resnet18.noise-4	resnet50
ILSVRC2012_val_00000084.png	water_snake	-7.51711	garden_spider	spider_web	9.99733	resnet18.noise-4	resnet50
ILSVRC2012_val_00000087.png	siamang	-8.58130	garden_spider	spider_web	9.99463	resnet18.noise-4	resnet50
ILSVRC2012_val_00000088.png	spotted_salamander	-4.30660	chiton	spider_web	9.99052	resnet18.noise-4	resnet50
ILSVRC2012_val_00000090.png	American_alligator	2.84539	American_alligator	zucchini	9.93617	resnet18.noise-4	resnet50
ILSVRC2012_val_00000091.png	white_wolf	0.66122	kuvasz	muzzle	9.99239	resnet18.noise-4	resnet50
ILSVRC2012_val_00000092.png	Madagascar_cat	-7.68071	guenon	broccoli	9.95149	resnet18.noise-4	resnet50
ILSVRC2012_val_00000093.png	gorilla	-5.75792	gorilla	sweatshirt	9.93530	resnet18.noise-4	resnet50
ILSVRC2012_val_00000095.png	macaque	-5.85810	chow	teddy	9.95114	resnet18.noise-4	resnet50
ILSVRC2012_val_00000097.png	wood_rabbit	-4.48996	hare	maze	9.98976	resnet18.noise-4	resnet50
ILSVRC2012_val_00000098.png	dowitcher	2.60891	dowitcher	bonnet	9.99124	resnet18.noise-4	resnet50
ILSVRC2012_val_00000100.png	bighorn	-11.86990	marmot	maze	9.94930	resnet18.noise-4	resnet50
ILSVRC2012_val_00000102.png	Rhodesian_ridgeback	-10.20403	bull_mastiff	muzzle	9.99075	resnet18.noise-4	resnet50
ILSVRC2012_val_00000105.png	silky_terrier	-8.16483	starfish	poncho	9.97549	resnet18.noise-4	resnet50
ILSVRC2012_val_00000107.png	harvestman	-1.65102	harvestman	maypole	9.96956	resnet18.noise-4	resnet50
ILSVRC2012_val_00000111.png	American_lobster	1.95317	American_lobster	plate	9.99503	resnet18.noise-4	resnet50
ILSVRC2012_val_00000113.png	kelpie	-6.87272	kelpie	muzzle	9.93997	resnet18.noise-4	resnet50
ILSVRC2012_val_00000115.png	Ibizan_hound	-10.28564	pug	wallet	9.97812	resnet18.noise-4	resnet50
ILSVRC2012_val_00000124.png	rock_beauty	-2.93592	Labrador_retriever	muzzle	9.94895	resnet18.noise-4	resnet50
ILSVRC2012_val_00000125.png	grasshopper	-8.38069	garden_spider	hip	9.99316	resnet18.noise-4	resnet50
ILSVRC2012_val_00000127.png	impala	-18.98127	impala	shopping_cart	9.94464	resnet18.noise-4	resnet50
ILSVRC2012_val_00000128.png	bald_eagle	-11.57475	scuba_diver	ski	9.98649	resnet18.noise-4	resnet50
ILSVRC2012_val_00000130.png	Persian_cat	-1.66898	Persian_cat	washer	9.97520	resnet18.noise-4	resnet50
ILSVRC2012_val_00000133.png	hyena	-6.70206	cheetah	acorn	9.99447	resnet18.noise-4	resnet50
ILSVRC2012_val_00000134.png	Doberman	-5.56292	macaw	maypole	9.94514	resnet18.noise-4	resnet50
ILSVRC2012_val_00000136.png	warthog	-4.86391	armadillo	mousetrap	9.95329	resnet18.noise-4	resnet50
ILSVRC2012_val_00000138.png	sea_urchin	4.67415	sea_urchin	cardoon	9.99479	resnet18.noise-4	resnet50
ILSVRC2012_val_00000141.png	bloodhound	-16.76841	triceratops	jigsaw_puzzle	9.92214	resnet18.noise-4	resnet50
ILSVRC2012_val_00000142.png	sea_urchin	-2.86490	sea_urchin	coral_reef	9.99570	resnet18.noise-4	resnet50
ILSVRC2012_val_00000147.png	toy_poodle	-10.12234	tabby	sock	9.95702	resnet18.noise-4	resnet50
ILSVRC2012_val_00000153.png	common_iguana	14.31859	common_iguana	analog_clock	9.98269	resnet18.noise-4	resnet50
ILSVRC2012_val_00000154.png	sea_slug	1.60614	sea_slug	strainer	9.93632	resnet18.noise-4	resnet50
ILSVRC2012_val_00000156.png	coyote	-2.44135	red_fox	mousetrap	9.97480	resnet18.noise-4	resnet50
ILSVRC2012_val_00000157.png	red_fox	-2.64176	red_fox	jigsaw_puzzle	9.95577	resnet18.noise-4	resnet50
ILSVRC2012_val_00000161.png	Irish_setter	-11.90426	German_shepherd	muzzle	9.95757	resnet18.noise-4	resnet50
ILSVRC2012_val_00000170.png	toy_terrier	-0.70739	peacock	umbrella	9.94396	resnet18.noise-4	resnet50
ILSVRC2012_val_00000172.png	English_setter	-15.36109	triceratops	sewing_machine	9.95555	resnet18.noise-4	resnet50
ILSVRC2012_val_00000174.png	Great_Pyrenees	-2.47768	triceratops	piggy_bank	9.98829	resnet18.noise-4	resnet50
ILSVRC2012_val_00000176.png	miniature_schnauzer	-2.11193	affenpinscher	tennis_ball	9.94358	resnet18.noise-4	resnet50
ILSVRC2012_val_00000177.png	red-backed_sandpiper	-0.24496	bittern	reel	9.95610	resnet18.noise-4	resnet50
ILSVRC2012_val_00000178.png	Eskimo_dog	3.34208	Eskimo_dog	dogsled	9.99544	resnet18.noise-4	resnet50
ILSVRC2012_val_00000179.png	sorrel	-0.11238	sorrel	horse_cart	9.99484	resnet18.noise-4	resnet50
ILSVRC2012_val_00000180.png	Shetland_sheepdog	-6.21579	peacock	soccer_ball	9.94619	resnet18.noise-4	resnet50
ILSVRC2012_val_00000181.png	skunk	-5.07456	three-toed_sloth	barbershop	9.95810	resnet18.noise-4	resnet50
ILSVRC2012_val_00000186.png	snow_leopard	-13.36643	tabby	mitten	9.94514	resnet18.noise-4	resnet50
