img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-3.92028	boa_constrictor	chain	9.94809	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000003.png	Shetland_sheepdog	4.92060	Shetland_sheepdog	tennis_ball	9.99557	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000006.png	garter_snake	-1.79327	water_snake	safety_pin	9.97758	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000007.png	porcupine	3.70871	porcupine	barrel	9.99438	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000010.png	Angora	-6.54319	Maltese_dog	wig	9.98433	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000011.png	brain_coral	3.96340	brain_coral	coral_reef	9.99890	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000012.png	cougar	8.31715	cougar	window_screen	9.98324	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000013.png	guenon	5.70810	guenon	jigsaw_puzzle	9.97465	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000016.png	grey_whale	-2.13909	grey_whale	quilt	9.98744	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000017.png	sea_anemone	-1.62836	goldfish	candle	9.93031	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000018.png	vulture	-2.06506	hammerhead	handkerchief	9.98905	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000021.png	porcupine	-1.65547	porcupine	spider_web	9.99714	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000022.png	Ibizan_hound	-4.24237	ox	plow	9.98905	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000025.png	vulture	2.66989	vulture	plow	9.99160	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000027.png	white_wolf	7.05512	white_wolf	dogsled	9.99220	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000028.png	English_foxhound	3.44220	beagle	tennis_ball	9.99089	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000029.png	green_snake	4.56091	green_mamba	quilt	9.93555	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000031.png	cabbage_butterfly	1.87033	sulphur_butterfly	pot	9.91777	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000033.png	sea_lion	-1.05901	otter	shower_cap	9.96301	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000034.png	ballplayer	-5.26011	ballplayer	crutch	9.99255	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000037.png	tailed_frog	-2.63607	scorpion	scabbard	9.99452	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000040.png	garden_spider	-0.93925	garden_spider	spider_web	9.99691	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000043.png	spoonbill	7.28312	spoonbill	canoe	9.99541	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000044.png	standard_schnauzer	4.87989	standard_schnauzer	doormat	9.99133	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000045.png	Newfoundland	-6.78348	Newfoundland	poncho	9.99115	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000048.png	English_foxhound	-3.35230	Pembroke	muzzle	9.95930	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000050.png	sturgeon	-5.69603	American_alligator	poncho	9.94162	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000051.png	bee_eater	-4.08703	gar	quill	9.94438	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000052.png	axolotl	0.40260	brain_coral	paper_towel	9.99456	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000055.png	polecat	-1.87040	Maltese_dog	paper_towel	9.96945	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000057.png	Pomeranian	3.93575	Pekinese	muzzle	9.99273	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000058.png	stinkhorn	-2.73203	stinkhorn	broccoli	9.99353	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	5.78229	curly-coated_retriever	doormat	9.96114	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000063.png	jellyfish	-5.23702	brain_coral	gown	9.98504	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000064.png	green_lizard	3.59297	green_lizard	window_screen	9.99498	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000066.png	eel	0.65952	brain_coral	coral_reef	9.99614	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000067.png	tusker	5.61438	tusker	megalith	9.99670	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000072.png	dugong	-3.72386	starfish	wool	9.99183	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000073.png	kite	-2.73996	Saint_Bernard	jigsaw_puzzle	9.98914	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000075.png	black_grouse	6.77341	black_grouse	snowmobile	9.99043	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	-0.55621	Great_Dane	muzzle	9.99023	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000078.png	African_hunting_dog	-5.37696	African_hunting_dog	muzzle	9.96947	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000079.png	otterhound	1.17500	cocker_spaniel	wig	9.99261	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000082.png	Afghan_hound	-5.20065	Afghan_hound	fur_coat	9.95495	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000084.png	water_snake	-3.14772	grasshopper	spider_web	9.99771	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000087.png	siamang	-6.92103	groom	bubble	9.96560	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000088.png	spotted_salamander	-1.39675	spiny_lobster	rotisserie	9.97846	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000090.png	American_alligator	4.10880	African_chameleon	acorn	9.97397	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000091.png	white_wolf	5.59215	kuvasz	tennis_ball	9.93466	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000092.png	Madagascar_cat	2.74681	indri	honeycomb	9.98872	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000093.png	gorilla	0.12366	gorilla	muzzle	9.98829	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000095.png	macaque	-2.45165	macaque	jigsaw_puzzle	9.96492	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000097.png	wood_rabbit	1.39720	hen	jigsaw_puzzle	9.97379	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000098.png	dowitcher	5.29952	dowitcher	mushroom	9.94783	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000100.png	bighorn	-4.03475	bighorn	maze	9.99537	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000102.png	Rhodesian_ridgeback	-5.17170	American_Staffordshire_terrier	muzzle	9.99034	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000105.png	silky_terrier	-7.72450	Afghan_hound	broccoli	9.95648	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000107.png	harvestman	-0.20887	harvestman	spider_web	9.99056	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000111.png	American_lobster	1.63068	American_lobster	plate	9.99392	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000113.png	kelpie	3.11557	kelpie	muzzle	9.99073	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000115.png	Ibizan_hound	-1.45683	Pembroke	studio_couch	9.97217	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000124.png	rock_beauty	-0.27526	puffer	custard_apple	9.96673	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000125.png	grasshopper	-5.02214	walking_stick	hip	9.99656	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000127.png	impala	3.00801	impala	mountain_bike	9.94547	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000128.png	bald_eagle	5.17267	kite	picket_fence	9.97645	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000130.png	Persian_cat	-8.31538	Persian_cat	bath_towel	9.93647	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000133.png	hyena	8.22121	hyena	Polaroid_camera	9.98943	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000134.png	Doberman	-5.27108	bloodhound	bubble	9.94009	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000136.png	warthog	-1.56221	brain_coral	handkerchief	9.94785	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000138.png	sea_urchin	1.14981	sea_urchin	cardoon	9.99615	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000141.png	bloodhound	-4.20427	pug	toilet_tissue	9.98399	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000142.png	sea_urchin	0.09182	sea_urchin	coral_reef	9.99858	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000147.png	toy_poodle	-4.54453	miniature_poodle	teddy	9.93948	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000153.png	common_iguana	4.67632	common_iguana	jigsaw_puzzle	9.92944	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000154.png	sea_slug	4.94935	sea_slug	coral_reef	9.98682	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000156.png	coyote	7.90435	dhole	window_screen	9.99268	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000157.png	red_fox	0.34216	chow	teddy	9.93848	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000161.png	Irish_setter	-5.67547	Sussex_spaniel	muzzle	9.97235	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000170.png	toy_terrier	1.53625	basenji	jigsaw_puzzle	9.93052	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000172.png	English_setter	2.76938	English_setter	sewing_machine	9.99149	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000174.png	Great_Pyrenees	1.10871	kuvasz	toyshop	9.99307	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000176.png	miniature_schnauzer	4.46720	Scotch_terrier	muzzle	9.98846	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000177.png	red-backed_sandpiper	8.02519	red-backed_sandpiper	fountain_pen	9.95109	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000178.png	Eskimo_dog	3.89642	malamute	dogsled	9.99466	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000179.png	sorrel	-0.61844	sorrel	carousel	9.94535	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000180.png	Shetland_sheepdog	-2.08035	English_springer	soccer_ball	9.94111	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000181.png	skunk	-6.38010	armadillo	shield	9.99159	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000186.png	snow_leopard	4.70815	snow_leopard	wool	9.99761	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000188.png	coyote	6.99035	coyote	jigsaw_puzzle	9.99022	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000189.png	platypus	-4.42936	Siamese_cat	ashcan	9.98441	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000191.png	American_Staffordshire_terrier	0.40741	bull_mastiff	muzzle	9.98435	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000195.png	Dungeness_crab	4.41122	Dungeness_crab	rotisserie	9.94088	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000196.png	lionfish	5.23293	lionfish	coral_reef	9.98732	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000198.png	bulbul	-1.22496	African_grey	cowboy_boot	9.94133	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000200.png	gyromitra	2.46547	gyromitra	mushroom	9.99955	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000203.png	Bouvier_des_Flandres	2.34111	Bouvier_des_Flandres	hay	9.99836	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000206.png	proboscis_monkey	-7.37763	proboscis_monkey	jackfruit	9.96063	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000207.png	albatross	4.64758	baboon	rifle	10.00000	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000211.png	Siamese_cat	2.96328	Siamese_cat	carton	9.97219	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000217.png	bulbul	4.82747	bulbul	worm_fence	9.99294	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000218.png	wolf_spider	4.09540	barn_spider	spider_web	9.99002	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000220.png	pug	4.76899	pug	mask	9.99308	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000224.png	Irish_setter	3.09608	golden_retriever	tennis_ball	9.98897	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000225.png	European_fire_salamander	-3.45097	European_fire_salamander	mask	9.95267	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000227.png	Brittany_spaniel	-1.14471	Brittany_spaniel	bath_towel	9.93793	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000228.png	Ibizan_hound	-2.23777	Eskimo_dog	dogsled	9.98630	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000229.png	mud_turtle	-3.63450	crayfish	pot	9.89991	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000231.png	hermit_crab	-4.53525	Dungeness_crab	rotisserie	9.99359	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000233.png	snow_leopard	7.70444	snow_leopard	stopwatch	9.94395	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000236.png	goldfish	-6.46629	sulphur-crested_cockatoo	quill	9.93575	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000237.png	English_foxhound	1.73125	Saluki	soccer_ball	9.99006	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000238.png	king_crab	-0.69451	king_crab	corn	9.94129	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000242.png	gorilla	-6.64452	gyromitra	breastplate	9.99471	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000245.png	hermit_crab	2.59670	armadillo	shower_curtain	9.95430	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000246.png	bighorn	5.53146	ram	mask	9.98868	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000247.png	junco	5.20421	junco	spider_web	9.95206	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000248.png	Staffordshire_bullterrier	-0.45744	Staffordshire_bullterrier	muzzle	9.99174	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000255.png	scuba_diver	-1.19952	scuba_diver	snorkel	9.99153	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000258.png	eft	6.53181	eft	chain	9.93813	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000262.png	goldfish	-0.56306	goldfish	coral_reef	9.99112	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000263.png	Saluki	4.60820	Saluki	muzzle	9.95382	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000269.png	Siberian_husky	-1.06402	kuvasz	muzzle	9.96861	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000273.png	skunk	-6.02932	starfish	holster	9.96161	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000276.png	eft	-6.79283	coral_fungus	jigsaw_puzzle	9.96505	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000278.png	bee_eater	5.29516	bee_eater	acorn	9.96567	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000279.png	Dandie_Dinmont	-3.79204	miniature_poodle	dishrag	9.99408	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000283.png	Persian_cat	-1.46896	African_grey	teddy	9.97705	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000293.png	tench	-1.90773	tench	mosquito_net	9.99105	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000297.png	frilled_lizard	-5.82915	triceratops	radiator	9.99998	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000298.png	green_mamba	4.99014	green_mamba	banana	9.98745	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000299.png	trilobite	-4.11604	trilobite	prayer_rug	9.99670	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000300.png	Saluki	1.48892	Saluki	shower_cap	9.97448	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000301.png	sea_cucumber	0.77315	starfish	spider_web	9.97440	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000303.png	tiger	6.70438	jaguar	teddy	9.93502	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000304.png	coral_fungus	7.25194	coral_fungus	mushroom	9.98432	resnet18.elastic-000.40	efficientnet-b0
ILSVRC2012_val_00000306.png	water_buffalo	-2.08368	water_buffalo	canoe	9.99290	resnet18.elastic-000.40	efficientnet-b0
