img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	5.43039	water_snake	safety_pin	9.94179	resnet18.blur-10	efficientnet-b0-advtrain
ILSVRC2012_val_00000003.png	Shetland_sheepdog	6.37140	collie	streetcar	9.95443	resnet18.blur-10	efficientnet-b0-advtrain
ILSVRC2012_val_00000006.png	garter_snake	3.73757	night_snake	lakeside	9.99710	resnet18.blur-10	efficientnet-b0-advtrain
ILSVRC2012_val_00000007.png	porcupine	9.94503	porcupine	quill	9.98627	resnet18.blur-10	efficientnet-b0-advtrain
ILSVRC2012_val_00000010.png	Angora	-2.25811	Maltese_dog	mask	9.93820	resnet18.blur-10	efficientnet-b0-advtrain
ILSVRC2012_val_00000011.png	brain_coral	5.35396	brain_coral	coral_reef	9.98194	resnet18.blur-10	efficientnet-b0-advtrain
ILSVRC2012_val_00000012.png	cougar	8.71851	cougar	maillot	9.93344	resnet18.blur-10	efficientnet-b0-advtrain
ILSVRC2012_val_00000013.png	guenon	6.81487	guenon	bottlecap	9.98418	resnet18.blur-10	efficientnet-b0-advtrain
ILSVRC2012_val_00000016.png	grey_whale	9.19347	grey_whale	bubble	9.93831	resnet18.blur-10	efficientnet-b0-advtrain
ILSVRC2012_val_00000017.png	sea_anemone	-2.23128	sea_anemone	candle	9.92664	resnet18.blur-10	efficientnet-b0-advtrain
ILSVRC2012_val_00000018.png	vulture	7.23151	vulture	balance_beam	9.98203	resnet18.blur-10	efficientnet-b0-advtrain
ILSVRC2012_val_00000021.png	porcupine	9.27325	porcupine	projector	9.98542	resnet18.blur-10	efficientnet-b0-advtrain
ILSVRC2012_val_00000022.png	Ibizan_hound	2.82448	Saluki	bow	9.93418	resnet18.blur-10	efficientnet-b0-advtrain
ILSVRC2012_val_00000025.png	vulture	6.18059	vulture	cloak	9.96592	resnet18.blur-10	efficientnet-b0-advtrain
ILSVRC2012_val_00000027.png	white_wolf	9.67349	white_wolf	streetcar	9.94076	resnet18.blur-10	efficientnet-b0-advtrain
ILSVRC2012_val_00000028.png	English_foxhound	7.81904	Walker_hound	matchstick	9.98781	resnet18.blur-10	efficientnet-b0-advtrain
ILSVRC2012_val_00000029.png	green_snake	6.20792	green_mamba	strawberry	9.93659	resnet18.blur-10	efficientnet-b0-advtrain
ILSVRC2012_val_00000031.png	cabbage_butterfly	7.14913	cabbage_butterfly	head_cabbage	9.97323	resnet18.blur-10	efficientnet-b0-advtrain
ILSVRC2012_val_00000033.png	sea_lion	5.89451	otter	ladle	9.94062	resnet18.blur-10	efficientnet-b0-advtrain
ILSVRC2012_val_00000034.png	ballplayer	0.31905	ballplayer	umbrella	9.98866	resnet18.blur-10	efficientnet-b0-advtrain
