img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-4.82034	water_snake	safety_pin	9.94179	resnet18.blur-10	resnet18
ILSVRC2012_val_00000003.png	Shetland_sheepdog	10.71013	Shetland_sheepdog	croquet_ball	9.95443	resnet18.blur-10	resnet18
ILSVRC2012_val_00000006.png	garter_snake	-0.77547	water_snake	nail	9.99710	resnet18.blur-10	resnet18
ILSVRC2012_val_00000007.png	porcupine	5.39158	porcupine	barrel	9.98627	resnet18.blur-10	resnet18
ILSVRC2012_val_00000010.png	Angora	-11.80370	triceratops	butternut_squash	9.93820	resnet18.blur-10	resnet18
ILSVRC2012_val_00000011.png	brain_coral	7.54580	brain_coral	jackfruit	9.98194	resnet18.blur-10	resnet18
ILSVRC2012_val_00000012.png	cougar	13.49001	cougar	pomegranate	9.93344	resnet18.blur-10	resnet18
ILSVRC2012_val_00000013.png	guenon	15.21575	guenon	binoculars	9.98418	resnet18.blur-10	resnet18
ILSVRC2012_val_00000016.png	grey_whale	6.84292	grey_whale	volcano	9.93831	resnet18.blur-10	resnet18
ILSVRC2012_val_00000017.png	sea_anemone	-0.29021	tarantula	analog_clock	9.92664	resnet18.blur-10	resnet18
ILSVRC2012_val_00000018.png	vulture	4.38607	hummingbird	window_screen	9.98203	resnet18.blur-10	resnet18
ILSVRC2012_val_00000021.png	porcupine	15.49644	porcupine	acorn	9.98542	resnet18.blur-10	resnet18
ILSVRC2012_val_00000022.png	Ibizan_hound	1.05502	English_foxhound	barrow	9.93418	resnet18.blur-10	resnet18
ILSVRC2012_val_00000025.png	vulture	12.74306	vulture	worm_fence	9.96592	resnet18.blur-10	resnet18
ILSVRC2012_val_00000027.png	white_wolf	7.49660	white_wolf	dogsled	9.94076	resnet18.blur-10	resnet18
ILSVRC2012_val_00000028.png	English_foxhound	0.92692	Walker_hound	soccer_ball	9.98781	resnet18.blur-10	resnet18
ILSVRC2012_val_00000029.png	green_snake	6.83521	green_snake	golf_ball	9.93659	resnet18.blur-10	resnet18
ILSVRC2012_val_00000031.png	cabbage_butterfly	1.50665	cabbage_butterfly	cardoon	9.97323	resnet18.blur-10	resnet18
ILSVRC2012_val_00000033.png	sea_lion	0.12913	otter	custard_apple	9.94062	resnet18.blur-10	resnet18
