img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-5.26770	ringneck_snake	safety_pin	9.98854	resnet18.blur-3	densenet-121
ILSVRC2012_val_00000003.png	Shetland_sheepdog	3.80415	Shetland_sheepdog	tennis_ball	9.95470	resnet18.blur-3	densenet-121
ILSVRC2012_val_00000006.png	garter_snake	2.28849	ringneck_snake	safety_pin	9.98577	resnet18.blur-3	densenet-121
ILSVRC2012_val_00000007.png	porcupine	0.76914	cock	barrel	9.94850	resnet18.blur-3	densenet-121
ILSVRC2012_val_00000010.png	Angora	-8.38561	toy_poodle	wig	9.98424	resnet18.blur-3	densenet-121
ILSVRC2012_val_00000011.png	brain_coral	8.40072	brain_coral	coral_reef	9.99553	resnet18.blur-3	densenet-121
ILSVRC2012_val_00000012.png	cougar	13.07917	cougar	tennis_ball	9.97422	resnet18.blur-3	densenet-121
ILSVRC2012_val_00000013.png	guenon	3.48704	guenon	mask	9.99012	resnet18.blur-3	densenet-121
ILSVRC2012_val_00000016.png	grey_whale	6.40140	grey_whale	volcano	9.94598	resnet18.blur-3	densenet-121
ILSVRC2012_val_00000017.png	sea_anemone	-5.33365	starfish	nail	9.93120	resnet18.blur-3	densenet-121
ILSVRC2012_val_00000018.png	vulture	-0.41429	sea_anemone	matchstick	9.93843	resnet18.blur-3	densenet-121
ILSVRC2012_val_00000021.png	porcupine	5.52256	porcupine	spider_web	9.99693	resnet18.blur-3	densenet-121
ILSVRC2012_val_00000022.png	Ibizan_hound	-2.11296	ox	oxcart	9.98127	resnet18.blur-3	densenet-121
ILSVRC2012_val_00000025.png	vulture	4.55381	vulture	worm_fence	9.98731	resnet18.blur-3	densenet-121
ILSVRC2012_val_00000027.png	white_wolf	6.37535	white_wolf	dogsled	9.98203	resnet18.blur-3	densenet-121
ILSVRC2012_val_00000028.png	English_foxhound	2.14101	American_Staffordshire_terrier	tennis_ball	9.98323	resnet18.blur-3	densenet-121
ILSVRC2012_val_00000029.png	green_snake	7.20705	green_snake	shoe_shop	9.99001	resnet18.blur-3	densenet-121
ILSVRC2012_val_00000031.png	cabbage_butterfly	5.96162	cabbage_butterfly	pot	9.92039	resnet18.blur-3	densenet-121
ILSVRC2012_val_00000033.png	sea_lion	-6.21760	terrapin	ocarina	9.98363	resnet18.blur-3	densenet-121
ILSVRC2012_val_00000034.png	ballplayer	-6.99477	ballplayer	ski	9.98872	resnet18.blur-3	densenet-121
ILSVRC2012_val_00000037.png	tailed_frog	-0.23337	leaf_beetle	hip	9.96042	resnet18.blur-3	densenet-121
ILSVRC2012_val_00000040.png	garden_spider	-3.90061	isopod	bubble	9.94930	resnet18.blur-3	densenet-121
ILSVRC2012_val_00000043.png	spoonbill	3.88552	spoonbill	tricycle	9.99648	resnet18.blur-3	densenet-121
ILSVRC2012_val_00000044.png	standard_schnauzer	6.29321	miniature_schnauzer	doormat	9.94787	resnet18.blur-3	densenet-121
ILSVRC2012_val_00000045.png	Newfoundland	-10.10222	Arabian_camel	muzzle	9.98416	resnet18.blur-3	densenet-121
ILSVRC2012_val_00000048.png	English_foxhound	-3.80458	triceratops	thimble	9.98616	resnet18.blur-3	densenet-121
ILSVRC2012_val_00000050.png	sturgeon	-0.57887	barracouta	wool	9.94843	resnet18.blur-3	densenet-121
