img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-0.41480	rock_python	safety_pin	9.97837	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000003.png	Shetland_sheepdog	5.86702	Shetland_sheepdog	mailbag	9.99177	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000006.png	garter_snake	1.54118	night_snake	maze	9.97524	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000007.png	porcupine	8.14162	porcupine	spindle	9.95907	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000010.png	Angora	-8.20884	hamster	teddy	9.97648	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000011.png	brain_coral	4.29184	brain_coral	jackfruit	9.99559	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000012.png	cougar	9.12080	cougar	window_screen	9.97495	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000013.png	guenon	7.88504	guenon	broccoli	9.99567	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000016.png	grey_whale	4.84241	grey_whale	volcano	9.99862	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000017.png	sea_anemone	-2.53297	goldfish	candle	9.96904	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000018.png	vulture	-2.93893	English_springer	handkerchief	9.99353	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000021.png	porcupine	3.32863	porcupine	spider_web	9.95904	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000022.png	Ibizan_hound	-2.60219	ox	stretcher	9.94480	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000025.png	vulture	5.57436	vulture	projectile	9.97572	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000027.png	white_wolf	6.85747	white_wolf	buckle	9.99269	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000028.png	English_foxhound	4.33916	beagle	tennis_ball	9.99446	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000029.png	green_snake	5.08931	green_mamba	cucumber	9.93863	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000031.png	cabbage_butterfly	2.91980	cabbage_butterfly	head_cabbage	9.91703	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000033.png	sea_lion	-0.62528	sea_lion	sundial	9.99540	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000034.png	ballplayer	-2.56601	ballplayer	stretcher	9.98793	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000037.png	tailed_frog	-0.45457	gar	frying_pan	9.97781	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000040.png	garden_spider	0.34371	garden_spider	spider_web	9.99991	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000043.png	spoonbill	7.45317	spoonbill	umbrella	9.99515	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000044.png	standard_schnauzer	7.52118	standard_schnauzer	dishwasher	9.91057	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000045.png	Newfoundland	-5.55302	Newfoundland	mitten	9.99997	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000048.png	English_foxhound	-3.36554	Chihuahua	muzzle	9.96322	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000050.png	sturgeon	-5.75112	coho	vestment	9.97791	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000051.png	bee_eater	-1.87164	macaw	quill	9.99209	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000052.png	axolotl	4.32068	axolotl	coral_reef	9.99607	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000055.png	polecat	-5.49145	Siamese_cat	bassinet	9.96910	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000057.png	Pomeranian	3.57571	Pekinese	muzzle	9.94699	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000058.png	stinkhorn	4.94886	stinkhorn	broccoli	9.97995	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	7.33072	curly-coated_retriever	park_bench	9.99796	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000063.png	jellyfish	-8.51315	Arabian_camel	poncho	9.99490	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000064.png	green_lizard	3.53082	green_lizard	coral_reef	9.99349	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000066.png	eel	1.46470	loggerhead	coral_reef	9.99999	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000067.png	tusker	6.00305	tusker	chain_mail	9.99308	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000072.png	dugong	-4.48738	triceratops	sock	9.94930	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000073.png	kite	-7.73454	triceratops	jigsaw_puzzle	9.97602	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000075.png	black_grouse	6.16744	black_grouse	snowmobile	9.99498	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	-0.70008	Rhodesian_ridgeback	muzzle	9.97125	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000078.png	African_hunting_dog	-1.82147	African_hunting_dog	muzzle	9.98857	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000079.png	otterhound	2.29921	otterhound	wig	9.99380	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000082.png	Afghan_hound	-2.02181	Afghan_hound	fur_coat	9.99439	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000084.png	water_snake	0.24875	grasshopper	padlock	9.95683	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000087.png	siamang	-3.08206	spider_monkey	chainlink_fence	9.94391	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000088.png	spotted_salamander	-2.10136	chiton	spider_web	9.99881	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000090.png	American_alligator	4.55703	common_iguana	jackfruit	9.96276	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000091.png	white_wolf	6.21217	white_wolf	tennis_ball	9.94053	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000092.png	Madagascar_cat	5.22123	Madagascar_cat	honeycomb	9.99060	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000093.png	gorilla	-0.05055	Arabian_camel	muzzle	9.98831	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000095.png	macaque	-3.84413	macaque	teddy	9.99180	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000097.png	wood_rabbit	5.26779	hare	lakeside	9.98571	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000098.png	dowitcher	4.68885	ruffed_grouse	acorn	9.92547	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000100.png	bighorn	-2.64456	bighorn	maze	9.97817	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000102.png	Rhodesian_ridgeback	-5.37401	malinois	muzzle	9.99117	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000105.png	silky_terrier	-1.65754	Yorkshire_terrier	wig	9.97681	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000107.png	harvestman	3.49975	harvestman	spider_web	9.96265	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000111.png	American_lobster	3.26762	American_lobster	plate	9.99378	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000113.png	kelpie	4.66451	kelpie	muzzle	9.99035	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000115.png	Ibizan_hound	-1.37322	Ibizan_hound	bassinet	9.91853	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000124.png	rock_beauty	-1.60772	terrapin	custard_apple	9.95787	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000125.png	grasshopper	-2.62297	barn_spider	hip	9.99161	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000127.png	impala	4.51359	impala	oxcart	9.99214	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000128.png	bald_eagle	-4.92685	bald_eagle	ski	9.99350	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000130.png	Persian_cat	1.04843	Persian_cat	washer	9.96212	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000133.png	hyena	8.39413	hyena	balance_beam	9.99591	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000134.png	Doberman	-3.56354	ballplayer	unicycle	9.98414	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000136.png	warthog	-1.45144	armadillo	handkerchief	9.99272	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000138.png	sea_urchin	-1.80336	sea_urchin	wool	9.99882	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000141.png	bloodhound	-5.48865	triceratops	shield	9.97094	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000142.png	sea_urchin	1.56458	sea_urchin	coral_reef	9.99924	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000147.png	toy_poodle	4.01736	Irish_water_spaniel	teddy	9.99093	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000153.png	common_iguana	8.54949	common_iguana	spotlight	9.93484	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000154.png	sea_slug	2.87039	sea_slug	coral_reef	9.99868	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000156.png	coyote	6.89692	dhole	mosquito_net	9.97250	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000157.png	red_fox	5.38661	red_fox	shovel	9.97672	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000161.png	Irish_setter	3.88226	Irish_setter	tennis_ball	9.97835	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000170.png	toy_terrier	-5.16653	triceratops	jigsaw_puzzle	9.98881	resnet18.noise-12	efficientnet-b0
ILSVRC2012_val_00000172.png	English_setter	7.12707	English_setter	fountain	9.96231	resnet18.noise-12	efficientnet-b0
