img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-9.40861	water_snake	chain	9.99989	resnet18.noise-18	resnet50
ILSVRC2012_val_00000003.png	Shetland_sheepdog	-6.13134	collie	soccer_ball	9.99995	resnet18.noise-18	resnet50
ILSVRC2012_val_00000006.png	garter_snake	-10.21484	ringneck_snake	maze	9.99985	resnet18.noise-18	resnet50
ILSVRC2012_val_00000007.png	porcupine	-9.42267	cock	barrel	9.99997	resnet18.noise-18	resnet50
ILSVRC2012_val_00000010.png	Angora	-14.30814	hog	teddy	9.99830	resnet18.noise-18	resnet50
ILSVRC2012_val_00000011.png	brain_coral	-0.02701	brain_coral	jackfruit	9.99975	resnet18.noise-18	resnet50
ILSVRC2012_val_00000012.png	cougar	11.47903	cougar	window_screen	9.99988	resnet18.noise-18	resnet50
ILSVRC2012_val_00000013.png	guenon	2.43741	guenon	wig	9.99937	resnet18.noise-18	resnet50
ILSVRC2012_val_00000016.png	grey_whale	-5.69340	chiton	maze	9.99982	resnet18.noise-18	resnet50
ILSVRC2012_val_00000017.png	sea_anemone	-2.08629	goldfish	matchstick	9.99956	resnet18.noise-18	resnet50
ILSVRC2012_val_00000018.png	vulture	-15.88095	hammerhead	jigsaw_puzzle	9.99985	resnet18.noise-18	resnet50
ILSVRC2012_val_00000021.png	porcupine	-5.08410	walking_stick	chainlink_fence	10.00000	resnet18.noise-18	resnet50
ILSVRC2012_val_00000022.png	Ibizan_hound	-5.15431	Irish_wolfhound	half_track	9.99983	resnet18.noise-18	resnet50
ILSVRC2012_val_00000025.png	vulture	0.77542	vulture	worm_fence	10.00000	resnet18.noise-18	resnet50
ILSVRC2012_val_00000027.png	white_wolf	-3.71524	triceratops	brassiere	9.99996	resnet18.noise-18	resnet50
ILSVRC2012_val_00000028.png	English_foxhound	-2.13936	Cardigan	tennis_ball	9.99962	resnet18.noise-18	resnet50
ILSVRC2012_val_00000029.png	green_snake	2.30548	green_snake	sombrero	9.99882	resnet18.noise-18	resnet50
ILSVRC2012_val_00000031.png	cabbage_butterfly	-1.55367	cabbage_butterfly	pot	9.99930	resnet18.noise-18	resnet50
ILSVRC2012_val_00000033.png	sea_lion	-15.02066	terrapin	manhole_cover	9.99889	resnet18.noise-18	resnet50
ILSVRC2012_val_00000034.png	ballplayer	-14.93150	ballplayer	shopping_cart	9.99992	resnet18.noise-18	resnet50
ILSVRC2012_val_00000037.png	tailed_frog	-11.08404	terrapin	waffle_iron	9.99998	resnet18.noise-18	resnet50
ILSVRC2012_val_00000040.png	garden_spider	-18.88912	ant	jigsaw_puzzle	9.99997	resnet18.noise-18	resnet50
