img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-7.06567	cicada	magnetic_compass	9.22787	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000003.png	Shetland_sheepdog	-2.25296	collie	tennis_ball	9.03901	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000006.png	garter_snake	-9.40775	centipede	bath_towel	9.26497	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000007.png	porcupine	4.29184	porcupine	sock	9.11057	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000010.png	Angora	-6.64875	Persian_cat	pillow	9.16018	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000011.png	brain_coral	3.95773	brain_coral	jackfruit	9.64136	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000012.png	cougar	-0.80269	cougar	feather_boa	8.63310	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000013.png	guenon	-6.37500	sea_anemone	tray	9.33925	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000016.png	grey_whale	2.94712	grey_whale	bubble	9.17723	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000017.png	sea_anemone	-7.83977	Indian_cobra	candle	9.01274	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000018.png	vulture	-7.52366	weasel	paper_towel	9.96596	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000021.png	porcupine	-4.63383	tusker	bow	9.32059	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000022.png	Ibizan_hound	-2.48080	Saluki	stretcher	9.00479	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000025.png	vulture	6.04236	vulture	plow	9.21667	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000027.png	white_wolf	2.89474	white_wolf	bonnet	9.31459	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000028.png	English_foxhound	5.98112	beagle	tennis_ball	9.09550	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000029.png	green_snake	-1.49459	green_mamba	confectionery	8.90512	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000031.png	cabbage_butterfly	-8.04561	brain_coral	bonnet	8.78632	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000033.png	sea_lion	-6.33426	terrapin	ocarina	9.25489	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000034.png	ballplayer	-8.46101	ballplayer	stretcher	9.07231	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000037.png	tailed_frog	-9.45643	nematode	scabbard	9.91610	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000040.png	garden_spider	2.31354	tick	safety_pin	9.20902	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000043.png	spoonbill	1.37186	spoonbill	wool	9.61225	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000044.png	standard_schnauzer	-4.09600	lynx	muzzle	9.53756	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000045.png	Newfoundland	-7.55628	ringlet	stole	9.10550	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000048.png	English_foxhound	-3.17446	beagle	bath_towel	9.26871	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000050.png	sturgeon	-7.18194	Irish_water_spaniel	wool	9.58650	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000051.png	bee_eater	-4.92509	gar	bow	9.09315	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000052.png	axolotl	-2.33846	boa_constrictor	mosquito_net	9.20623	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000055.png	polecat	-5.17116	conch	butternut_squash	9.99964	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000057.png	Pomeranian	-0.88558	tabby	tennis_ball	8.73325	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000058.png	stinkhorn	4.32531	stinkhorn	mushroom	9.15124	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	-2.09892	curly-coated_retriever	muzzle	8.99916	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000063.png	jellyfish	-8.04725	trilobite	handkerchief	9.21473	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000064.png	green_lizard	-1.45154	American_chameleon	ear	9.68575	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000066.png	eel	1.18153	eel	wool	9.19469	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000067.png	tusker	-1.50147	tusker	pajama	9.21950	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000072.png	dugong	-6.59406	electric_ray	dough	9.58346	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000073.png	kite	0.41043	goose	ski	9.63070	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000075.png	black_grouse	5.46522	black_grouse	book_jacket	8.85612	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	-2.78829	Great_Dane	muzzle	8.87857	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000078.png	African_hunting_dog	-7.76666	triceratops	pajama	9.26742	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000079.png	otterhound	1.56049	cocker_spaniel	tennis_ball	9.36711	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000082.png	Afghan_hound	2.17850	Afghan_hound	bath_towel	9.63032	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000084.png	water_snake	-1.17484	slug	bow	9.30230	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000087.png	siamang	-5.39029	African_chameleon	mortar	8.92373	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000088.png	spotted_salamander	-1.72895	armadillo	strainer	9.31848	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000090.png	American_alligator	3.67906	African_chameleon	spider_web	9.12128	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000091.png	white_wolf	-4.79628	Egyptian_cat	bath_towel	8.81931	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000092.png	Madagascar_cat	2.70808	Madagascar_cat	fur_coat	9.05497	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000093.png	gorilla	-5.30106	orangutan	mask	9.15648	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000095.png	macaque	-7.33697	West_Highland_white_terrier	teddy	9.18090	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000097.png	wood_rabbit	-6.29840	hare	purse	9.29380	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000098.png	dowitcher	1.13812	great_grey_owl	teddy	8.60091	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000100.png	bighorn	-4.87131	bighorn	valley	9.99851	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000102.png	Rhodesian_ridgeback	-1.03743	redbone	tennis_ball	9.06854	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000105.png	silky_terrier	-7.28926	Yorkshire_terrier	wig	9.10923	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000107.png	harvestman	-2.48421	barn_spider	spider_web	8.99249	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000111.png	American_lobster	-4.10434	American_lobster	dining_table	9.03868	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000113.png	kelpie	1.00813	kelpie	muzzle	8.75770	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000115.png	Ibizan_hound	-6.18840	ringneck_snake	tray	9.25322	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000124.png	rock_beauty	-3.72846	sulphur_butterfly	quilt	9.16971	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000125.png	grasshopper	-6.49675	groom	hip	9.87578	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000127.png	impala	1.07299	impala	patio	9.74316	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000128.png	bald_eagle	-5.55965	great_grey_owl	ski	9.66854	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000130.png	Persian_cat	-1.17664	Persian_cat	teddy	9.21186	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000133.png	hyena	1.23843	sea_cucumber	banana	9.62372	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000134.png	Doberman	-2.65519	sturgeon	chain_saw	8.62029	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000136.png	warthog	-2.90700	mud_turtle	bonnet	9.36848	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000138.png	sea_urchin	3.54085	sea_urchin	velvet	9.59114	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000141.png	bloodhound	-8.64365	beagle	pajama	9.06435	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000142.png	sea_urchin	-3.63658	lionfish	coral_reef	9.85960	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000147.png	toy_poodle	-7.08188	toy_poodle	teddy	9.54361	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000153.png	common_iguana	8.21126	common_iguana	spotlight	8.71295	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000154.png	sea_slug	-0.36719	sea_slug	quilt	8.73800	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000156.png	coyote	1.59967	lynx	bow	9.28345	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000157.png	red_fox	-2.91664	Persian_cat	sock	9.28407	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000161.png	Irish_setter	0.68507	Irish_setter	tennis_ball	9.22343	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000170.png	toy_terrier	-6.55817	ballplayer	unicycle	9.05875	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000172.png	English_setter	1.82721	English_setter	quilt	9.15786	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000174.png	Great_Pyrenees	-2.77874	kuvasz	bow	9.15595	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000176.png	miniature_schnauzer	2.86996	Scotch_terrier	muzzle	8.57775	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000177.png	red-backed_sandpiper	7.56799	red-backed_sandpiper	water_bottle	9.23905	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000178.png	Eskimo_dog	0.52016	Eskimo_dog	ear	9.21258	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000179.png	sorrel	2.03617	sorrel	muzzle	9.06669	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000180.png	Shetland_sheepdog	-0.94560	tabby	space_heater	9.12870	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000181.png	skunk	0.54510	llama	bonnet	9.25432	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000186.png	snow_leopard	-3.86537	snow_leopard	cardigan	8.84327	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000188.png	coyote	-0.27551	coyote	handkerchief	9.12486	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000189.png	platypus	-7.25293	trilobite	shield	9.67970	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000191.png	American_Staffordshire_terrier	0.58739	hog	shopping_cart	9.16631	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000195.png	Dungeness_crab	7.25545	Dungeness_crab	jigsaw_puzzle	8.99759	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000196.png	lionfish	4.56188	lionfish	pinwheel	8.72178	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000198.png	bulbul	-3.66328	Indian_cobra	knot	9.15795	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000200.png	gyromitra	0.65316	gyromitra	mushroom	9.52596	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000203.png	Bouvier_des_Flandres	-10.22422	Bouvier_des_Flandres	fire_screen	9.79347	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000206.png	proboscis_monkey	-2.61441	ruffed_grouse	fur_coat	9.54675	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000207.png	albatross	-4.76016	armadillo	birdhouse	9.82484	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000211.png	Siamese_cat	2.82318	Siamese_cat	shower_curtain	8.87692	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000217.png	bulbul	3.46773	African_chameleon	worm_fence	9.62993	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000218.png	wolf_spider	3.16362	wolf_spider	bow	9.10224	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000220.png	pug	3.64842	pug	mask	9.69707	efficientnet-b0-advtrain	efficientnet-b0
