img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-2.04823	lacewing	jigsaw_puzzle	9.22787	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000003.png	Shetland_sheepdog	2.62488	llama	tennis_ball	9.03901	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000006.png	garter_snake	0.62484	centipede	shopping_cart	9.26497	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000007.png	porcupine	4.43842	porcupine	hay	9.11057	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000010.png	Angora	-0.62411	Persian_cat	pillow	9.16018	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000011.png	brain_coral	3.68052	brain_coral	cardigan	9.64136	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000012.png	cougar	6.85715	cougar	mask	8.63310	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000013.png	guenon	2.45952	guenon	window_screen	9.33925	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000016.png	grey_whale	5.84731	grey_whale	brass	9.17723	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000017.png	sea_anemone	-0.34760	tarantula	quill	9.01274	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000018.png	vulture	0.01423	slug	paper_towel	9.96596	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000021.png	porcupine	-0.44779	walking_stick	bow	9.32059	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000022.png	Ibizan_hound	-1.53684	llama	dogsled	9.00479	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000025.png	vulture	2.63929	vulture	plow	9.21667	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000027.png	white_wolf	2.34461	armadillo	cardigan	9.31459	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000028.png	English_foxhound	2.07242	golden_retriever	teddy	9.09550	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000029.png	green_snake	8.75976	green_snake	confectionery	8.90512	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000031.png	cabbage_butterfly	-1.17735	cabbage_butterfly	pot	8.78632	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000033.png	sea_lion	5.33697	common_iguana	jigsaw_puzzle	9.25489	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000034.png	ballplayer	-2.85267	ballplayer	military_uniform	9.07231	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000037.png	tailed_frog	-0.65567	gar	mosquito_net	9.91610	efficientnet-b0-advtrain	squeezenet
