img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	8.79133	water_snake	worm_fence	10.00000	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000003.png	Shetland_sheepdog	11.71534	Shetland_sheepdog	jigsaw_puzzle	9.88573	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000006.png	garter_snake	9.55161	water_snake	worm_fence	9.31437	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000007.png	porcupine	5.99908	porcupine	quill	9.24551	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000010.png	Angora	-1.16719	Sealyham_terrier	mask	9.66435	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000011.png	brain_coral	2.45989	brain_coral	jackfruit	9.67566	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000012.png	cougar	8.88245	cougar	tennis_ball	9.46792	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000013.png	guenon	8.88433	guenon	microphone	9.70835	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000016.png	grey_whale	17.10149	grey_whale	submarine	9.28706	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000017.png	sea_anemone	8.34077	starfish	torch	9.39298	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000018.png	vulture	8.21601	kite	swab	9.38784	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000021.png	porcupine	13.55951	porcupine	cardoon	9.64216	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000022.png	Ibizan_hound	3.83185	Ibizan_hound	muzzle	8.85980	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000025.png	vulture	17.49199	vulture	worm_fence	9.69754	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000027.png	white_wolf	15.02164	white_wolf	muzzle	9.74165	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000028.png	English_foxhound	7.55664	Walker_hound	tennis_ball	9.96964	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000029.png	green_snake	10.73047	green_snake	golf_ball	9.35226	efficientnet-b0	wide_resnet50_2
