img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	4.08061	rock_python	cliff_dwelling	9.41157	resnet50	efficientnet-b0
ILSVRC2012_val_00000003.png	Shetland_sheepdog	8.24015	Shetland_sheepdog	tennis_ball	9.33475	resnet50	efficientnet-b0
ILSVRC2012_val_00000006.png	garter_snake	5.76184	garter_snake	tank	9.38042	resnet50	efficientnet-b0
ILSVRC2012_val_00000007.png	porcupine	8.25794	porcupine	quill	9.31982	resnet50	efficientnet-b0
ILSVRC2012_val_00000010.png	Angora	-1.55637	toy_poodle	wig	9.28456	resnet50	efficientnet-b0
ILSVRC2012_val_00000011.png	brain_coral	5.20895	brain_coral	coral_reef	9.38454	resnet50	efficientnet-b0
ILSVRC2012_val_00000012.png	cougar	8.89653	cougar	Dutch_oven	8.53540	resnet50	efficientnet-b0
ILSVRC2012_val_00000013.png	guenon	7.68412	guenon	broccoli	9.32193	resnet50	efficientnet-b0
ILSVRC2012_val_00000016.png	grey_whale	8.32164	grey_whale	volcano	9.51106	resnet50	efficientnet-b0
ILSVRC2012_val_00000017.png	sea_anemone	0.20961	starfish	torch	9.28802	resnet50	efficientnet-b0
ILSVRC2012_val_00000018.png	vulture	-0.53020	bald_eagle	jigsaw_puzzle	9.24733	resnet50	efficientnet-b0
ILSVRC2012_val_00000021.png	porcupine	9.13224	porcupine	cardoon	9.34163	resnet50	efficientnet-b0
ILSVRC2012_val_00000022.png	Ibizan_hound	-2.11621	llama	stretcher	9.17772	resnet50	efficientnet-b0
ILSVRC2012_val_00000025.png	vulture	3.98245	vulture	oxcart	9.30138	resnet50	efficientnet-b0
ILSVRC2012_val_00000027.png	white_wolf	7.59403	white_wolf	buckle	9.35325	resnet50	efficientnet-b0
ILSVRC2012_val_00000028.png	English_foxhound	4.56121	Walker_hound	soccer_ball	8.98461	resnet50	efficientnet-b0
ILSVRC2012_val_00000029.png	green_snake	6.52118	green_mamba	head_cabbage	8.98393	resnet50	efficientnet-b0
ILSVRC2012_val_00000031.png	cabbage_butterfly	3.51170	sulphur_butterfly	head_cabbage	8.86033	resnet50	efficientnet-b0
ILSVRC2012_val_00000033.png	sea_lion	5.53136	otter	spider_web	9.48031	resnet50	efficientnet-b0
ILSVRC2012_val_00000034.png	ballplayer	1.35355	ballplayer	unicycle	9.31899	resnet50	efficientnet-b0
ILSVRC2012_val_00000037.png	tailed_frog	3.09790	common_newt	hip	9.34370	resnet50	efficientnet-b0
ILSVRC2012_val_00000040.png	garden_spider	3.37773	garden_spider	spider_web	9.32329	resnet50	efficientnet-b0
ILSVRC2012_val_00000043.png	spoonbill	6.76105	spoonbill	lipstick	9.26042	resnet50	efficientnet-b0
ILSVRC2012_val_00000044.png	standard_schnauzer	6.84054	miniature_schnauzer	doormat	9.29116	resnet50	efficientnet-b0
ILSVRC2012_val_00000045.png	Newfoundland	7.13247	Newfoundland	tennis_ball	8.98048	resnet50	efficientnet-b0
ILSVRC2012_val_00000048.png	English_foxhound	4.30637	beagle	tennis_ball	9.30806	resnet50	efficientnet-b0
