img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-4.15403	sea_snake	jigsaw_puzzle	9.41157	resnet50	resnext50_32x4d
ILSVRC2012_val_00000003.png	Shetland_sheepdog	8.07959	collie	bath_towel	9.33475	resnet50	resnext50_32x4d
ILSVRC2012_val_00000006.png	garter_snake	11.89408	garter_snake	worm_fence	9.38042	resnet50	resnext50_32x4d
ILSVRC2012_val_00000007.png	porcupine	10.25184	porcupine	quill	9.31982	resnet50	resnext50_32x4d
ILSVRC2012_val_00000010.png	Angora	-0.70094	Maltese_dog	wig	9.28456	resnet50	resnext50_32x4d
ILSVRC2012_val_00000011.png	brain_coral	5.55461	brain_coral	jackfruit	9.38454	resnet50	resnext50_32x4d
ILSVRC2012_val_00000012.png	cougar	11.14578	cougar	window_screen	8.53540	resnet50	resnext50_32x4d
ILSVRC2012_val_00000013.png	guenon	7.13094	guenon	breastplate	9.32193	resnet50	resnext50_32x4d
ILSVRC2012_val_00000016.png	grey_whale	5.99876	grey_whale	quilt	9.51106	resnet50	resnext50_32x4d
ILSVRC2012_val_00000017.png	sea_anemone	-4.15536	goldfish	nail	9.28802	resnet50	resnext50_32x4d
ILSVRC2012_val_00000018.png	vulture	-3.39973	kite	jigsaw_puzzle	9.24733	resnet50	resnext50_32x4d
ILSVRC2012_val_00000021.png	porcupine	-1.16504	peacock	greenhouse	9.34163	resnet50	resnext50_32x4d
ILSVRC2012_val_00000022.png	Ibizan_hound	2.23835	coho	stretcher	9.17772	resnet50	resnext50_32x4d
ILSVRC2012_val_00000025.png	vulture	-1.36744	vulture	worm_fence	9.30138	resnet50	resnext50_32x4d
ILSVRC2012_val_00000027.png	white_wolf	2.01832	white_wolf	jigsaw_puzzle	9.35325	resnet50	resnext50_32x4d
ILSVRC2012_val_00000028.png	English_foxhound	5.02339	beagle	soccer_ball	8.98461	resnet50	resnext50_32x4d
ILSVRC2012_val_00000029.png	green_snake	5.38324	green_snake	confectionery	8.98393	resnet50	resnext50_32x4d
ILSVRC2012_val_00000031.png	cabbage_butterfly	-1.04598	cabbage_butterfly	head_cabbage	8.86033	resnet50	resnext50_32x4d
ILSVRC2012_val_00000033.png	sea_lion	-10.43268	scuba_diver	jigsaw_puzzle	9.48031	resnet50	resnext50_32x4d
ILSVRC2012_val_00000034.png	ballplayer	-5.77101	ballplayer	military_uniform	9.31899	resnet50	resnext50_32x4d
ILSVRC2012_val_00000037.png	tailed_frog	2.74770	ground_beetle	ladle	9.34370	resnet50	resnext50_32x4d
ILSVRC2012_val_00000040.png	garden_spider	-7.94575	fly	jigsaw_puzzle	9.32329	resnet50	resnext50_32x4d
ILSVRC2012_val_00000043.png	spoonbill	4.75354	spoonbill	sock	9.26042	resnet50	resnext50_32x4d
ILSVRC2012_val_00000044.png	standard_schnauzer	5.74585	miniature_schnauzer	doormat	9.29116	resnet50	resnext50_32x4d
ILSVRC2012_val_00000045.png	Newfoundland	1.44601	Newfoundland	stole	8.98048	resnet50	resnext50_32x4d
