img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-17.00554	nematode	coil	9.34792	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000003.png	Shetland_sheepdog	-21.47441	French_bulldog	bath_towel	9.40227	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000006.png	garter_snake	-22.78848	Shetland_sheepdog	chainlink_fence	9.38527	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000007.png	porcupine	-23.67544	Komodo_dragon	sock	9.26401	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000010.png	Angora	-18.20755	hog	piggy_bank	9.36224	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000011.png	brain_coral	-33.45410	brain_coral	jigsaw_puzzle	9.34160	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000012.png	cougar	-23.83055	cougar	plastic_bag	8.98160	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000013.png	guenon	-22.85889	Siberian_husky	jean	9.29846	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000016.png	grey_whale	-20.90952	beagle	purse	9.54188	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000017.png	sea_anemone	-18.66011	tarantula	altar	9.30813	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000018.png	vulture	-27.98214	porcupine	broom	9.23159	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000021.png	porcupine	-17.17316	gar	paintbrush	9.42691	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000022.png	Ibizan_hound	-25.24607	ox	barrow	9.13100	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000025.png	vulture	-20.20366	grasshopper	bow	9.28540	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000027.png	white_wolf	-50.78309	malamute	jigsaw_puzzle	9.42824	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000028.png	English_foxhound	-23.48588	Walker_hound	bath_towel	9.21409	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000029.png	green_snake	-16.27069	sea_urchin	golf_ball	9.10310	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000031.png	cabbage_butterfly	-21.23056	toy_poodle	electric_guitar	8.84603	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000033.png	sea_lion	-25.63971	puffer	mask	9.50902	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000034.png	ballplayer	-17.54974	coho	military_uniform	9.99176	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000037.png	tailed_frog	-16.52877	barn_spider	spider_web	9.35550	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000040.png	garden_spider	-34.98946	jellyfish	bubble	9.37179	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000043.png	spoonbill	-27.90582	eft	kimono	9.25121	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000044.png	standard_schnauzer	-25.79291	tabby	pillow	9.37336	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000045.png	Newfoundland	-18.23971	peacock	stole	9.10854	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000048.png	English_foxhound	-28.95114	malamute	jigsaw_puzzle	9.38360	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000050.png	sturgeon	-18.30027	coho	butcher_shop	9.20862	resnext50_32x4d	resnext50_32x4d
