img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-19.62601	ringneck_snake	jigsaw_puzzle	9.40060	resnet50	resnet50
ILSVRC2012_val_00000003.png	Shetland_sheepdog	-12.98567	Cardigan	clog	9.37308	resnet50	resnet50
ILSVRC2012_val_00000006.png	garter_snake	-5.73348	peacock	worm_fence	9.55537	resnet50	resnet50
ILSVRC2012_val_00000007.png	porcupine	-13.54126	eel	coil	9.50690	resnet50	resnet50
ILSVRC2012_val_00000010.png	Angora	-7.36106	toy_poodle	wig	9.99435	resnet50	resnet50
ILSVRC2012_val_00000011.png	brain_coral	-0.02487	brain_coral	coral_reef	9.32588	resnet50	resnet50
ILSVRC2012_val_00000012.png	cougar	-1.56914	cougar	remote_control	9.06303	resnet50	resnet50
ILSVRC2012_val_00000013.png	guenon	-4.13479	guenon	breastplate	9.51374	resnet50	resnet50
ILSVRC2012_val_00000016.png	grey_whale	-13.10523	cairn	quilt	9.99884	resnet50	resnet50
ILSVRC2012_val_00000017.png	sea_anemone	-12.65377	scorpion	nail	9.76002	resnet50	resnet50
ILSVRC2012_val_00000018.png	vulture	-28.60683	Persian_cat	jigsaw_puzzle	9.28726	resnet50	resnet50
ILSVRC2012_val_00000021.png	porcupine	-12.50905	lorikeet	greenhouse	9.57492	resnet50	resnet50
ILSVRC2012_val_00000022.png	Ibizan_hound	-14.81678	bloodhound	stretcher	9.04094	resnet50	resnet50
ILSVRC2012_val_00000025.png	vulture	-2.46022	rock_python	worm_fence	9.52773	resnet50	resnet50
ILSVRC2012_val_00000027.png	white_wolf	-13.89399	brain_coral	maze	9.39562	resnet50	resnet50
ILSVRC2012_val_00000028.png	English_foxhound	-11.30148	kelpie	soccer_ball	8.99365	resnet50	resnet50
ILSVRC2012_val_00000029.png	green_snake	-11.34839	toy_poodle	confectionery	9.76106	resnet50	resnet50
ILSVRC2012_val_00000031.png	cabbage_butterfly	-8.99257	terrapin	head_cabbage	9.36345	resnet50	resnet50
ILSVRC2012_val_00000033.png	sea_lion	-17.87032	Persian_cat	jigsaw_puzzle	9.99033	resnet50	resnet50
ILSVRC2012_val_00000034.png	ballplayer	-2.83068	ballplayer	military_uniform	9.99353	resnet50	resnet50
ILSVRC2012_val_00000037.png	tailed_frog	-12.52609	snail	ladle	9.51955	resnet50	resnet50
ILSVRC2012_val_00000040.png	garden_spider	-7.74318	ant	spider_web	9.50857	resnet50	resnet50
ILSVRC2012_val_00000043.png	spoonbill	-10.06049	ballplayer	pole	9.27433	resnet50	resnet50
ILSVRC2012_val_00000044.png	standard_schnauzer	-3.61771	beagle	ping-pong_ball	9.36745	resnet50	resnet50
ILSVRC2012_val_00000045.png	Newfoundland	-12.44528	triceratops	bonnet	9.25169	resnet50	resnet50
ILSVRC2012_val_00000048.png	English_foxhound	-11.19624	Italian_greyhound	shower_cap	9.52824	resnet50	resnet50
ILSVRC2012_val_00000050.png	sturgeon	-12.64679	coho	butcher_shop	9.99089	resnet50	resnet50
ILSVRC2012_val_00000051.png	bee_eater	-13.58636	peacock	quill	9.46168	resnet50	resnet50
ILSVRC2012_val_00000052.png	axolotl	-6.29218	brain_coral	corn	9.48494	resnet50	resnet50
ILSVRC2012_val_00000055.png	polecat	-9.18829	African_grey	bassinet	9.99971	resnet50	resnet50
ILSVRC2012_val_00000057.png	Pomeranian	-20.01709	Persian_cat	jigsaw_puzzle	9.25139	resnet50	resnet50
ILSVRC2012_val_00000058.png	stinkhorn	-4.29667	leaf_beetle	hip	9.49440	resnet50	resnet50
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	-9.40515	schipperke	poncho	9.44130	resnet50	resnet50
ILSVRC2012_val_00000063.png	jellyfish	-5.70506	groom	volcano	9.87056	resnet50	resnet50
ILSVRC2012_val_00000064.png	green_lizard	-5.06205	peacock	window_screen	9.33695	resnet50	resnet50
ILSVRC2012_val_00000066.png	eel	-2.21845	jellyfish	coral_reef	9.50238	resnet50	resnet50
ILSVRC2012_val_00000067.png	tusker	-10.71241	African_elephant	chain_mail	9.99923	resnet50	resnet50
ILSVRC2012_val_00000072.png	dugong	-4.21368	peacock	cowboy_boot	9.98129	resnet50	resnet50
ILSVRC2012_val_00000073.png	kite	-7.01900	sea_snake	ski	9.53079	resnet50	resnet50
ILSVRC2012_val_00000075.png	black_grouse	-3.11943	sea_slug	quill	9.47449	resnet50	resnet50
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	-11.18991	Chihuahua	muzzle	9.90979	resnet50	resnet50
ILSVRC2012_val_00000078.png	African_hunting_dog	-16.76083	Italian_greyhound	crutch	9.52651	resnet50	resnet50
ILSVRC2012_val_00000079.png	otterhound	-1.76901	miniature_poodle	tennis_ball	9.31963	resnet50	resnet50
ILSVRC2012_val_00000082.png	Afghan_hound	-12.05228	tarantula	stole	9.33198	resnet50	resnet50
ILSVRC2012_val_00000084.png	water_snake	-8.91208	wolf_spider	spider_web	9.99849	resnet50	resnet50
ILSVRC2012_val_00000087.png	siamang	-8.10492	garden_spider	spider_web	9.30111	resnet50	resnet50
ILSVRC2012_val_00000088.png	spotted_salamander	-1.58204	stingray	coral_reef	9.40074	resnet50	resnet50
ILSVRC2012_val_00000090.png	American_alligator	-3.80712	peacock	lakeside	9.34015	resnet50	resnet50
ILSVRC2012_val_00000091.png	white_wolf	-0.96053	Eskimo_dog	lighter	8.72456	resnet50	resnet50
ILSVRC2012_val_00000092.png	Madagascar_cat	-6.08502	zebra	binoculars	9.46335	resnet50	resnet50
ILSVRC2012_val_00000093.png	gorilla	-20.08178	German_shepherd	muzzle	9.38660	resnet50	resnet50
ILSVRC2012_val_00000095.png	macaque	-8.35531	chow	teddy	9.99719	resnet50	resnet50
ILSVRC2012_val_00000097.png	wood_rabbit	-5.56246	brain_coral	stole	9.37986	resnet50	resnet50
ILSVRC2012_val_00000098.png	dowitcher	-15.71632	green_snake	fig	9.55547	resnet50	resnet50
