img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	3.78738	American_alligator	maze	9.40060	resnet50	squeezenet
ILSVRC2012_val_00000003.png	Shetland_sheepdog	5.95661	collie	tennis_ball	9.37308	resnet50	squeezenet
ILSVRC2012_val_00000006.png	garter_snake	-0.24175	American_alligator	maze	9.55537	resnet50	squeezenet
ILSVRC2012_val_00000007.png	porcupine	0.89125	porcupine	hay	9.50690	resnet50	squeezenet
ILSVRC2012_val_00000010.png	Angora	-2.17904	hog	teddy	9.99435	resnet50	squeezenet
ILSVRC2012_val_00000011.png	brain_coral	4.13807	brain_coral	coral_reef	9.32588	resnet50	squeezenet
ILSVRC2012_val_00000012.png	cougar	12.07378	cougar	tennis_ball	9.06303	resnet50	squeezenet
ILSVRC2012_val_00000013.png	guenon	14.39556	guenon	window_screen	9.51374	resnet50	squeezenet
ILSVRC2012_val_00000016.png	grey_whale	4.00195	grey_whale	cannon	9.99884	resnet50	squeezenet
ILSVRC2012_val_00000017.png	sea_anemone	1.39743	tarantula	feather_boa	9.76002	resnet50	squeezenet
ILSVRC2012_val_00000018.png	vulture	1.31120	weasel	paper_towel	9.28726	resnet50	squeezenet
ILSVRC2012_val_00000021.png	porcupine	2.19522	porcupine	bow	9.57492	resnet50	squeezenet
ILSVRC2012_val_00000022.png	Ibizan_hound	1.12623	Arabian_camel	cliff	9.04094	resnet50	squeezenet
ILSVRC2012_val_00000025.png	vulture	2.67756	vulture	assault_rifle	9.52773	resnet50	squeezenet
ILSVRC2012_val_00000027.png	white_wolf	5.76378	white_wolf	megalith	9.39562	resnet50	squeezenet
ILSVRC2012_val_00000028.png	English_foxhound	8.17182	beagle	tennis_ball	8.99365	resnet50	squeezenet
ILSVRC2012_val_00000029.png	green_snake	10.52331	green_snake	golf_ball	9.76106	resnet50	squeezenet
ILSVRC2012_val_00000031.png	cabbage_butterfly	-1.21509	cabbage_butterfly	pot	9.36345	resnet50	squeezenet
ILSVRC2012_val_00000033.png	sea_lion	3.64905	common_iguana	cardoon	9.99033	resnet50	squeezenet
ILSVRC2012_val_00000034.png	ballplayer	-2.41342	ballplayer	assault_rifle	9.99353	resnet50	squeezenet
ILSVRC2012_val_00000037.png	tailed_frog	2.04096	stingray	mosquito_net	9.51955	resnet50	squeezenet
ILSVRC2012_val_00000040.png	garden_spider	0.37109	ant	spider_web	9.50857	resnet50	squeezenet
ILSVRC2012_val_00000043.png	spoonbill	5.80426	spoonbill	bow	9.27433	resnet50	squeezenet
ILSVRC2012_val_00000044.png	standard_schnauzer	10.14893	cairn	tennis_ball	9.36745	resnet50	squeezenet
ILSVRC2012_val_00000045.png	Newfoundland	-1.79892	Scotch_terrier	stole	9.25169	resnet50	squeezenet
ILSVRC2012_val_00000048.png	English_foxhound	2.28090	hog	spindle	9.52824	resnet50	squeezenet
ILSVRC2012_val_00000050.png	sturgeon	-3.45643	chiton	wool	9.99089	resnet50	squeezenet
ILSVRC2012_val_00000051.png	bee_eater	3.45355	gar	lakeside	9.46168	resnet50	squeezenet
ILSVRC2012_val_00000052.png	axolotl	4.84367	axolotl	coral_reef	9.48494	resnet50	squeezenet
ILSVRC2012_val_00000055.png	polecat	0.09345	hamster	teddy	9.99971	resnet50	squeezenet
ILSVRC2012_val_00000057.png	Pomeranian	8.70123	Pekinese	doormat	9.25139	resnet50	squeezenet
ILSVRC2012_val_00000058.png	stinkhorn	7.52268	stinkhorn	acorn	9.49440	resnet50	squeezenet
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	-0.30412	giant_schnauzer	barrow	9.44130	resnet50	squeezenet
ILSVRC2012_val_00000063.png	jellyfish	-2.00110	scuba_diver	volcano	9.87056	resnet50	squeezenet
ILSVRC2012_val_00000064.png	green_lizard	3.84453	green_lizard	jackfruit	9.33695	resnet50	squeezenet
ILSVRC2012_val_00000066.png	eel	0.06017	eel	coral_reef	9.50238	resnet50	squeezenet
ILSVRC2012_val_00000067.png	tusker	5.23532	tusker	cardigan	9.99923	resnet50	squeezenet
ILSVRC2012_val_00000072.png	dugong	-1.02554	loggerhead	sleeping_bag	9.98129	resnet50	squeezenet
ILSVRC2012_val_00000073.png	kite	0.89586	bald_eagle	dogsled	9.53079	resnet50	squeezenet
ILSVRC2012_val_00000075.png	black_grouse	19.72073	black_grouse	stretcher	9.47449	resnet50	squeezenet
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	6.30343	vizsla	muzzle	9.90979	resnet50	squeezenet
ILSVRC2012_val_00000078.png	African_hunting_dog	6.27748	African_hunting_dog	dogsled	9.52651	resnet50	squeezenet
ILSVRC2012_val_00000079.png	otterhound	7.98064	standard_poodle	tennis_ball	9.31963	resnet50	squeezenet
ILSVRC2012_val_00000082.png	Afghan_hound	2.09484	Irish_water_spaniel	stole	9.33198	resnet50	squeezenet
ILSVRC2012_val_00000084.png	water_snake	2.47920	bullfrog	spider_web	9.99849	resnet50	squeezenet
ILSVRC2012_val_00000087.png	siamang	1.46011	snow_leopard	spider_web	9.30111	resnet50	squeezenet
ILSVRC2012_val_00000088.png	spotted_salamander	3.03769	spiny_lobster	spider_web	9.40074	resnet50	squeezenet
ILSVRC2012_val_00000090.png	American_alligator	6.35712	common_iguana	zucchini	9.34015	resnet50	squeezenet
ILSVRC2012_val_00000091.png	white_wolf	-1.36197	kuvasz	teddy	8.72456	resnet50	squeezenet
ILSVRC2012_val_00000092.png	Madagascar_cat	7.38283	indri	mitten	9.46335	resnet50	squeezenet
ILSVRC2012_val_00000093.png	gorilla	6.37321	titi	muzzle	9.38660	resnet50	squeezenet
ILSVRC2012_val_00000095.png	macaque	9.09279	titi	teddy	9.99719	resnet50	squeezenet
ILSVRC2012_val_00000097.png	wood_rabbit	0.84058	wood_rabbit	poncho	9.37986	resnet50	squeezenet
ILSVRC2012_val_00000098.png	dowitcher	3.14324	hummingbird	cardoon	9.55547	resnet50	squeezenet
ILSVRC2012_val_00000100.png	bighorn	-1.99790	American_alligator	maze	9.99911	resnet50	squeezenet
ILSVRC2012_val_00000102.png	Rhodesian_ridgeback	7.17081	malinois	muzzle	9.54602	resnet50	squeezenet
ILSVRC2012_val_00000105.png	silky_terrier	-1.19234	orangutan	wool	9.99814	resnet50	squeezenet
ILSVRC2012_val_00000107.png	harvestman	4.89792	harvestman	safety_pin	9.20979	resnet50	squeezenet
ILSVRC2012_val_00000111.png	American_lobster	0.25494	American_lobster	jackfruit	9.79057	resnet50	squeezenet
ILSVRC2012_val_00000113.png	kelpie	7.83357	kelpie	muzzle	9.35225	resnet50	squeezenet
ILSVRC2012_val_00000115.png	Ibizan_hound	4.21072	Welsh_springer_spaniel	teddy	9.44214	resnet50	squeezenet
ILSVRC2012_val_00000124.png	rock_beauty	4.28981	puffer	teddy	9.45571	resnet50	squeezenet
ILSVRC2012_val_00000125.png	grasshopper	-3.08163	ant	acorn	9.99570	resnet50	squeezenet
ILSVRC2012_val_00000127.png	impala	0.35458	impala	plow	9.51745	resnet50	squeezenet
ILSVRC2012_val_00000128.png	bald_eagle	3.51032	vulture	ski	9.42345	resnet50	squeezenet
ILSVRC2012_val_00000130.png	Persian_cat	2.33036	Persian_cat	fur_coat	9.99598	resnet50	squeezenet
ILSVRC2012_val_00000133.png	hyena	10.61639	hyena	muzzle	9.24216	resnet50	squeezenet
ILSVRC2012_val_00000134.png	Doberman	2.08989	cock	shield	9.42299	resnet50	squeezenet
ILSVRC2012_val_00000136.png	warthog	3.58282	Komodo_dragon	coral_reef	9.34757	resnet50	squeezenet
ILSVRC2012_val_00000138.png	sea_urchin	2.94391	sea_urchin	nail	9.99759	resnet50	squeezenet
ILSVRC2012_val_00000141.png	bloodhound	-3.03249	capuchin	jigsaw_puzzle	9.95767	resnet50	squeezenet
ILSVRC2012_val_00000142.png	sea_urchin	-0.87313	lionfish	coral_reef	9.56056	resnet50	squeezenet
ILSVRC2012_val_00000147.png	toy_poodle	6.27342	Kerry_blue_terrier	hay	9.19110	resnet50	squeezenet
ILSVRC2012_val_00000153.png	common_iguana	16.97059	common_iguana	mask	8.75398	resnet50	squeezenet
ILSVRC2012_val_00000154.png	sea_slug	5.15292	sea_slug	saltshaker	9.01580	resnet50	squeezenet
ILSVRC2012_val_00000156.png	coyote	3.56861	red_fox	plow	9.55300	resnet50	squeezenet
ILSVRC2012_val_00000157.png	red_fox	8.10409	red_fox	washbasin	9.30513	resnet50	squeezenet
ILSVRC2012_val_00000161.png	Irish_setter	3.67282	Airedale	doormat	9.48875	resnet50	squeezenet
ILSVRC2012_val_00000170.png	toy_terrier	3.82713	kelpie	bonnet	9.19394	resnet50	squeezenet
ILSVRC2012_val_00000172.png	English_setter	9.31844	standard_schnauzer	oxcart	9.51676	resnet50	squeezenet
ILSVRC2012_val_00000174.png	Great_Pyrenees	0.28996	standard_poodle	teddy	9.26646	resnet50	squeezenet
ILSVRC2012_val_00000176.png	miniature_schnauzer	10.57814	Scotch_terrier	stole	9.00001	resnet50	squeezenet
ILSVRC2012_val_00000177.png	red-backed_sandpiper	8.38024	red-backed_sandpiper	jigsaw_puzzle	9.41213	resnet50	squeezenet
ILSVRC2012_val_00000178.png	Eskimo_dog	4.04548	Siberian_husky	cardigan	9.33989	resnet50	squeezenet
ILSVRC2012_val_00000179.png	sorrel	3.25765	sorrel	fur_coat	9.99392	resnet50	squeezenet
ILSVRC2012_val_00000180.png	Shetland_sheepdog	5.69618	llama	teddy	9.20173	resnet50	squeezenet
ILSVRC2012_val_00000181.png	skunk	-1.46992	Airedale	wool	9.97602	resnet50	squeezenet
ILSVRC2012_val_00000186.png	snow_leopard	5.46515	tabby	stole	9.44313	resnet50	squeezenet
ILSVRC2012_val_00000188.png	coyote	9.07587	coyote	oxcart	9.52868	resnet50	squeezenet
ILSVRC2012_val_00000189.png	platypus	1.43019	American_alligator	spider_web	9.53651	resnet50	squeezenet
ILSVRC2012_val_00000191.png	American_Staffordshire_terrier	5.26186	hog	butcher_shop	9.45275	resnet50	squeezenet
ILSVRC2012_val_00000195.png	Dungeness_crab	3.68673	rock_crab	buckeye	9.99313	resnet50	squeezenet
ILSVRC2012_val_00000196.png	lionfish	10.72594	lionfish	coral_reef	8.75661	resnet50	squeezenet
ILSVRC2012_val_00000198.png	bulbul	-0.90512	bulbul	hip	9.29440	resnet50	squeezenet
ILSVRC2012_val_00000200.png	gyromitra	5.90470	gyromitra	rotisserie	9.29743	resnet50	squeezenet
ILSVRC2012_val_00000203.png	Bouvier_des_Flandres	0.92600	Kerry_blue_terrier	pot	9.99584	resnet50	squeezenet
ILSVRC2012_val_00000206.png	proboscis_monkey	-1.82006	water_snake	jackfruit	9.40513	resnet50	squeezenet
ILSVRC2012_val_00000207.png	albatross	2.76752	ruffed_grouse	mountain_bike	9.45913	resnet50	squeezenet
ILSVRC2012_val_00000211.png	Siamese_cat	10.82120	Siamese_cat	muzzle	9.08733	resnet50	squeezenet
ILSVRC2012_val_00000217.png	bulbul	8.80798	bulbul	worm_fence	8.67387	resnet50	squeezenet
ILSVRC2012_val_00000218.png	wolf_spider	7.14539	wolf_spider	spider_web	9.41497	resnet50	squeezenet
ILSVRC2012_val_00000220.png	pug	2.90760	pug	head_cabbage	9.44106	resnet50	squeezenet
ILSVRC2012_val_00000224.png	Irish_setter	7.05480	Brittany_spaniel	bath_towel	9.14092	resnet50	squeezenet
ILSVRC2012_val_00000225.png	European_fire_salamander	8.96044	European_fire_salamander	stretcher	9.16872	resnet50	squeezenet
ILSVRC2012_val_00000227.png	Brittany_spaniel	2.68122	Brittany_spaniel	bath_towel	9.50491	resnet50	squeezenet
ILSVRC2012_val_00000228.png	Ibizan_hound	2.14705	German_shepherd	dogsled	0.00000	resnet50	squeezenet
ILSVRC2012_val_00000229.png	mud_turtle	0.43734	electric_ray	stone_wall	9.31127	resnet50	squeezenet
ILSVRC2012_val_00000231.png	hermit_crab	0.99979	ox	birdhouse	9.94608	resnet50	squeezenet
ILSVRC2012_val_00000233.png	snow_leopard	15.60529	snow_leopard	remote_control	9.44954	resnet50	squeezenet
ILSVRC2012_val_00000236.png	goldfish	3.29085	anemone_fish	coral_reef	9.18038	resnet50	squeezenet
ILSVRC2012_val_00000237.png	English_foxhound	10.55476	English_setter	soccer_ball	9.62293	resnet50	squeezenet
ILSVRC2012_val_00000238.png	king_crab	-1.31366	king_crab	sombrero	9.78927	resnet50	squeezenet
ILSVRC2012_val_00000242.png	gorilla	-3.82538	peacock	megalith	9.96595	resnet50	squeezenet
ILSVRC2012_val_00000245.png	hermit_crab	0.90198	starfish	spindle	9.80488	resnet50	squeezenet
ILSVRC2012_val_00000246.png	bighorn	4.28699	ram	teddy	9.48098	resnet50	squeezenet
ILSVRC2012_val_00000247.png	junco	10.12339	junco	ski_mask	9.39563	resnet50	squeezenet
ILSVRC2012_val_00000248.png	Staffordshire_bullterrier	4.95406	Staffordshire_bullterrier	muzzle	9.44452	resnet50	squeezenet
ILSVRC2012_val_00000255.png	scuba_diver	-0.01203	scuba_diver	book_jacket	9.92986	resnet50	squeezenet
ILSVRC2012_val_00000258.png	eft	9.11264	eft	chain	9.41985	resnet50	squeezenet
ILSVRC2012_val_00000262.png	goldfish	0.03807	scuba_diver	coral_reef	9.21582	resnet50	squeezenet
ILSVRC2012_val_00000263.png	Saluki	4.86248	bluetick	muzzle	9.32706	resnet50	squeezenet
ILSVRC2012_val_00000269.png	Siberian_husky	8.21501	grey_fox	teddy	9.31538	resnet50	squeezenet
ILSVRC2012_val_00000273.png	skunk	1.98633	skunk	Christmas_stocking	9.33820	resnet50	squeezenet
ILSVRC2012_val_00000276.png	eft	-1.01755	starfish	jigsaw_puzzle	9.60159	resnet50	squeezenet
ILSVRC2012_val_00000278.png	bee_eater	5.10996	bee_eater	hip	9.32970	resnet50	squeezenet
ILSVRC2012_val_00000279.png	Dandie_Dinmont	2.02103	pug	mitten	9.99205	resnet50	squeezenet
ILSVRC2012_val_00000283.png	Persian_cat	1.71450	Persian_cat	teddy	9.51086	resnet50	squeezenet
ILSVRC2012_val_00000293.png	tench	3.85419	eel	stole	9.51696	resnet50	squeezenet
ILSVRC2012_val_00000297.png	frilled_lizard	2.20377	Komodo_dragon	pot	9.50383	resnet50	squeezenet
ILSVRC2012_val_00000298.png	green_mamba	9.62081	green_mamba	knot	9.48559	resnet50	squeezenet
ILSVRC2012_val_00000299.png	trilobite	-2.86823	chiton	vault	9.99773	resnet50	squeezenet
ILSVRC2012_val_00000300.png	Saluki	-0.40758	golden_retriever	teddy	9.99643	resnet50	squeezenet
ILSVRC2012_val_00000301.png	sea_cucumber	5.19734	chiton	coral_reef	9.54134	resnet50	squeezenet
ILSVRC2012_val_00000303.png	tiger	17.82826	jaguar	stole	9.40224	resnet50	squeezenet
ILSVRC2012_val_00000304.png	coral_fungus	0.32534	bolete	mushroom	9.70502	resnet50	squeezenet
ILSVRC2012_val_00000306.png	water_buffalo	-1.68057	black_stork	valley	9.99197	resnet50	squeezenet
ILSVRC2012_val_00000307.png	goldfish	1.91715	goldfish	umbrella	9.34244	resnet50	squeezenet
ILSVRC2012_val_00000312.png	barracouta	-0.90977	scuba_diver	wreck	8.84403	resnet50	squeezenet
ILSVRC2012_val_00000316.png	eel	8.40679	eel	mitten	9.27960	resnet50	squeezenet
ILSVRC2012_val_00000318.png	great_grey_owl	8.34988	great_grey_owl	tennis_ball	9.44830	resnet50	squeezenet
ILSVRC2012_val_00000319.png	echidna	6.90189	echidna	paintbrush	9.48084	resnet50	squeezenet
ILSVRC2012_val_00000322.png	skunk	4.57182	skunk	jigsaw_puzzle	9.23332	resnet50	squeezenet
ILSVRC2012_val_00000323.png	grey_fox	3.97862	fox_squirrel	chainlink_fence	9.53335	resnet50	squeezenet
ILSVRC2012_val_00000324.png	sea_snake	-1.12591	centipede	jigsaw_puzzle	9.99663	resnet50	squeezenet
ILSVRC2012_val_00000326.png	black-footed_ferret	3.56912	black-footed_ferret	washer	9.40674	resnet50	squeezenet
ILSVRC2012_val_00000327.png	black-and-tan_coonhound	6.04584	basenji	muzzle	9.30111	resnet50	squeezenet
ILSVRC2012_val_00000328.png	kite	16.73236	kite	coral_reef	9.56695	resnet50	squeezenet
ILSVRC2012_val_00000329.png	cock	-0.31228	snail	mitten	9.86835	resnet50	squeezenet
ILSVRC2012_val_00000333.png	pug	2.79548	pug	jigsaw_puzzle	9.47778	resnet50	squeezenet
ILSVRC2012_val_00000337.png	night_snake	7.59554	boa_constrictor	mitten	9.31648	resnet50	squeezenet
ILSVRC2012_val_00000340.png	titi	7.71577	titi	window_screen	9.27752	resnet50	squeezenet
ILSVRC2012_val_00000341.png	groom	-2.48627	hog	kimono	9.90613	resnet50	squeezenet
ILSVRC2012_val_00000342.png	dung_beetle	3.77493	dung_beetle	acorn	9.87548	resnet50	squeezenet
ILSVRC2012_val_00000343.png	llama	-0.97229	German_shepherd	totem_pole	9.93699	resnet50	squeezenet
ILSVRC2012_val_00000348.png	cheetah	9.96987	cheetah	chain_mail	9.46430	resnet50	squeezenet
ILSVRC2012_val_00000350.png	Boston_bull	4.40751	Boston_bull	Christmas_stocking	9.48710	resnet50	squeezenet
