img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	3.41426	sea_snake	chain	9.38413	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000003.png	Shetland_sheepdog	12.50989	Shetland_sheepdog	toilet_tissue	9.48404	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000006.png	garter_snake	5.62107	water_snake	vacuum	9.35480	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000007.png	porcupine	8.24908	porcupine	quill	9.48637	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000010.png	Angora	-1.84971	tick	piggy_bank	9.96967	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000011.png	brain_coral	5.81400	brain_coral	jackfruit	9.55806	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000012.png	cougar	12.01939	cougar	pineapple	9.03267	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000013.png	guenon	7.22595	guenon	jean	9.38859	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000016.png	grey_whale	-1.72193	grey_whale	wool	9.37126	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000017.png	sea_anemone	3.63846	starfish	torch	9.76957	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000018.png	vulture	11.38275	kite	paintbrush	9.38569	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000021.png	porcupine	9.46708	porcupine	greenhouse	9.34166	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000022.png	Ibizan_hound	-0.70824	llama	assault_rifle	9.24995	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000025.png	vulture	-3.02892	water_buffalo	plow	9.47806	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000027.png	white_wolf	6.89111	white_wolf	chainlink_fence	9.38312	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000028.png	English_foxhound	2.35778	beagle	bath_towel	9.07632	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000029.png	green_snake	4.87658	green_snake	custard_apple	9.35515	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000031.png	cabbage_butterfly	7.95863	cabbage_butterfly	bonnet	9.12778	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000033.png	sea_lion	0.57549	terrapin	manhole_cover	9.48762	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000034.png	ballplayer	-1.86694	ballplayer	military_uniform	9.99353	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000037.png	tailed_frog	-1.19617	mud_turtle	shield	9.53951	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000040.png	garden_spider	1.42138	tick	spider_web	9.52625	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000043.png	spoonbill	4.24387	spoonbill	sock	9.29059	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000044.png	standard_schnauzer	3.79393	standard_schnauzer	doormat	9.51746	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000045.png	Newfoundland	-2.22349	Arabian_camel	stole	9.42546	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000048.png	English_foxhound	1.39909	French_bulldog	bubble	9.32948	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000050.png	sturgeon	0.95850	gar	butcher_shop	0.00000	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000051.png	bee_eater	1.18712	bee_eater	quill	9.27222	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000052.png	axolotl	7.09173	axolotl	paper_towel	9.48794	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000055.png	polecat	-9.07363	Egyptian_cat	bassinet	9.99952	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000057.png	Pomeranian	3.96722	Persian_cat	caldron	9.29916	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000058.png	stinkhorn	4.65502	stinkhorn	mushroom	9.37872	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	5.08724	Irish_water_spaniel	jeep	9.34651	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000063.png	jellyfish	-12.07089	jellyfish	jigsaw_puzzle	9.25108	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000064.png	green_lizard	-0.24377	green_lizard	jigsaw_puzzle	9.32589	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000066.png	eel	2.26860	eel	coral_reef	9.52724	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000067.png	tusker	7.55614	tusker	chain_mail	9.55581	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000072.png	dugong	-1.14154	tiger_shark	pillow	9.99175	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000073.png	kite	-0.84495	kite	wing	9.49284	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000075.png	black_grouse	8.67871	black_grouse	cowboy_boot	9.24024	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	-6.82465	boxer	gasmask	9.41749	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000078.png	African_hunting_dog	9.11271	African_hunting_dog	steel_drum	9.36492	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000079.png	otterhound	8.65877	Irish_wolfhound	tennis_ball	9.49035	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000082.png	Afghan_hound	7.03602	Afghan_hound	gown	9.35008	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000084.png	water_snake	-6.14010	wolf_spider	spider_web	9.99941	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000087.png	siamang	1.49151	toucan	parking_meter	9.18272	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000088.png	spotted_salamander	3.21859	rock_python	ladle	9.45975	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000090.png	American_alligator	7.15915	green_lizard	greenhouse	9.42563	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000091.png	white_wolf	4.60784	white_wolf	teddy	8.66009	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000092.png	Madagascar_cat	7.67469	Madagascar_cat	jigsaw_puzzle	9.29372	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000093.png	gorilla	5.68155	gorilla	mask	9.22180	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000095.png	macaque	1.38797	macaque	jigsaw_puzzle	9.99560	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000097.png	wood_rabbit	2.75816	hare	coral_reef	9.45365	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000098.png	dowitcher	10.49116	dowitcher	screwdriver	8.79524	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000100.png	bighorn	-6.38986	EntleBucher	maze	9.99098	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000102.png	Rhodesian_ridgeback	-8.22381	German_shepherd	muzzle	9.48569	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000105.png	silky_terrier	-2.17735	silky_terrier	wig	9.99597	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000107.png	harvestman	6.90143	harvestman	spider_web	9.39710	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000111.png	American_lobster	-3.90873	American_lobster	bib	9.91074	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000113.png	kelpie	6.05296	kelpie	tennis_ball	9.23721	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000115.png	Ibizan_hound	5.62287	beagle	bath_towel	9.91220	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000124.png	rock_beauty	-4.37463	puffer	shower_cap	9.39915	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000125.png	grasshopper	-6.17649	grasshopper	hip	9.50285	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000127.png	impala	-0.48253	gazelle	cliff_dwelling	9.51573	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000128.png	bald_eagle	-13.04626	ruffed_grouse	jigsaw_puzzle	9.40524	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000130.png	Persian_cat	1.27011	Persian_cat	laptop	9.34229	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000133.png	hyena	9.75114	hyena	school_bus	9.10661	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000134.png	Doberman	-1.23071	lorikeet	maraca	9.40894	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000136.png	warthog	2.81181	peacock	mosquito_net	9.40908	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000138.png	sea_urchin	2.61396	sea_urchin	coral_reef	9.40366	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000141.png	bloodhound	-5.61939	tabby	paper_towel	9.85821	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000142.png	sea_urchin	0.56331	sea_urchin	coral_reef	9.39197	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000147.png	toy_poodle	10.15776	toy_poodle	saltshaker	8.98715	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000153.png	common_iguana	10.34951	common_iguana	velvet	8.83705	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000154.png	sea_slug	5.86199	sea_slug	coral_reef	9.20185	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000156.png	coyote	7.02260	dhole	muzzle	9.56261	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000157.png	red_fox	6.92092	red_fox	bath_towel	9.53937	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000161.png	Irish_setter	5.57029	Border_terrier	tennis_ball	9.41319	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000170.png	toy_terrier	-0.62021	toy_terrier	jigsaw_puzzle	9.36775	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000172.png	English_setter	1.46088	English_setter	doormat	9.51355	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000174.png	Great_Pyrenees	2.67846	kuvasz	sock	9.35309	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000176.png	miniature_schnauzer	5.38778	Scotch_terrier	muzzle	8.86841	wide_resnet50_2	resnext50_32x4d
