img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-3.43980	water_snake	jigsaw_puzzle	9.37959	resnet50	wide_resnet50_2
ILSVRC2012_val_00000003.png	Shetland_sheepdog	5.49507	Shetland_sheepdog	clog	9.32717	resnet50	wide_resnet50_2
ILSVRC2012_val_00000006.png	garter_snake	-4.09218	water_snake	safety_pin	9.33410	resnet50	wide_resnet50_2
ILSVRC2012_val_00000007.png	porcupine	-2.59473	porcupine	coil	9.99685	resnet50	wide_resnet50_2
ILSVRC2012_val_00000010.png	Angora	-13.55579	toy_poodle	wig	9.70842	resnet50	wide_resnet50_2
ILSVRC2012_val_00000011.png	brain_coral	-2.36297	brain_coral	jigsaw_puzzle	9.76290	resnet50	wide_resnet50_2
ILSVRC2012_val_00000012.png	cougar	7.50837	cougar	remote_control	9.46873	resnet50	wide_resnet50_2
ILSVRC2012_val_00000013.png	guenon	6.16270	guenon	frying_pan	9.33756	resnet50	wide_resnet50_2
ILSVRC2012_val_00000016.png	grey_whale	-4.31713	grey_whale	quilt	9.71898	resnet50	wide_resnet50_2
ILSVRC2012_val_00000017.png	sea_anemone	-1.88480	starfish	nail	9.07898	resnet50	wide_resnet50_2
ILSVRC2012_val_00000018.png	vulture	1.17430	kite	jigsaw_puzzle	9.22253	resnet50	wide_resnet50_2
ILSVRC2012_val_00000021.png	porcupine	-2.29912	peacock	greenhouse	9.25178	resnet50	wide_resnet50_2
ILSVRC2012_val_00000022.png	Ibizan_hound	-5.14372	llama	stretcher	9.97671	resnet50	wide_resnet50_2
ILSVRC2012_val_00000025.png	vulture	15.05009	vulture	worm_fence	9.76270	resnet50	wide_resnet50_2
ILSVRC2012_val_00000027.png	white_wolf	9.42772	white_wolf	maze	9.31742	resnet50	wide_resnet50_2
ILSVRC2012_val_00000028.png	English_foxhound	7.16695	Walker_hound	tennis_ball	9.07726	resnet50	wide_resnet50_2
ILSVRC2012_val_00000029.png	green_snake	2.01036	green_snake	confectionery	9.48799	resnet50	wide_resnet50_2
ILSVRC2012_val_00000031.png	cabbage_butterfly	2.76340	cabbage_butterfly	head_cabbage	9.94327	resnet50	wide_resnet50_2
ILSVRC2012_val_00000033.png	sea_lion	-4.55980	sea_lion	jigsaw_puzzle	9.31396	resnet50	wide_resnet50_2
ILSVRC2012_val_00000034.png	ballplayer	-3.07165	ballplayer	military_uniform	9.28266	resnet50	wide_resnet50_2
ILSVRC2012_val_00000037.png	tailed_frog	-9.02946	diamondback	ladle	9.74728	resnet50	wide_resnet50_2
ILSVRC2012_val_00000040.png	garden_spider	-3.53587	garden_spider	spider_web	9.92037	resnet50	wide_resnet50_2
ILSVRC2012_val_00000043.png	spoonbill	2.25644	spoonbill	pole	9.93104	resnet50	wide_resnet50_2
ILSVRC2012_val_00000044.png	standard_schnauzer	6.28694	miniature_schnauzer	notebook	9.06386	resnet50	wide_resnet50_2
ILSVRC2012_val_00000045.png	Newfoundland	-0.40824	Newfoundland	bonnet	8.74766	resnet50	wide_resnet50_2
ILSVRC2012_val_00000048.png	English_foxhound	-6.27864	Shetland_sheepdog	shower_cap	9.36488	resnet50	wide_resnet50_2
ILSVRC2012_val_00000050.png	sturgeon	-10.38513	coho	butcher_shop	9.65277	resnet50	wide_resnet50_2
ILSVRC2012_val_00000051.png	bee_eater	-1.00887	dragonfly	quill	9.23874	resnet50	wide_resnet50_2
ILSVRC2012_val_00000052.png	axolotl	11.39209	axolotl	corn	9.70789	resnet50	wide_resnet50_2
ILSVRC2012_val_00000055.png	polecat	-13.65755	hamster	bassinet	9.05456	resnet50	wide_resnet50_2
ILSVRC2012_val_00000057.png	Pomeranian	-2.32358	Pomeranian	jigsaw_puzzle	8.94602	resnet50	wide_resnet50_2
ILSVRC2012_val_00000058.png	stinkhorn	5.11327	stinkhorn	hip	9.73883	resnet50	wide_resnet50_2
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	1.10290	curly-coated_retriever	poncho	9.88354	resnet50	wide_resnet50_2
ILSVRC2012_val_00000063.png	jellyfish	-6.51213	jellyfish	volcano	9.90368	resnet50	wide_resnet50_2
ILSVRC2012_val_00000064.png	green_lizard	2.09842	green_lizard	shower_curtain	9.92913	resnet50	wide_resnet50_2
ILSVRC2012_val_00000066.png	eel	-7.37519	eel	jigsaw_puzzle	9.26702	resnet50	wide_resnet50_2
ILSVRC2012_val_00000067.png	tusker	10.84343	tusker	chain_mail	9.31033	resnet50	wide_resnet50_2
ILSVRC2012_val_00000072.png	dugong	-9.08005	starfish	cowboy_boot	9.61632	resnet50	wide_resnet50_2
ILSVRC2012_val_00000073.png	kite	-0.96085	bald_eagle	ski	9.99939	resnet50	wide_resnet50_2
ILSVRC2012_val_00000075.png	black_grouse	10.35601	black_grouse	quill	9.98231	resnet50	wide_resnet50_2
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	-5.21231	Rhodesian_ridgeback	muzzle	9.27807	resnet50	wide_resnet50_2
ILSVRC2012_val_00000078.png	African_hunting_dog	6.67067	African_hunting_dog	crutch	9.30782	resnet50	wide_resnet50_2
ILSVRC2012_val_00000079.png	otterhound	6.29529	otterhound	Crock_Pot	9.72726	resnet50	wide_resnet50_2
ILSVRC2012_val_00000082.png	Afghan_hound	-7.57972	Afghan_hound	stole	9.72291	resnet50	wide_resnet50_2
ILSVRC2012_val_00000084.png	water_snake	-5.29353	wolf_spider	spider_web	9.90417	resnet50	wide_resnet50_2
ILSVRC2012_val_00000087.png	siamang	-4.31749	Siberian_husky	spider_web	9.87989	resnet50	wide_resnet50_2
ILSVRC2012_val_00000088.png	spotted_salamander	-9.03346	dragonfly	bubble	9.38853	resnet50	wide_resnet50_2
ILSVRC2012_val_00000090.png	American_alligator	0.17339	weevil	jigsaw_puzzle	9.24513	resnet50	wide_resnet50_2
ILSVRC2012_val_00000091.png	white_wolf	7.12150	kuvasz	feather_boa	8.52277	resnet50	wide_resnet50_2
ILSVRC2012_val_00000092.png	Madagascar_cat	6.11494	indri	mask	9.18455	resnet50	wide_resnet50_2
ILSVRC2012_val_00000093.png	gorilla	1.17394	gorilla	muzzle	9.66349	resnet50	wide_resnet50_2
ILSVRC2012_val_00000095.png	macaque	-2.11374	gibbon	teddy	9.91848	resnet50	wide_resnet50_2
ILSVRC2012_val_00000097.png	wood_rabbit	7.92759	wood_rabbit	greenhouse	9.71513	resnet50	wide_resnet50_2
ILSVRC2012_val_00000098.png	dowitcher	-0.64560	dowitcher	fig	9.48477	resnet50	wide_resnet50_2
ILSVRC2012_val_00000100.png	bighorn	-5.18495	bighorn	maze	9.35922	resnet50	wide_resnet50_2
ILSVRC2012_val_00000102.png	Rhodesian_ridgeback	1.76428	bull_mastiff	cowboy_hat	9.12448	resnet50	wide_resnet50_2
ILSVRC2012_val_00000105.png	silky_terrier	-5.78985	silky_terrier	wig	9.99659	resnet50	wide_resnet50_2
ILSVRC2012_val_00000107.png	harvestman	-1.65157	harvestman	spider_web	9.89250	resnet50	wide_resnet50_2
ILSVRC2012_val_00000111.png	American_lobster	2.08162	crayfish	restaurant	9.25075	resnet50	wide_resnet50_2
ILSVRC2012_val_00000113.png	kelpie	5.17225	kelpie	doormat	9.61993	resnet50	wide_resnet50_2
ILSVRC2012_val_00000115.png	Ibizan_hound	-3.76806	guinea_pig	bathtub	9.68561	resnet50	wide_resnet50_2
ILSVRC2012_val_00000124.png	rock_beauty	-0.11673	puffer	custard_apple	9.68053	resnet50	wide_resnet50_2
ILSVRC2012_val_00000125.png	grasshopper	-2.27405	grasshopper	hip	9.99899	resnet50	wide_resnet50_2
ILSVRC2012_val_00000127.png	impala	-8.01611	impala	plow	9.34246	resnet50	wide_resnet50_2
ILSVRC2012_val_00000128.png	bald_eagle	0.13063	hummingbird	jigsaw_puzzle	9.62013	resnet50	wide_resnet50_2
ILSVRC2012_val_00000130.png	Persian_cat	3.93206	Persian_cat	laptop	9.65252	resnet50	wide_resnet50_2
ILSVRC2012_val_00000133.png	hyena	3.83417	slug	mushroom	9.68921	resnet50	wide_resnet50_2
ILSVRC2012_val_00000134.png	Doberman	-1.47500	Rottweiler	croquet_ball	9.13452	resnet50	wide_resnet50_2
ILSVRC2012_val_00000136.png	warthog	-1.07308	brain_coral	maze	9.32567	resnet50	wide_resnet50_2
ILSVRC2012_val_00000138.png	sea_urchin	3.83500	sea_urchin	nail	9.27117	resnet50	wide_resnet50_2
ILSVRC2012_val_00000141.png	bloodhound	-3.63562	American_Staffordshire_terrier	paper_towel	9.01687	resnet50	wide_resnet50_2
ILSVRC2012_val_00000142.png	sea_urchin	-1.99231	sea_urchin	jigsaw_puzzle	9.96187	resnet50	wide_resnet50_2
ILSVRC2012_val_00000147.png	toy_poodle	4.13651	giant_schnauzer	mask	9.61940	resnet50	wide_resnet50_2
ILSVRC2012_val_00000153.png	common_iguana	5.51335	common_iguana	accordion	8.84550	resnet50	wide_resnet50_2
ILSVRC2012_val_00000154.png	sea_slug	3.08284	sea_slug	coral_reef	8.98594	resnet50	wide_resnet50_2
ILSVRC2012_val_00000156.png	coyote	3.73243	dhole	quilt	9.76545	resnet50	wide_resnet50_2
ILSVRC2012_val_00000157.png	red_fox	-0.31548	hamster	broccoli	9.71351	resnet50	wide_resnet50_2
ILSVRC2012_val_00000161.png	Irish_setter	4.63899	black-and-tan_coonhound	tennis_ball	9.17374	resnet50	wide_resnet50_2
ILSVRC2012_val_00000170.png	toy_terrier	-2.18926	Italian_greyhound	sock	9.47074	resnet50	wide_resnet50_2
ILSVRC2012_val_00000172.png	English_setter	0.58381	English_setter	doormat	9.75937	resnet50	wide_resnet50_2
ILSVRC2012_val_00000174.png	Great_Pyrenees	-1.73961	kuvasz	teddy	9.90719	resnet50	wide_resnet50_2
ILSVRC2012_val_00000176.png	miniature_schnauzer	5.59850	Scotch_terrier	mask	9.80234	resnet50	wide_resnet50_2
ILSVRC2012_val_00000177.png	red-backed_sandpiper	-0.43628	dowitcher	sombrero	9.64525	resnet50	wide_resnet50_2
ILSVRC2012_val_00000178.png	Eskimo_dog	9.48750	Siberian_husky	dogsled	9.31772	resnet50	wide_resnet50_2
ILSVRC2012_val_00000179.png	sorrel	5.88871	sorrel	horse_cart	9.99917	resnet50	wide_resnet50_2
ILSVRC2012_val_00000180.png	Shetland_sheepdog	4.25050	Old_English_sheepdog	soccer_ball	9.17804	resnet50	wide_resnet50_2
ILSVRC2012_val_00000181.png	skunk	-7.37235	llama	mitten	9.65085	resnet50	wide_resnet50_2
ILSVRC2012_val_00000186.png	snow_leopard	4.90555	jaguar	sock	9.18898	resnet50	wide_resnet50_2
ILSVRC2012_val_00000188.png	coyote	2.45160	African_chameleon	rocking_chair	9.70204	resnet50	wide_resnet50_2
