img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	3.66149	water_snake	knot	9.39122	efficientnet-b0	resnet50
ILSVRC2012_val_00000003.png	Shetland_sheepdog	9.56783	Shetland_sheepdog	tennis_ball	9.30975	efficientnet-b0	resnet50
ILSVRC2012_val_00000006.png	garter_snake	8.62323	water_snake	worm_fence	9.35786	efficientnet-b0	resnet50
ILSVRC2012_val_00000007.png	porcupine	3.79594	porcupine	wool	9.45733	efficientnet-b0	resnet50
ILSVRC2012_val_00000010.png	Angora	0.70003	triceratops	wool	9.51399	efficientnet-b0	resnet50
ILSVRC2012_val_00000011.png	brain_coral	6.87124	brain_coral	coral_reef	9.36950	efficientnet-b0	resnet50
ILSVRC2012_val_00000012.png	cougar	15.67189	cougar	tennis_ball	8.99257	efficientnet-b0	resnet50
ILSVRC2012_val_00000013.png	guenon	12.67151	guenon	breastplate	9.26555	efficientnet-b0	resnet50
ILSVRC2012_val_00000016.png	grey_whale	10.22298	grey_whale	submarine	9.99842	efficientnet-b0	resnet50
ILSVRC2012_val_00000017.png	sea_anemone	0.20876	sea_anemone	umbrella	9.88280	efficientnet-b0	resnet50
ILSVRC2012_val_00000018.png	vulture	7.33865	kite	Christmas_stocking	9.21407	efficientnet-b0	resnet50
ILSVRC2012_val_00000021.png	porcupine	5.23174	porcupine	cardoon	9.18411	efficientnet-b0	resnet50
ILSVRC2012_val_00000022.png	Ibizan_hound	4.28114	Irish_wolfhound	milk_can	8.86277	efficientnet-b0	resnet50
ILSVRC2012_val_00000025.png	vulture	9.45194	vulture	amphibian	9.55968	efficientnet-b0	resnet50
ILSVRC2012_val_00000027.png	white_wolf	10.30867	white_wolf	worm_fence	9.38143	efficientnet-b0	resnet50
ILSVRC2012_val_00000028.png	English_foxhound	2.35355	Walker_hound	bath_towel	8.93187	efficientnet-b0	resnet50
ILSVRC2012_val_00000029.png	green_snake	3.24278	green_snake	confectionery	9.00959	efficientnet-b0	resnet50
ILSVRC2012_val_00000031.png	cabbage_butterfly	1.48472	cabbage_butterfly	bonnet	8.72613	efficientnet-b0	resnet50
ILSVRC2012_val_00000033.png	sea_lion	1.31755	terrapin	spider_web	9.95154	efficientnet-b0	resnet50
ILSVRC2012_val_00000034.png	ballplayer	-3.28496	ballplayer	puck	9.86347	efficientnet-b0	resnet50
ILSVRC2012_val_00000037.png	tailed_frog	5.18533	common_newt	rifle	9.39566	efficientnet-b0	resnet50
ILSVRC2012_val_00000040.png	garden_spider	2.74328	garden_spider	spider_web	9.26521	efficientnet-b0	resnet50
ILSVRC2012_val_00000043.png	spoonbill	6.21027	spoonbill	mushroom	9.34602	efficientnet-b0	resnet50
