img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	6.33519	rock_python	knot	9.40470	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000003.png	Shetland_sheepdog	6.68405	Shetland_sheepdog	spindle	9.37398	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000006.png	garter_snake	3.92641	diamondback	worm_fence	9.55543	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000007.png	porcupine	8.17362	porcupine	projector	9.50702	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000010.png	Angora	0.87713	toy_poodle	wig	9.99434	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000011.png	brain_coral	5.54109	brain_coral	coral_reef	9.28647	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000012.png	cougar	9.45313	cougar	maillot	8.85225	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000013.png	guenon	7.11564	guenon	hair_spray	9.51350	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000016.png	grey_whale	9.60172	grey_whale	volcano	9.50983	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000017.png	sea_anemone	0.51899	starfish	candle	9.75998	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000018.png	vulture	5.58957	vulture	tray	9.28071	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000021.png	porcupine	8.34221	porcupine	cardoon	9.57495	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000022.png	Ibizan_hound	0.79676	wire-haired_fox_terrier	bulletproof_vest	8.96179	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000025.png	vulture	5.88318	vulture	bow	9.38768	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000027.png	white_wolf	7.56625	white_wolf	crane	9.35071	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000028.png	English_foxhound	5.91778	Walker_hound	tennis_ball	9.02826	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000029.png	green_snake	6.33397	green_snake	strawberry	9.27600	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000031.png	cabbage_butterfly	5.62447	sulphur_butterfly	pick	9.36344	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000033.png	sea_lion	2.44051	otter	jigsaw_puzzle	9.99033	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000034.png	ballplayer	-1.67810	ballplayer	ski	9.90024	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000037.png	tailed_frog	1.06085	axolotl	ladle	9.51908	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000040.png	garden_spider	2.76436	garden_spider	spider_web	9.50731	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000043.png	spoonbill	5.98981	spoonbill	golfcart	9.26925	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000044.png	standard_schnauzer	8.10122	standard_schnauzer	garbage_truck	9.30967	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000045.png	Newfoundland	8.54115	Newfoundland	feather_boa	8.97787	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000048.png	English_foxhound	4.55154	beagle	shower_cap	9.34845	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000050.png	sturgeon	-1.83522	gar	butcher_shop	9.99089	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000051.png	bee_eater	3.18170	bee_eater	quill	9.46196	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000052.png	axolotl	8.20152	axolotl	crib	9.48516	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000055.png	polecat	2.70139	polecat	diaper	9.99971	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000057.png	Pomeranian	5.26156	Pomeranian	toilet_tissue	9.25069	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000058.png	stinkhorn	7.72350	stinkhorn	hip	9.49542	resnet50	efficientnet-b0-advtrain
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	5.76091	curly-coated_retriever	purse	9.44129	resnet50	efficientnet-b0-advtrain
