img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	6.76617	sea_snake	chain	9.99969	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000003.png	Shetland_sheepdog	6.52044	collie	spindle	9.53286	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000006.png	garter_snake	5.42784	garter_snake	hook	9.99510	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000007.png	porcupine	7.95498	porcupine	projector	9.96133	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000010.png	Angora	-1.95735	Persian_cat	mask	9.50382	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000011.png	brain_coral	5.37830	brain_coral	coral_reef	9.27510	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000012.png	cougar	10.08789	cougar	maillot	9.68849	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000013.png	guenon	6.35627	guenon	bottlecap	9.51148	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000016.png	grey_whale	8.38809	grey_whale	volcano	9.24055	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000017.png	sea_anemone	3.72183	starfish	torch	0.00000	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000018.png	vulture	5.09342	vulture	parachute	9.13086	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000021.png	porcupine	7.91579	porcupine	valley	9.50668	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000022.png	Ibizan_hound	0.35836	Kerry_blue_terrier	stretcher	9.92744	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000025.png	vulture	5.30248	vulture	bow	9.53937	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000027.png	white_wolf	7.23455	white_wolf	oxcart	9.51568	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000028.png	English_foxhound	6.47852	Walker_hound	matchstick	9.95668	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000029.png	green_snake	6.20467	green_snake	strawberry	9.72910	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000031.png	cabbage_butterfly	7.31164	cabbage_butterfly	pick	8.60095	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000033.png	sea_lion	0.70300	terrapin	vase	9.95099	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000034.png	ballplayer	3.03622	ballplayer	tricycle	0.00000	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000037.png	tailed_frog	5.23982	common_newt	plunger	9.40567	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000040.png	garden_spider	3.13359	garden_spider	spider_web	9.52375	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000043.png	spoonbill	5.72649	spoonbill	mushroom	9.90367	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000044.png	standard_schnauzer	6.85083	miniature_schnauzer	cocktail_shaker	9.30473	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000045.png	Newfoundland	8.07697	Newfoundland	swab	9.91563	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000048.png	English_foxhound	4.62066	beagle	shower_cap	9.32557	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000050.png	sturgeon	3.87134	gar	butcher_shop	0.00000	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000051.png	bee_eater	4.87783	bee_eater	book_jacket	9.51362	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000052.png	axolotl	8.04136	axolotl	window_screen	9.48164	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000055.png	polecat	6.50732	black-footed_ferret	nipple	9.99705	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000057.png	Pomeranian	5.27082	Pomeranian	worm_fence	8.92146	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000058.png	stinkhorn	6.05143	stinkhorn	mushroom	9.44033	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	6.23992	curly-coated_retriever	purse	9.41759	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000063.png	jellyfish	1.58752	jellyfish	shower_cap	9.44306	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000064.png	green_lizard	6.11441	American_chameleon	feather_boa	9.51048	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000066.png	eel	6.15860	eel	dough	9.28195	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000067.png	tusker	5.72054	tusker	chain_mail	9.49718	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000072.png	dugong	5.96751	dugong	jigsaw_puzzle	9.32242	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000073.png	kite	2.67860	English_setter	jigsaw_puzzle	9.99526	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000075.png	black_grouse	7.50314	black_grouse	snowmobile	9.16571	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	-0.61797	Great_Dane	muzzle	9.47732	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000078.png	African_hunting_dog	9.01775	African_hunting_dog	muzzle	9.50776	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000079.png	otterhound	8.23922	otterhound	tennis_ball	9.50627	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000082.png	Afghan_hound	8.55843	Afghan_hound	cloak	9.53585	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000084.png	water_snake	3.11183	wolf_spider	spider_web	9.99919	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000087.png	siamang	6.38364	indri	toilet_tissue	9.15488	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000088.png	spotted_salamander	2.91810	spotted_salamander	spider_web	9.98639	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000090.png	American_alligator	4.18918	American_alligator	bow	9.97578	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000091.png	white_wolf	7.32965	white_wolf	dogsled	8.79953	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000092.png	Madagascar_cat	6.83969	indri	ear	9.80738	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000093.png	gorilla	7.04178	gorilla	analog_clock	9.98836	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000095.png	macaque	7.02727	macaque	binoculars	9.25379	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000097.png	wood_rabbit	4.75642	wood_rabbit	rotisserie	9.49584	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000098.png	dowitcher	7.16058	dowitcher	screwdriver	8.92484	squeezenet	efficientnet-b0-advtrain
ILSVRC2012_val_00000100.png	bighorn	-3.19877	bighorn	alp	9.91841	squeezenet	efficientnet-b0-advtrain
