img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-4.16974	water_snake	maze	9.90065	squeezenet	resnet50
ILSVRC2012_val_00000003.png	Shetland_sheepdog	0.88185	Shetland_sheepdog	clog	9.97139	squeezenet	resnet50
ILSVRC2012_val_00000006.png	garter_snake	-4.53121	garter_snake	safety_pin	9.91426	squeezenet	resnet50
ILSVRC2012_val_00000007.png	porcupine	3.69485	porcupine	hay	9.86461	squeezenet	resnet50
ILSVRC2012_val_00000010.png	Angora	-4.09815	starfish	mask	9.91498	squeezenet	resnet50
ILSVRC2012_val_00000011.png	brain_coral	6.02678	brain_coral	coral_reef	9.88030	squeezenet	resnet50
ILSVRC2012_val_00000012.png	cougar	16.52046	cougar	window_screen	9.42074	squeezenet	resnet50
ILSVRC2012_val_00000013.png	guenon	7.44360	guenon	mask	9.89082	squeezenet	resnet50
ILSVRC2012_val_00000016.png	grey_whale	1.54856	grey_whale	volcano	9.89249	squeezenet	resnet50
ILSVRC2012_val_00000017.png	sea_anemone	5.36788	starfish	coral_reef	0.00000	squeezenet	resnet50
ILSVRC2012_val_00000018.png	vulture	0.81988	kite	parachute	9.99836	squeezenet	resnet50
ILSVRC2012_val_00000021.png	porcupine	5.86265	porcupine	cardoon	9.97684	squeezenet	resnet50
ILSVRC2012_val_00000022.png	Ibizan_hound	-1.00102	Saluki	plow	9.76528	squeezenet	resnet50
ILSVRC2012_val_00000025.png	vulture	6.96327	vulture	half_track	9.97254	squeezenet	resnet50
ILSVRC2012_val_00000027.png	white_wolf	5.52907	white_wolf	worm_fence	9.63422	squeezenet	resnet50
ILSVRC2012_val_00000028.png	English_foxhound	3.77169	Walker_hound	bath_towel	9.51553	squeezenet	resnet50
ILSVRC2012_val_00000029.png	green_snake	5.63708	green_snake	confectionery	9.45243	squeezenet	resnet50
ILSVRC2012_val_00000031.png	cabbage_butterfly	4.17765	cabbage_butterfly	head_cabbage	9.85113	squeezenet	resnet50
ILSVRC2012_val_00000033.png	sea_lion	-5.50766	soft-coated_wheaten_terrier	manhole_cover	9.88036	squeezenet	resnet50
ILSVRC2012_val_00000034.png	ballplayer	1.92945	ballplayer	military_uniform	0.00000	squeezenet	resnet50
ILSVRC2012_val_00000037.png	tailed_frog	-0.01735	gar	scabbard	9.90044	squeezenet	resnet50
ILSVRC2012_val_00000040.png	garden_spider	1.77593	tick	spider_web	9.96562	squeezenet	resnet50
ILSVRC2012_val_00000043.png	spoonbill	-4.91682	spoonbill	tricycle	9.84595	squeezenet	resnet50
ILSVRC2012_val_00000044.png	standard_schnauzer	8.84130	miniature_schnauzer	muzzle	9.99994	squeezenet	resnet50
ILSVRC2012_val_00000045.png	Newfoundland	1.89814	Newfoundland	stole	9.97961	squeezenet	resnet50
ILSVRC2012_val_00000048.png	English_foxhound	-1.18615	brain_coral	jigsaw_puzzle	9.89235	squeezenet	resnet50
ILSVRC2012_val_00000050.png	sturgeon	1.12260	gar	butcher_shop	0.00000	squeezenet	resnet50
ILSVRC2012_val_00000051.png	bee_eater	5.44075	macaw	spider_web	9.97101	squeezenet	resnet50
ILSVRC2012_val_00000052.png	axolotl	5.73918	axolotl	coral_reef	9.89062	squeezenet	resnet50
ILSVRC2012_val_00000055.png	polecat	-3.84057	Siamese_cat	spindle	9.88101	squeezenet	resnet50
ILSVRC2012_val_00000057.png	Pomeranian	5.70239	Pomeranian	combination_lock	9.49123	squeezenet	resnet50
ILSVRC2012_val_00000058.png	stinkhorn	0.98372	stinkhorn	acorn	9.87906	squeezenet	resnet50
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	3.22892	Irish_water_spaniel	hay	9.90724	squeezenet	resnet50
ILSVRC2012_val_00000063.png	jellyfish	-3.08050	brain_coral	cardigan	9.88071	squeezenet	resnet50
ILSVRC2012_val_00000064.png	green_lizard	0.06971	American_chameleon	cardigan	9.89883	squeezenet	resnet50
ILSVRC2012_val_00000066.png	eel	0.40858	brain_coral	coral_reef	9.98987	squeezenet	resnet50
ILSVRC2012_val_00000067.png	tusker	4.04290	tusker	chain_mail	9.90052	squeezenet	resnet50
ILSVRC2012_val_00000072.png	dugong	-1.98700	brain_coral	sleeping_bag	9.95258	squeezenet	resnet50
ILSVRC2012_val_00000073.png	kite	4.85954	kite	dogsled	9.96859	squeezenet	resnet50
ILSVRC2012_val_00000075.png	black_grouse	11.17334	black_grouse	worm_fence	9.97651	squeezenet	resnet50
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	0.93231	Saluki	muzzle	9.98975	squeezenet	resnet50
ILSVRC2012_val_00000078.png	African_hunting_dog	-0.55791	African_hunting_dog	vault	9.99968	squeezenet	resnet50
ILSVRC2012_val_00000079.png	otterhound	2.25696	otterhound	teddy	9.88126	squeezenet	resnet50
ILSVRC2012_val_00000082.png	Afghan_hound	-1.38191	briard	vestment	9.89409	squeezenet	resnet50
ILSVRC2012_val_00000084.png	water_snake	-0.69913	cicada	spider_web	9.96647	squeezenet	resnet50
ILSVRC2012_val_00000087.png	siamang	-5.94216	garden_spider	spider_web	9.94543	squeezenet	resnet50
ILSVRC2012_val_00000088.png	spotted_salamander	4.33450	spotted_salamander	spider_web	9.89132	squeezenet	resnet50
ILSVRC2012_val_00000090.png	American_alligator	8.48201	American_alligator	greenhouse	9.99521	squeezenet	resnet50
ILSVRC2012_val_00000091.png	white_wolf	3.71444	kuvasz	teddy	9.80924	squeezenet	resnet50
ILSVRC2012_val_00000092.png	Madagascar_cat	-0.52672	Madagascar_cat	mitten	9.84831	squeezenet	resnet50
ILSVRC2012_val_00000093.png	gorilla	-3.85905	chimpanzee	mask	9.96278	squeezenet	resnet50
ILSVRC2012_val_00000095.png	macaque	1.77066	macaque	teddy	9.61667	squeezenet	resnet50
ILSVRC2012_val_00000097.png	wood_rabbit	-5.56468	hare	plow	9.87649	squeezenet	resnet50
ILSVRC2012_val_00000098.png	dowitcher	6.53638	dowitcher	maraca	9.80443	squeezenet	resnet50
ILSVRC2012_val_00000100.png	bighorn	-15.58581	ibex	maze	9.85688	squeezenet	resnet50
ILSVRC2012_val_00000102.png	Rhodesian_ridgeback	6.27208	malinois	muzzle	9.87066	squeezenet	resnet50
ILSVRC2012_val_00000105.png	silky_terrier	1.29502	silky_terrier	wool	9.88638	squeezenet	resnet50
ILSVRC2012_val_00000107.png	harvestman	1.36871	harvestman	safety_pin	9.44339	squeezenet	resnet50
ILSVRC2012_val_00000111.png	American_lobster	1.04963	American_lobster	tray	9.85622	squeezenet	resnet50
