img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	7.74785	water_snake	tray	9.42539	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000003.png	Shetland_sheepdog	7.68152	Shetland_sheepdog	crutch	9.35004	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000006.png	garter_snake	6.09906	water_snake	worm_fence	9.28721	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000007.png	porcupine	1.64282	peacock	wool	9.35445	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000010.png	Angora	-4.42841	hog	mask	9.31974	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000011.png	brain_coral	3.71878	brain_coral	jackfruit	9.99271	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000012.png	cougar	9.31019	cougar	bow_tie	9.20192	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000013.png	guenon	12.37006	guenon	frying_pan	9.45248	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000016.png	grey_whale	-3.39602	grey_whale	cliff	9.36483	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000017.png	sea_anemone	-0.64986	groom	greenhouse	8.98497	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000018.png	vulture	1.26585	kite	jigsaw_puzzle	9.32677	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000021.png	porcupine	4.13013	ruffed_grouse	spider_web	9.34860	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000022.png	Ibizan_hound	-2.59949	Arabian_camel	dogsled	9.08390	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000025.png	vulture	12.93645	vulture	worm_fence	9.33434	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000027.png	white_wolf	-0.88538	kuvasz	maze	9.42291	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000028.png	English_foxhound	4.47613	beagle	bath_towel	9.36628	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000029.png	green_snake	6.34289	green_snake	cucumber	9.15112	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000031.png	cabbage_butterfly	-3.07460	cabbage_butterfly	handkerchief	8.96797	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000033.png	sea_lion	0.32979	sea_lion	mask	9.47632	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000034.png	ballplayer	-9.35566	ballplayer	military_uniform	9.96053	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000037.png	tailed_frog	-0.57251	electric_ray	spindle	9.40670	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000040.png	garden_spider	1.75562	garden_spider	hip	9.32489	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000043.png	spoonbill	2.01871	spoonbill	bow	9.98940	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000044.png	standard_schnauzer	8.24797	miniature_schnauzer	cellular_telephone	9.38353	densenet-121	wide_resnet50_2
