img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-1.49215	ringneck_snake	magnetic_compass	9.51380	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000003.png	Shetland_sheepdog	-0.38171	collie	tennis_ball	9.16518	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000006.png	garter_snake	2.73805	sea_snake	lawn_mower	9.29133	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000007.png	porcupine	-1.62526	cock	wool	9.34316	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000010.png	Angora	-7.51273	toy_poodle	teddy	9.73020	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000011.png	brain_coral	7.81007	brain_coral	coral_reef	9.18644	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000012.png	cougar	9.62346	cougar	feather_boa	8.69785	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000013.png	guenon	2.31476	guenon	tray	9.36950	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000016.png	grey_whale	6.89859	grey_whale	volcano	9.36518	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000017.png	sea_anemone	4.35751	goldfish	coral_reef	9.42233	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000018.png	vulture	3.05678	kite	paper_towel	8.84903	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000021.png	porcupine	3.46071	lorikeet	cardoon	9.14136	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000022.png	Ibizan_hound	-2.85590	Siberian_husky	dogsled	9.05296	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000025.png	vulture	7.16215	hen	pinwheel	9.34499	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000027.png	white_wolf	6.55679	white_wolf	cardigan	9.38417	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000028.png	English_foxhound	3.03060	bloodhound	bath_towel	9.02647	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000029.png	green_snake	4.00205	green_snake	custard_apple	8.86277	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000031.png	cabbage_butterfly	0.12346	cabbage_butterfly	jackfruit	8.93036	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000033.png	sea_lion	-5.09717	terrapin	ocarina	9.32213	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000034.png	ballplayer	-2.10224	ballplayer	umbrella	9.97616	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000037.png	tailed_frog	-2.99141	dragonfly	maraca	9.33826	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000040.png	garden_spider	2.49194	barn_spider	spider_web	9.33500	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000043.png	spoonbill	10.61761	spoonbill	tricycle	9.22698	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000044.png	standard_schnauzer	-6.88779	tiger_cat	muzzle	9.53756	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000045.png	Newfoundland	0.11196	Newfoundland	stole	9.09508	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000048.png	English_foxhound	-0.64887	proboscis_monkey	bath_towel	9.30810	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000050.png	sturgeon	-1.36246	barracouta	wool	9.33439	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000051.png	bee_eater	-0.79318	bee_eater	quill	9.24288	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000052.png	axolotl	12.60128	axolotl	strainer	9.04846	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000055.png	polecat	0.05997	earthstar	mushroom	9.29815	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000057.png	Pomeranian	3.26261	Persian_cat	paper_towel	8.89682	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000058.png	stinkhorn	11.04378	stinkhorn	mushroom	9.38644	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	5.13514	curly-coated_retriever	muzzle	8.83461	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000063.png	jellyfish	-8.98371	stingray	sleeping_bag	9.43945	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000064.png	green_lizard	8.21009	green_lizard	feather_boa	9.20411	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000066.png	eel	0.69248	brain_coral	sleeping_bag	9.26519	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000067.png	tusker	5.76232	tusker	jean	9.60259	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000072.png	dugong	1.46379	dugong	dough	9.27290	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000073.png	kite	-0.26075	kite	teddy	9.33681	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000075.png	black_grouse	16.85631	black_grouse	worm_fence	9.47602	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	1.36045	vizsla	muzzle	9.50587	efficientnet-b0-advtrain	densenet-121
