img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	6.14620	rock_python	knot	9.39122	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000003.png	Shetland_sheepdog	4.58781	Shetland_sheepdog	spindle	9.31608	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000006.png	garter_snake	8.90912	garter_snake	worm_fence	9.38136	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000007.png	porcupine	8.56537	porcupine	quill	9.22484	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000010.png	Angora	-3.13672	Airedale	teddy	9.34660	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000011.png	brain_coral	5.65112	brain_coral	jackfruit	9.27563	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000012.png	cougar	14.35330	cougar	feather_boa	9.11077	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000013.png	guenon	9.09037	guenon	jean	9.29703	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000016.png	grey_whale	15.21076	grey_whale	volcano	9.99842	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000017.png	sea_anemone	3.66465	starfish	torch	9.29711	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000018.png	vulture	5.14628	kite	bath_towel	8.88101	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000021.png	porcupine	6.27355	porcupine	cardoon	9.20052	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000022.png	Ibizan_hound	0.22256	German_short-haired_pointer	jigsaw_puzzle	8.97269	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000025.png	vulture	12.57082	vulture	worm_fence	9.30027	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000027.png	white_wolf	7.54160	white_wolf	cardigan	9.41116	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000028.png	English_foxhound	5.28689	beagle	bath_towel	8.95455	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000029.png	green_snake	7.18062	green_snake	confectionery	8.72967	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000031.png	cabbage_butterfly	10.98270	cabbage_butterfly	vase	8.70422	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000033.png	sea_lion	-0.35230	sea_lion	mask	9.34673	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000034.png	ballplayer	-4.89360	ballplayer	knee_pad	9.29247	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000037.png	tailed_frog	-1.34503	snail	maraca	9.31021	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000040.png	garden_spider	4.94843	tick	spider_web	9.24348	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000043.png	spoonbill	7.12615	spoonbill	sock	9.34376	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000044.png	standard_schnauzer	5.70320	miniature_schnauzer	doormat	9.28276	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000045.png	Newfoundland	7.84971	Newfoundland	stole	8.96122	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000048.png	English_foxhound	6.91072	beagle	tennis_ball	9.17879	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000050.png	sturgeon	-3.39663	wild_boar	butcher_shop	9.11554	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000051.png	bee_eater	2.17520	bee_eater	quill	9.27779	efficientnet-b0	resnext50_32x4d
