img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	6.92998	water_snake	iron	9.34421	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000003.png	Shetland_sheepdog	8.70412	Shetland_sheepdog	tennis_ball	9.35303	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000006.png	garter_snake	6.67905	water_snake	worm_fence	9.30923	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000007.png	porcupine	4.23187	Komodo_dragon	sock	9.51669	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000010.png	Angora	-6.61314	hog	piggy_bank	9.37193	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000011.png	brain_coral	4.53937	brain_coral	coral_reef	9.32204	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000012.png	cougar	6.82718	cougar	quilt	9.06159	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000013.png	guenon	11.08710	guenon	eggnog	9.47027	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000016.png	grey_whale	5.16495	grey_whale	handkerchief	9.32689	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000017.png	sea_anemone	-0.75994	starfish	altar	9.82054	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000018.png	vulture	7.76725	bald_eagle	quill	9.23536	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000021.png	porcupine	4.56070	porcupine	paintbrush	9.19134	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000022.png	Ibizan_hound	4.33107	Ibizan_hound	thresher	9.01723	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000025.png	vulture	6.19936	vulture	military_uniform	9.54560	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000027.png	white_wolf	12.37142	white_wolf	jigsaw_puzzle	9.37056	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000028.png	English_foxhound	3.70782	Walker_hound	bath_towel	9.13843	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000029.png	green_snake	9.46952	green_snake	golf_ball	9.30809	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000031.png	cabbage_butterfly	8.23188	cabbage_butterfly	picket_fence	8.85831	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000033.png	sea_lion	-2.94040	sea_lion	mask	9.98024	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000034.png	ballplayer	-6.48298	ballplayer	assault_rifle	9.99179	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000037.png	tailed_frog	2.50449	axolotl	assault_rifle	9.41059	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000040.png	garden_spider	-1.04720	garden_spider	jigsaw_puzzle	9.37048	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000043.png	spoonbill	6.91071	spoonbill	hip	9.23012	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000044.png	standard_schnauzer	12.92055	miniature_schnauzer	revolver	9.37018	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000045.png	Newfoundland	7.69639	Newfoundland	wool	9.33677	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000048.png	English_foxhound	-1.15611	beagle	jigsaw_puzzle	9.38828	resnext50_32x4d	wide_resnet50_2
