img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	5.93488	rock_python	vacuum	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000003.png	Shetland_sheepdog	9.58956	Shetland_sheepdog	maze	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000006.png	garter_snake	5.76064	garter_snake	submarine	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000007.png	porcupine	7.70808	porcupine	quill	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000010.png	Angora	0.00673	toy_poodle	teddy	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000011.png	brain_coral	5.41904	brain_coral	coral_reef	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000012.png	cougar	9.94128	cougar	bib	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000013.png	guenon	7.76365	guenon	broccoli	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000016.png	grey_whale	7.78007	grey_whale	wreck	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000017.png	sea_anemone	3.56962	starfish	torch	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000018.png	vulture	5.31929	bald_eagle	parachute	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000021.png	porcupine	6.57712	porcupine	hay	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000022.png	Ibizan_hound	4.68897	Ibizan_hound	dogsled	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000025.png	vulture	7.26635	vulture	thresher	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000027.png	white_wolf	6.68463	white_wolf	buckle	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000028.png	English_foxhound	5.58723	Walker_hound	tennis_ball	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000029.png	green_snake	6.26138	green_mamba	head_cabbage	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000031.png	cabbage_butterfly	7.07936	cabbage_butterfly	greenhouse	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000033.png	sea_lion	6.83884	otter	wreck	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000034.png	ballplayer	1.39285	ballplayer	military_uniform	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000037.png	tailed_frog	2.91368	ground_beetle	maraca	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000040.png	garden_spider	4.19472	tick	honeycomb	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000043.png	spoonbill	7.43172	spoonbill	upright	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000044.png	standard_schnauzer	5.90777	miniature_schnauzer	doormat	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000045.png	Newfoundland	3.45997	Scotch_terrier	wig	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000048.png	English_foxhound	3.61502	Border_terrier	tennis_ball	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000050.png	sturgeon	-1.64105	gar	cloak	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000051.png	bee_eater	5.81073	bee_eater	quill	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000052.png	axolotl	8.00693	axolotl	diaper	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000055.png	polecat	3.25196	black-footed_ferret	diaper	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000057.png	Pomeranian	6.86135	Pomeranian	muzzle	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000058.png	stinkhorn	6.34881	stinkhorn	mushroom	0.04000	resnet50	efficientnet-b0
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	5.45809	Bouvier_des_Flandres	academic_gown	0.04000	resnet50	efficientnet-b0
