img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	4.97832	sea_snake	chain	9.99992	resnet18	resnext50_32x4d
ILSVRC2012_val_00000003.png	Shetland_sheepdog	11.64686	Shetland_sheepdog	croquet_ball	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000006.png	garter_snake	7.48882	water_snake	nail	9.99642	resnet18	resnext50_32x4d
ILSVRC2012_val_00000007.png	porcupine	8.95976	porcupine	quill	9.71069	resnet18	resnext50_32x4d
ILSVRC2012_val_00000010.png	Angora	-3.61406	Maltese_dog	piggy_bank	9.91083	resnet18	resnext50_32x4d
ILSVRC2012_val_00000011.png	brain_coral	6.13039	brain_coral	coral_reef	9.92440	resnet18	resnext50_32x4d
ILSVRC2012_val_00000012.png	cougar	10.09390	cougar	plastic_bag	9.80048	resnet18	resnext50_32x4d
ILSVRC2012_val_00000013.png	guenon	12.26245	guenon	jean	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000016.png	grey_whale	4.13572	grey_whale	volcano	9.98523	resnet18	resnext50_32x4d
ILSVRC2012_val_00000017.png	sea_anemone	8.80730	starfish	coral_reef	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000018.png	vulture	12.85153	kite	cliff	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000021.png	porcupine	19.60016	porcupine	mousetrap	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000022.png	Ibizan_hound	2.73147	whippet	muzzle	9.78517	resnet18	resnext50_32x4d
ILSVRC2012_val_00000025.png	vulture	0.75378	warthog	stole	9.97587	resnet18	resnext50_32x4d
ILSVRC2012_val_00000027.png	white_wolf	21.45038	white_wolf	dogsled	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000028.png	English_foxhound	4.69597	beagle	tennis_ball	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000029.png	green_snake	7.59986	green_snake	golf_ball	9.61178	resnet18	resnext50_32x4d
ILSVRC2012_val_00000031.png	cabbage_butterfly	2.13418	cabbage_butterfly	coral_reef	9.59861	resnet18	resnext50_32x4d
ILSVRC2012_val_00000033.png	sea_lion	-3.15347	common_iguana	mask	9.94128	resnet18	resnext50_32x4d
ILSVRC2012_val_00000034.png	ballplayer	-4.77131	Cardigan	ski	9.95893	resnet18	resnext50_32x4d
ILSVRC2012_val_00000037.png	tailed_frog	13.22277	common_newt	can_opener	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000040.png	garden_spider	2.45248	garden_spider	spider_web	9.94854	resnet18	resnext50_32x4d
ILSVRC2012_val_00000043.png	spoonbill	13.41965	spoonbill	lakeside	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000044.png	standard_schnauzer	0.95396	cocker_spaniel	doormat	9.98910	resnet18	resnext50_32x4d
ILSVRC2012_val_00000045.png	Newfoundland	8.73215	Newfoundland	stole	9.72958	resnet18	resnext50_32x4d
ILSVRC2012_val_00000048.png	English_foxhound	9.11247	beagle	tennis_ball	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000050.png	sturgeon	-5.04434	long-horned_beetle	wool	9.93913	resnet18	resnext50_32x4d
ILSVRC2012_val_00000051.png	bee_eater	9.10061	bee_eater	quill	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000052.png	axolotl	23.45822	axolotl	mousetrap	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000055.png	polecat	-3.14545	Siamese_cat	diaper	9.99548	resnet18	resnext50_32x4d
ILSVRC2012_val_00000057.png	Pomeranian	10.23775	Pekinese	caldron	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000058.png	stinkhorn	5.69882	stinkhorn	mushroom	9.92129	resnet18	resnext50_32x4d
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	4.23284	giant_schnauzer	doormat	9.89953	resnet18	resnext50_32x4d
ILSVRC2012_val_00000063.png	jellyfish	-1.88779	jellyfish	volcano	9.93684	resnet18	resnext50_32x4d
ILSVRC2012_val_00000064.png	green_lizard	8.26302	American_chameleon	shield	9.88843	resnet18	resnext50_32x4d
ILSVRC2012_val_00000066.png	eel	8.36811	eel	coral_reef	9.93896	resnet18	resnext50_32x4d
ILSVRC2012_val_00000067.png	tusker	12.70316	tusker	spider_web	9.99378	resnet18	resnext50_32x4d
ILSVRC2012_val_00000072.png	dugong	0.64414	dugong	pillow	9.89384	resnet18	resnext50_32x4d
ILSVRC2012_val_00000073.png	kite	10.84259	kite	matchstick	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000075.png	black_grouse	12.96582	black_grouse	worm_fence	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	-3.43245	bull_mastiff	muzzle	9.75984	resnet18	resnext50_32x4d
ILSVRC2012_val_00000078.png	African_hunting_dog	3.74427	African_hunting_dog	military_uniform	9.99560	resnet18	resnext50_32x4d
ILSVRC2012_val_00000079.png	otterhound	11.41496	otterhound	tennis_ball	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000082.png	Afghan_hound	6.21885	Afghan_hound	fur_coat	9.97866	resnet18	resnext50_32x4d
ILSVRC2012_val_00000084.png	water_snake	4.97977	water_snake	spider_web	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000087.png	siamang	-1.35362	tarantula	spider_web	9.57427	resnet18	resnext50_32x4d
ILSVRC2012_val_00000088.png	spotted_salamander	0.82419	wolf_spider	spider_web	9.98851	resnet18	resnext50_32x4d
ILSVRC2012_val_00000090.png	American_alligator	15.15665	American_alligator	running_shoe	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000091.png	white_wolf	16.01979	white_wolf	dogsled	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000092.png	Madagascar_cat	15.11313	indri	corkscrew	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000093.png	gorilla	12.28523	gorilla	bulletproof_vest	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000095.png	macaque	2.58854	macaque	teddy	9.96622	resnet18	resnext50_32x4d
ILSVRC2012_val_00000097.png	wood_rabbit	11.07085	wood_rabbit	tractor	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000098.png	dowitcher	6.87260	dowitcher	honeycomb	9.62574	resnet18	resnext50_32x4d
ILSVRC2012_val_00000100.png	bighorn	-8.76018	marmot	maze	9.98325	resnet18	resnext50_32x4d
ILSVRC2012_val_00000102.png	Rhodesian_ridgeback	5.78426	Rhodesian_ridgeback	muzzle	9.77795	resnet18	resnext50_32x4d
ILSVRC2012_val_00000105.png	silky_terrier	-0.79728	sea_cucumber	stole	9.98859	resnet18	resnext50_32x4d
ILSVRC2012_val_00000107.png	harvestman	6.17597	harvestman	spider_web	9.56638	resnet18	resnext50_32x4d
ILSVRC2012_val_00000111.png	American_lobster	0.33217	crayfish	pomegranate	9.81770	resnet18	resnext50_32x4d
ILSVRC2012_val_00000113.png	kelpie	4.48499	miniature_pinscher	muzzle	9.53826	resnet18	resnext50_32x4d
ILSVRC2012_val_00000115.png	Ibizan_hound	1.18119	tiger_cat	tub	9.94890	resnet18	resnext50_32x4d
ILSVRC2012_val_00000124.png	rock_beauty	5.02702	puffer	shower_cap	9.92921	resnet18	resnext50_32x4d
ILSVRC2012_val_00000125.png	grasshopper	-3.11339	ant	hip	9.97736	resnet18	resnext50_32x4d
ILSVRC2012_val_00000127.png	impala	2.34492	cheetah	barrow	9.84660	resnet18	resnext50_32x4d
ILSVRC2012_val_00000128.png	bald_eagle	8.30755	vulture	pole	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000130.png	Persian_cat	12.94769	Persian_cat	space_heater	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000133.png	hyena	15.12466	hyena	spatula	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000134.png	Doberman	10.51101	Rottweiler	croquet_ball	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000136.png	warthog	8.45714	wild_boar	barrow	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000138.png	sea_urchin	11.29594	sea_urchin	coral_reef	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000141.png	bloodhound	-4.74207	triceratops	toilet_tissue	9.95430	resnet18	resnext50_32x4d
ILSVRC2012_val_00000142.png	sea_urchin	3.55107	sea_urchin	coral_reef	9.99714	resnet18	resnext50_32x4d
ILSVRC2012_val_00000147.png	toy_poodle	11.21852	toy_poodle	soccer_ball	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000153.png	common_iguana	13.25301	common_iguana	quill	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000154.png	sea_slug	6.20941	sea_slug	bonnet	9.51115	resnet18	resnext50_32x4d
ILSVRC2012_val_00000156.png	coyote	13.15380	dhole	muzzle	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000157.png	red_fox	12.66032	red_fox	Windsor_tie	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000161.png	Irish_setter	7.89020	Gordon_setter	tennis_ball	9.88667	resnet18	resnext50_32x4d
ILSVRC2012_val_00000170.png	toy_terrier	2.28436	toy_terrier	muzzle	9.77437	resnet18	resnext50_32x4d
ILSVRC2012_val_00000172.png	English_setter	10.87743	English_setter	ice_lolly	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000174.png	Great_Pyrenees	12.12595	Great_Pyrenees	hand_blower	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000176.png	miniature_schnauzer	10.79230	Scotch_terrier	safety_pin	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000177.png	red-backed_sandpiper	8.67001	red-backed_sandpiper	teapot	9.99188	resnet18	resnext50_32x4d
ILSVRC2012_val_00000178.png	Eskimo_dog	7.26399	Eskimo_dog	dogsled	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000179.png	sorrel	8.07207	sorrel	horse_cart	9.95320	resnet18	resnext50_32x4d
ILSVRC2012_val_00000180.png	Shetland_sheepdog	10.08365	collie	croquet_ball	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000181.png	skunk	-0.07093	three-toed_sloth	hand_blower	9.86520	resnet18	resnext50_32x4d
ILSVRC2012_val_00000186.png	snow_leopard	5.72371	snow_leopard	mask	9.90184	resnet18	resnext50_32x4d
ILSVRC2012_val_00000188.png	coyote	10.32557	coyote	carpenter's_kit	0.00000	resnet18	resnext50_32x4d
ILSVRC2012_val_00000189.png	platypus	10.49670	platypus	shopping_cart	0.00000	resnet18	resnext50_32x4d
