img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-10.01154	cockroach	magnetic_compass	9.98140	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000003.png	Shetland_sheepdog	-0.54582	Shetland_sheepdog	tennis_ball	9.85690	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000006.png	garter_snake	6.84417	water_snake	lakeside	9.97617	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000007.png	porcupine	-0.11914	skunk	wool	9.98888	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000010.png	Angora	-12.46873	toy_poodle	teddy	9.74764	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000011.png	brain_coral	4.54299	brain_coral	coral_reef	9.96592	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000012.png	cougar	9.86501	cougar	feather_boa	9.70055	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000013.png	guenon	8.80055	guenon	barrow	9.97782	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000016.png	grey_whale	4.96590	grey_whale	volcano	9.95411	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000017.png	sea_anemone	0.02509	starfish	greenhouse	9.96602	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000018.png	vulture	2.44830	black_stork	ski	9.49390	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000021.png	porcupine	2.83140	peacock	thimble	9.97227	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000022.png	Ibizan_hound	2.19390	English_foxhound	dogsled	9.97845	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000025.png	vulture	10.42107	vulture	plow	9.97521	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000027.png	white_wolf	3.16645	white_wolf	worm_fence	9.96076	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000028.png	English_foxhound	4.64804	beagle	tennis_ball	9.87938	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000029.png	green_snake	6.33883	green_snake	strawberry	9.95200	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000031.png	cabbage_butterfly	0.84955	ringlet	bonnet	9.97581	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000033.png	sea_lion	-2.40387	terrapin	ocarina	9.95176	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000034.png	ballplayer	-3.43559	ballplayer	unicycle	9.99470	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000037.png	tailed_frog	-9.87727	box_turtle	maraca	9.94971	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000040.png	garden_spider	0.21619	garden_spider	spider_web	9.95911	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000043.png	spoonbill	9.97005	spoonbill	goblet	9.95931	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000044.png	standard_schnauzer	-8.38673	tiger_cat	muzzle	9.94232	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000045.png	Newfoundland	3.36832	chow	sock	9.99435	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000048.png	English_foxhound	-4.44096	Lakeland_terrier	bath_towel	9.98552	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000050.png	sturgeon	-4.98981	coho	wool	9.99194	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000051.png	bee_eater	-0.39063	bee_eater	quill	9.97524	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000052.png	axolotl	7.87350	axolotl	toyshop	9.92321	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000055.png	polecat	-3.25637	hog	butternut_squash	9.98748	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000057.png	Pomeranian	3.25191	Pekinese	muzzle	9.93401	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000058.png	stinkhorn	11.65492	stinkhorn	jigsaw_puzzle	9.94029	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	0.49862	giant_schnauzer	muzzle	9.99488	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000063.png	jellyfish	-0.91458	loggerhead	plastic_bag	9.31268	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000064.png	green_lizard	3.14741	green_lizard	vase	9.90670	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000066.png	eel	2.46975	eel	coral_reef	9.97180	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000067.png	tusker	9.20981	African_elephant	spider_web	9.99955	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000072.png	dugong	6.12828	dugong	sleeping_bag	9.96063	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000073.png	kite	-2.32898	kite	parachute	9.97849	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000075.png	black_grouse	11.65738	black_grouse	worm_fence	9.95956	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	-3.96668	Saluki	muzzle	9.95934	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000078.png	African_hunting_dog	-3.08681	Indian_elephant	cliff_dwelling	9.87666	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000079.png	otterhound	3.56786	Irish_wolfhound	Crock_Pot	9.98394	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000082.png	Afghan_hound	1.93451	Afghan_hound	cloak	9.98487	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000084.png	water_snake	-0.60201	European_fire_salamander	banana	9.93183	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000087.png	siamang	-4.63442	zebra	mortar	9.95626	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000088.png	spotted_salamander	0.16922	spiny_lobster	spider_web	9.97476	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000090.png	American_alligator	5.21219	weevil	fountain	9.43905	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000091.png	white_wolf	3.99348	kuvasz	bath_towel	9.80568	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000092.png	Madagascar_cat	5.34457	indri	fur_coat	9.99108	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000093.png	gorilla	3.71189	gorilla	caldron	9.81685	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000095.png	macaque	1.39596	macaque	jigsaw_puzzle	9.94878	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000097.png	wood_rabbit	0.93285	hog	shopping_cart	9.99993	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000098.png	dowitcher	2.32331	dowitcher	screwdriver	9.97302	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000100.png	bighorn	-1.26417	bighorn	alp	9.98123	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000102.png	Rhodesian_ridgeback	5.65663	Rhodesian_ridgeback	muzzle	9.93832	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000105.png	silky_terrier	-7.72599	silky_terrier	wig	9.96517	efficientnet-b0-advtrain	wide_resnet50_2
ILSVRC2012_val_00000107.png	harvestman	-1.92543	harvestman	umbrella	9.97938	efficientnet-b0-advtrain	wide_resnet50_2
