img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	1.98556	rock_python	chain	9.95948	efficientnet-b0	resnet18
ILSVRC2012_val_00000003.png	Shetland_sheepdog	6.74684	Shetland_sheepdog	soccer_ball	9.98998	efficientnet-b0	resnet18
ILSVRC2012_val_00000006.png	garter_snake	-0.33104	water_snake	maze	9.97948	efficientnet-b0	resnet18
ILSVRC2012_val_00000007.png	porcupine	1.29141	porcupine	wool	9.95036	efficientnet-b0	resnet18
ILSVRC2012_val_00000010.png	Angora	-3.99180	guinea_pig	wool	9.99082	efficientnet-b0	resnet18
ILSVRC2012_val_00000011.png	brain_coral	4.20134	brain_coral	coral_reef	9.98916	efficientnet-b0	resnet18
ILSVRC2012_val_00000012.png	cougar	12.89860	cougar	window_screen	9.93737	efficientnet-b0	resnet18
ILSVRC2012_val_00000013.png	guenon	12.67152	guenon	wig	9.97455	efficientnet-b0	resnet18
ILSVRC2012_val_00000016.png	grey_whale	7.91942	grey_whale	promontory	9.99715	efficientnet-b0	resnet18
ILSVRC2012_val_00000017.png	sea_anemone	-0.30527	starfish	torch	9.98640	efficientnet-b0	resnet18
ILSVRC2012_val_00000018.png	vulture	4.07575	kite	window_screen	9.91489	efficientnet-b0	resnet18
ILSVRC2012_val_00000021.png	porcupine	7.24141	porcupine	cardoon	9.95808	efficientnet-b0	resnet18
ILSVRC2012_val_00000022.png	Ibizan_hound	2.10096	Lakeland_terrier	jigsaw_puzzle	9.83615	efficientnet-b0	resnet18
ILSVRC2012_val_00000025.png	vulture	6.96854	vulture	thresher	9.98809	efficientnet-b0	resnet18
ILSVRC2012_val_00000027.png	white_wolf	9.90556	white_wolf	maze	9.99781	efficientnet-b0	resnet18
ILSVRC2012_val_00000028.png	English_foxhound	5.54075	beagle	soccer_ball	9.95095	efficientnet-b0	resnet18
ILSVRC2012_val_00000029.png	green_snake	7.91429	green_snake	sombrero	9.95945	efficientnet-b0	resnet18
ILSVRC2012_val_00000031.png	cabbage_butterfly	4.99460	cabbage_butterfly	bonnet	9.93140	efficientnet-b0	resnet18
ILSVRC2012_val_00000033.png	sea_lion	2.22348	terrapin	spider_web	9.99110	efficientnet-b0	resnet18
ILSVRC2012_val_00000034.png	ballplayer	-5.32165	ballplayer	knee_pad	9.97966	efficientnet-b0	resnet18
ILSVRC2012_val_00000037.png	tailed_frog	-0.33015	gar	spindle	9.99285	efficientnet-b0	resnet18
ILSVRC2012_val_00000040.png	garden_spider	0.94511	barn_spider	spider_web	9.95970	efficientnet-b0	resnet18
