img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	3.52530	American_alligator	jean	9.95948	efficientnet-b0	squeezenet
ILSVRC2012_val_00000003.png	Shetland_sheepdog	7.91567	Shetland_sheepdog	tennis_ball	9.98998	efficientnet-b0	squeezenet
ILSVRC2012_val_00000006.png	garter_snake	-0.22278	American_alligator	maze	9.97948	efficientnet-b0	squeezenet
ILSVRC2012_val_00000007.png	porcupine	2.50550	porcupine	hay	9.95036	efficientnet-b0	squeezenet
ILSVRC2012_val_00000010.png	Angora	-2.46195	brain_coral	sock	9.99082	efficientnet-b0	squeezenet
ILSVRC2012_val_00000011.png	brain_coral	3.09151	brain_coral	coral_reef	9.98916	efficientnet-b0	squeezenet
ILSVRC2012_val_00000012.png	cougar	13.92016	cougar	tennis_ball	9.93737	efficientnet-b0	squeezenet
ILSVRC2012_val_00000013.png	guenon	15.04628	guenon	jigsaw_puzzle	9.97455	efficientnet-b0	squeezenet
ILSVRC2012_val_00000016.png	grey_whale	6.77317	grey_whale	quilt	9.99715	efficientnet-b0	squeezenet
ILSVRC2012_val_00000017.png	sea_anemone	-0.86152	warthog	feather_boa	9.98640	efficientnet-b0	squeezenet
ILSVRC2012_val_00000018.png	vulture	-0.60428	centipede	paper_towel	9.91489	efficientnet-b0	squeezenet
ILSVRC2012_val_00000021.png	porcupine	0.23999	porcupine	cardoon	9.95808	efficientnet-b0	squeezenet
ILSVRC2012_val_00000022.png	Ibizan_hound	0.09271	llama	barrow	9.83615	efficientnet-b0	squeezenet
ILSVRC2012_val_00000025.png	vulture	4.45707	vulture	worm_fence	9.98809	efficientnet-b0	squeezenet
ILSVRC2012_val_00000027.png	white_wolf	3.50981	white_wolf	cardigan	9.99781	efficientnet-b0	squeezenet
ILSVRC2012_val_00000028.png	English_foxhound	5.20753	beagle	tennis_ball	9.95095	efficientnet-b0	squeezenet
ILSVRC2012_val_00000029.png	green_snake	12.59228	green_snake	tennis_ball	9.95945	efficientnet-b0	squeezenet
ILSVRC2012_val_00000031.png	cabbage_butterfly	-1.44234	daisy	pot	9.93140	efficientnet-b0	squeezenet
ILSVRC2012_val_00000033.png	sea_lion	6.65770	terrapin	spider_web	9.99110	efficientnet-b0	squeezenet
ILSVRC2012_val_00000034.png	ballplayer	-3.05876	ballplayer	umbrella	9.97966	efficientnet-b0	squeezenet
ILSVRC2012_val_00000037.png	tailed_frog	-0.03158	gar	sock	9.99285	efficientnet-b0	squeezenet
ILSVRC2012_val_00000040.png	garden_spider	-0.93229	harvestman	spider_web	9.95970	efficientnet-b0	squeezenet
ILSVRC2012_val_00000043.png	spoonbill	4.35383	spoonbill	cowboy_hat	9.97147	efficientnet-b0	squeezenet
ILSVRC2012_val_00000044.png	standard_schnauzer	11.45701	standard_schnauzer	teddy	9.94832	efficientnet-b0	squeezenet
ILSVRC2012_val_00000045.png	Newfoundland	-0.92697	Kerry_blue_terrier	stole	9.96564	efficientnet-b0	squeezenet
ILSVRC2012_val_00000048.png	English_foxhound	3.50826	Irish_terrier	teddy	9.97506	efficientnet-b0	squeezenet
ILSVRC2012_val_00000050.png	sturgeon	-4.91437	cockroach	cardigan	9.98966	efficientnet-b0	squeezenet
ILSVRC2012_val_00000051.png	bee_eater	2.92985	dragonfly	broom	9.96151	efficientnet-b0	squeezenet
ILSVRC2012_val_00000052.png	axolotl	2.70874	brain_coral	bath_towel	9.96547	efficientnet-b0	squeezenet
ILSVRC2012_val_00000055.png	polecat	2.90989	Siamese_cat	bassinet	9.95826	efficientnet-b0	squeezenet
ILSVRC2012_val_00000057.png	Pomeranian	6.53732	chow	teddy	9.97481	efficientnet-b0	squeezenet
ILSVRC2012_val_00000058.png	stinkhorn	7.19875	stinkhorn	mushroom	9.92550	efficientnet-b0	squeezenet
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	3.54257	ostrich	hay	9.95793	efficientnet-b0	squeezenet
ILSVRC2012_val_00000063.png	jellyfish	-4.98710	Samoyed	cardigan	9.90337	efficientnet-b0	squeezenet
ILSVRC2012_val_00000064.png	green_lizard	0.09496	American_chameleon	sock	9.97574	efficientnet-b0	squeezenet
ILSVRC2012_val_00000066.png	eel	3.11846	eel	coral_reef	9.94694	efficientnet-b0	squeezenet
ILSVRC2012_val_00000067.png	tusker	9.84542	tusker	brass	9.99100	efficientnet-b0	squeezenet
ILSVRC2012_val_00000072.png	dugong	-3.78114	guinea_pig	sleeping_bag	9.98780	efficientnet-b0	squeezenet
ILSVRC2012_val_00000073.png	kite	1.27758	bald_eagle	dogsled	9.52003	efficientnet-b0	squeezenet
ILSVRC2012_val_00000075.png	black_grouse	12.84559	black_grouse	shield	9.95614	efficientnet-b0	squeezenet
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	3.89199	boxer	muzzle	9.99169	efficientnet-b0	squeezenet
ILSVRC2012_val_00000078.png	African_hunting_dog	3.50311	African_hunting_dog	fur_coat	9.81119	efficientnet-b0	squeezenet
ILSVRC2012_val_00000079.png	otterhound	6.19571	Irish_terrier	wig	9.98141	efficientnet-b0	squeezenet
ILSVRC2012_val_00000082.png	Afghan_hound	-1.97446	Afghan_hound	stole	9.87474	efficientnet-b0	squeezenet
ILSVRC2012_val_00000084.png	water_snake	2.88304	mud_turtle	spider_web	9.99092	efficientnet-b0	squeezenet
ILSVRC2012_val_00000087.png	siamang	2.37332	siamang	wool	9.98869	efficientnet-b0	squeezenet
ILSVRC2012_val_00000088.png	spotted_salamander	0.45366	water_snake	spider_web	9.96195	efficientnet-b0	squeezenet
ILSVRC2012_val_00000090.png	American_alligator	3.95967	common_iguana	zucchini	9.96606	efficientnet-b0	squeezenet
ILSVRC2012_val_00000091.png	white_wolf	2.86331	white_wolf	teddy	9.98861	efficientnet-b0	squeezenet
ILSVRC2012_val_00000092.png	Madagascar_cat	5.41126	indri	wool	9.60345	efficientnet-b0	squeezenet
ILSVRC2012_val_00000093.png	gorilla	4.14932	titi	doormat	9.96295	efficientnet-b0	squeezenet
ILSVRC2012_val_00000095.png	macaque	7.47447	titi	teddy	9.98985	efficientnet-b0	squeezenet
ILSVRC2012_val_00000097.png	wood_rabbit	2.92846	wood_rabbit	mitten	9.98754	efficientnet-b0	squeezenet
ILSVRC2012_val_00000098.png	dowitcher	3.72691	three-toed_sloth	shield	9.99832	efficientnet-b0	squeezenet
ILSVRC2012_val_00000100.png	bighorn	-2.13703	American_alligator	valley	9.99236	efficientnet-b0	squeezenet
ILSVRC2012_val_00000102.png	Rhodesian_ridgeback	5.83077	bull_mastiff	muzzle	9.97936	efficientnet-b0	squeezenet
ILSVRC2012_val_00000105.png	silky_terrier	-1.35044	silky_terrier	wig	9.97238	efficientnet-b0	squeezenet
ILSVRC2012_val_00000107.png	harvestman	6.99151	harvestman	safety_pin	9.97877	efficientnet-b0	squeezenet
ILSVRC2012_val_00000111.png	American_lobster	0.19722	American_lobster	butcher_shop	9.98640	efficientnet-b0	squeezenet
ILSVRC2012_val_00000113.png	kelpie	2.19626	hog	muzzle	9.98474	efficientnet-b0	squeezenet
ILSVRC2012_val_00000115.png	Ibizan_hound	3.70007	tiger_cat	spindle	9.98664	efficientnet-b0	squeezenet
ILSVRC2012_val_00000124.png	rock_beauty	4.12272	puffer	strainer	9.97424	efficientnet-b0	squeezenet
ILSVRC2012_val_00000125.png	grasshopper	-2.77544	barn_spider	hip	9.98918	efficientnet-b0	squeezenet
ILSVRC2012_val_00000127.png	impala	2.17716	impala	plow	9.99824	efficientnet-b0	squeezenet
ILSVRC2012_val_00000128.png	bald_eagle	4.08644	hummingbird	maypole	9.99263	efficientnet-b0	squeezenet
ILSVRC2012_val_00000130.png	Persian_cat	3.68522	tabby	printer	9.98755	efficientnet-b0	squeezenet
ILSVRC2012_val_00000133.png	hyena	8.86313	hyena	hay	9.95970	efficientnet-b0	squeezenet
ILSVRC2012_val_00000134.png	Doberman	-2.20870	tusker	croquet_ball	9.87568	efficientnet-b0	squeezenet
ILSVRC2012_val_00000136.png	warthog	1.54288	loggerhead	mitten	9.98966	efficientnet-b0	squeezenet
ILSVRC2012_val_00000138.png	sea_urchin	1.92490	sea_urchin	wool	9.98838	efficientnet-b0	squeezenet
ILSVRC2012_val_00000141.png	bloodhound	-5.66566	Egyptian_cat	jigsaw_puzzle	9.97905	efficientnet-b0	squeezenet
ILSVRC2012_val_00000142.png	sea_urchin	-0.58302	lionfish	coral_reef	9.98559	efficientnet-b0	squeezenet
ILSVRC2012_val_00000147.png	toy_poodle	-2.17092	Gila_monster	teddy	9.93749	efficientnet-b0	squeezenet
ILSVRC2012_val_00000153.png	common_iguana	13.65026	common_iguana	ocarina	9.96952	efficientnet-b0	squeezenet
ILSVRC2012_val_00000154.png	sea_slug	5.29579	eel	saltshaker	9.96454	efficientnet-b0	squeezenet
ILSVRC2012_val_00000156.png	coyote	3.39440	prairie_chicken	muzzle	9.97510	efficientnet-b0	squeezenet
ILSVRC2012_val_00000157.png	red_fox	9.18813	red_fox	jigsaw_puzzle	9.99915	efficientnet-b0	squeezenet
ILSVRC2012_val_00000161.png	Irish_setter	3.81076	German_shepherd	muzzle	9.94856	efficientnet-b0	squeezenet
ILSVRC2012_val_00000170.png	toy_terrier	2.58327	toy_terrier	jigsaw_puzzle	9.92793	efficientnet-b0	squeezenet
ILSVRC2012_val_00000172.png	English_setter	8.32443	Scottish_deerhound	quilt	9.95474	efficientnet-b0	squeezenet
ILSVRC2012_val_00000174.png	Great_Pyrenees	1.95639	Great_Pyrenees	teddy	9.95895	efficientnet-b0	squeezenet
ILSVRC2012_val_00000176.png	miniature_schnauzer	12.50292	Scotch_terrier	bath_towel	9.44546	efficientnet-b0	squeezenet
ILSVRC2012_val_00000177.png	red-backed_sandpiper	10.65134	red-backed_sandpiper	thimble	9.94945	efficientnet-b0	squeezenet
ILSVRC2012_val_00000178.png	Eskimo_dog	9.37215	Eskimo_dog	dogsled	9.96033	efficientnet-b0	squeezenet
ILSVRC2012_val_00000179.png	sorrel	-0.33988	sorrel	broom	9.98475	efficientnet-b0	squeezenet
ILSVRC2012_val_00000180.png	Shetland_sheepdog	6.10052	ostrich	muzzle	9.96009	efficientnet-b0	squeezenet
ILSVRC2012_val_00000181.png	skunk	-2.31703	Shih-Tzu	wool	9.95835	efficientnet-b0	squeezenet
ILSVRC2012_val_00000186.png	snow_leopard	4.34377	tabby	stole	9.95319	efficientnet-b0	squeezenet
ILSVRC2012_val_00000188.png	coyote	8.21167	grey_fox	oxcart	9.99120	efficientnet-b0	squeezenet
ILSVRC2012_val_00000189.png	platypus	0.33316	American_alligator	spider_web	9.96686	efficientnet-b0	squeezenet
ILSVRC2012_val_00000191.png	American_Staffordshire_terrier	0.95329	common_iguana	shopping_basket	9.99571	efficientnet-b0	squeezenet
ILSVRC2012_val_00000195.png	Dungeness_crab	-0.32786	mud_turtle	rotisserie	9.97774	efficientnet-b0	squeezenet
ILSVRC2012_val_00000196.png	lionfish	9.47748	lionfish	coral_reef	9.69772	efficientnet-b0	squeezenet
ILSVRC2012_val_00000198.png	bulbul	-2.22957	baboon	hip	9.98064	efficientnet-b0	squeezenet
ILSVRC2012_val_00000200.png	gyromitra	4.24596	gyromitra	mushroom	9.95850	efficientnet-b0	squeezenet
ILSVRC2012_val_00000203.png	Bouvier_des_Flandres	3.00879	Kerry_blue_terrier	mitten	9.93977	efficientnet-b0	squeezenet
ILSVRC2012_val_00000206.png	proboscis_monkey	-1.66716	indri	jackfruit	9.98341	efficientnet-b0	squeezenet
ILSVRC2012_val_00000207.png	albatross	3.30981	ruffed_grouse	mountain_bike	9.97324	efficientnet-b0	squeezenet
ILSVRC2012_val_00000211.png	Siamese_cat	13.94998	Siamese_cat	bow_tie	9.93126	efficientnet-b0	squeezenet
ILSVRC2012_val_00000217.png	bulbul	8.40960	bulbul	chainlink_fence	9.98952	efficientnet-b0	squeezenet
ILSVRC2012_val_00000218.png	wolf_spider	5.16187	wolf_spider	spider_web	9.63362	efficientnet-b0	squeezenet
ILSVRC2012_val_00000220.png	pug	4.09368	pug	book_jacket	9.96603	efficientnet-b0	squeezenet
ILSVRC2012_val_00000224.png	Irish_setter	4.04909	Brittany_spaniel	muzzle	9.99488	efficientnet-b0	squeezenet
ILSVRC2012_val_00000225.png	European_fire_salamander	0.82808	European_fire_salamander	bow_tie	9.18710	efficientnet-b0	squeezenet
ILSVRC2012_val_00000227.png	Brittany_spaniel	-3.00377	Weimaraner	bath_towel	9.96021	efficientnet-b0	squeezenet
ILSVRC2012_val_00000228.png	Ibizan_hound	0.81114	Australian_terrier	dogsled	9.97312	efficientnet-b0	squeezenet
