img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-2.00272	sea_snake	chain	9.91387	resnet18	resnet50
ILSVRC2012_val_00000003.png	Shetland_sheepdog	1.08474	Shetland_sheepdog	soccer_ball	9.99995	resnet18	resnet50
ILSVRC2012_val_00000006.png	garter_snake	0.13568	water_snake	maze	9.92374	resnet18	resnet50
ILSVRC2012_val_00000007.png	porcupine	2.45117	porcupine	hay	9.96141	resnet18	resnet50
ILSVRC2012_val_00000010.png	Angora	-3.74502	Angora	wig	9.97988	resnet18	resnet50
ILSVRC2012_val_00000011.png	brain_coral	3.12818	brain_coral	coral_reef	9.98398	resnet18	resnet50
ILSVRC2012_val_00000012.png	cougar	11.96473	cougar	window_screen	9.95438	resnet18	resnet50
ILSVRC2012_val_00000013.png	guenon	5.60619	guenon	mask	9.96716	resnet18	resnet50
ILSVRC2012_val_00000016.png	grey_whale	-10.62333	grey_whale	jigsaw_puzzle	9.96205	resnet18	resnet50
ILSVRC2012_val_00000017.png	sea_anemone	-6.26588	starfish	greenhouse	9.86961	resnet18	resnet50
ILSVRC2012_val_00000018.png	vulture	-2.54867	kite	shower_curtain	9.94906	resnet18	resnet50
ILSVRC2012_val_00000021.png	porcupine	0.90456	porcupine	thatch	9.88395	resnet18	resnet50
ILSVRC2012_val_00000022.png	Ibizan_hound	-7.24997	ox	barrow	9.87218	resnet18	resnet50
ILSVRC2012_val_00000025.png	vulture	2.59621	vulture	worm_fence	9.96764	resnet18	resnet50
ILSVRC2012_val_00000027.png	white_wolf	5.67216	white_wolf	cardigan	9.92820	resnet18	resnet50
ILSVRC2012_val_00000028.png	English_foxhound	2.16221	Walker_hound	tennis_ball	9.88219	resnet18	resnet50
ILSVRC2012_val_00000029.png	green_snake	5.40463	green_snake	confectionery	9.82047	resnet18	resnet50
ILSVRC2012_val_00000031.png	cabbage_butterfly	-0.04970	cabbage_butterfly	head_cabbage	9.80151	resnet18	resnet50
ILSVRC2012_val_00000033.png	sea_lion	-3.52335	terrapin	manhole_cover	9.98107	resnet18	resnet50
ILSVRC2012_val_00000034.png	ballplayer	-10.11402	diamondback	crutch	9.96408	resnet18	resnet50
ILSVRC2012_val_00000037.png	tailed_frog	-8.31796	cockroach	spindle	9.92617	resnet18	resnet50
ILSVRC2012_val_00000040.png	garden_spider	-3.46451	garden_spider	spider_web	9.99446	resnet18	resnet50
ILSVRC2012_val_00000043.png	spoonbill	8.02729	spoonbill	lakeside	9.99919	resnet18	resnet50
ILSVRC2012_val_00000044.png	standard_schnauzer	-2.99765	Boston_bull	manhole_cover	9.91024	resnet18	resnet50
ILSVRC2012_val_00000045.png	Newfoundland	2.62677	Newfoundland	poncho	9.84176	resnet18	resnet50
ILSVRC2012_val_00000048.png	English_foxhound	-4.36421	Labrador_retriever	muzzle	9.98409	resnet18	resnet50
ILSVRC2012_val_00000050.png	sturgeon	-0.94435	Indian_elephant	sock	9.95801	resnet18	resnet50
ILSVRC2012_val_00000051.png	bee_eater	-1.78428	bee_eater	quill	9.92625	resnet18	resnet50
ILSVRC2012_val_00000052.png	axolotl	-1.94821	sea_slug	coral_reef	9.97633	resnet18	resnet50
ILSVRC2012_val_00000055.png	polecat	-9.73503	boa_constrictor	bassinet	9.91148	resnet18	resnet50
ILSVRC2012_val_00000057.png	Pomeranian	-6.05341	Pekinese	muzzle	9.81018	resnet18	resnet50
ILSVRC2012_val_00000058.png	stinkhorn	-6.45456	stinkhorn	broccoli	9.98134	resnet18	resnet50
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	1.49289	giant_schnauzer	stole	9.98335	resnet18	resnet50
ILSVRC2012_val_00000063.png	jellyfish	-6.17473	brain_coral	stole	9.95529	resnet18	resnet50
ILSVRC2012_val_00000064.png	green_lizard	4.32663	green_lizard	cucumber	9.97794	resnet18	resnet50
ILSVRC2012_val_00000066.png	eel	-0.66131	brain_coral	coral_reef	9.99022	resnet18	resnet50
ILSVRC2012_val_00000067.png	tusker	-2.15029	tusker	chain_mail	9.96371	resnet18	resnet50
ILSVRC2012_val_00000072.png	dugong	-8.77444	trilobite	sock	9.93787	resnet18	resnet50
ILSVRC2012_val_00000073.png	kite	0.80492	kite	quill	9.91972	resnet18	resnet50
ILSVRC2012_val_00000075.png	black_grouse	11.20152	black_grouse	worm_fence	9.90216	resnet18	resnet50
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	-4.39731	Saluki	muzzle	9.90770	resnet18	resnet50
ILSVRC2012_val_00000078.png	African_hunting_dog	-2.71053	African_hunting_dog	muzzle	9.97958	resnet18	resnet50
ILSVRC2012_val_00000079.png	otterhound	6.89448	Lakeland_terrier	tennis_ball	9.93148	resnet18	resnet50
ILSVRC2012_val_00000082.png	Afghan_hound	-3.86248	Afghan_hound	fur_coat	9.97115	resnet18	resnet50
ILSVRC2012_val_00000084.png	water_snake	-5.36455	walking_stick	spider_web	9.96676	resnet18	resnet50
ILSVRC2012_val_00000087.png	siamang	-7.43723	garden_spider	spider_web	9.98669	resnet18	resnet50
ILSVRC2012_val_00000088.png	spotted_salamander	-3.34578	chiton	spider_web	9.98724	resnet18	resnet50
ILSVRC2012_val_00000090.png	American_alligator	3.46192	American_alligator	acorn	9.97828	resnet18	resnet50
ILSVRC2012_val_00000091.png	white_wolf	4.43466	kuvasz	muzzle	9.94226	resnet18	resnet50
ILSVRC2012_val_00000092.png	Madagascar_cat	-1.09314	indri	broccoli	9.89856	resnet18	resnet50
ILSVRC2012_val_00000093.png	gorilla	-2.55276	gorilla	mask	9.96123	resnet18	resnet50
ILSVRC2012_val_00000095.png	macaque	-4.80505	koala	teddy	9.94863	resnet18	resnet50
ILSVRC2012_val_00000097.png	wood_rabbit	-1.73217	hare	purse	9.95850	resnet18	resnet50
ILSVRC2012_val_00000098.png	dowitcher	5.17700	dowitcher	mushroom	9.95609	resnet18	resnet50
ILSVRC2012_val_00000100.png	bighorn	-14.09711	marmot	maze	9.90920	resnet18	resnet50
ILSVRC2012_val_00000102.png	Rhodesian_ridgeback	-9.30727	bull_mastiff	muzzle	9.92697	resnet18	resnet50
