img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-4.50198	sea_snake	maze	9.97656	resnext50_32x4d	densenet-121
ILSVRC2012_val_00000003.png	Shetland_sheepdog	3.51362	Shetland_sheepdog	tennis_ball	9.97773	resnext50_32x4d	densenet-121
ILSVRC2012_val_00000006.png	garter_snake	-0.79440	water_snake	worm_fence	9.98460	resnext50_32x4d	densenet-121
ILSVRC2012_val_00000007.png	porcupine	-5.73679	American_alligator	sock	9.88656	resnext50_32x4d	densenet-121
ILSVRC2012_val_00000010.png	Angora	-9.73561	triceratops	piggy_bank	9.98080	resnext50_32x4d	densenet-121
ILSVRC2012_val_00000011.png	brain_coral	8.83704	brain_coral	coral_reef	9.99038	resnext50_32x4d	densenet-121
ILSVRC2012_val_00000012.png	cougar	10.62856	cougar	sweatshirt	9.89140	resnext50_32x4d	densenet-121
ILSVRC2012_val_00000013.png	guenon	5.26174	guenon	jean	9.96381	resnext50_32x4d	densenet-121
ILSVRC2012_val_00000016.png	grey_whale	6.43401	grey_whale	bonnet	9.98393	resnext50_32x4d	densenet-121
ILSVRC2012_val_00000017.png	sea_anemone	-3.07467	goldfish	altar	9.86151	resnext50_32x4d	densenet-121
ILSVRC2012_val_00000018.png	vulture	-6.74244	porcupine	broom	9.95383	resnext50_32x4d	densenet-121
ILSVRC2012_val_00000021.png	porcupine	7.35669	porcupine	spider_web	9.97204	resnext50_32x4d	densenet-121
ILSVRC2012_val_00000022.png	Ibizan_hound	-2.30189	malamute	Dutch_oven	9.95900	resnext50_32x4d	densenet-121
ILSVRC2012_val_00000025.png	vulture	13.80092	vulture	plow	9.92789	resnext50_32x4d	densenet-121
ILSVRC2012_val_00000027.png	white_wolf	7.05973	white_wolf	jigsaw_puzzle	9.90424	resnext50_32x4d	densenet-121
ILSVRC2012_val_00000028.png	English_foxhound	-3.27772	German_shepherd	bath_towel	9.90415	resnext50_32x4d	densenet-121
ILSVRC2012_val_00000029.png	green_snake	7.87069	green_snake	confectionery	9.82486	resnext50_32x4d	densenet-121
ILSVRC2012_val_00000031.png	cabbage_butterfly	7.05244	cabbage_butterfly	bonnet	9.95525	resnext50_32x4d	densenet-121
ILSVRC2012_val_00000033.png	sea_lion	-8.60863	terrapin	mask	9.98388	resnext50_32x4d	densenet-121
ILSVRC2012_val_00000034.png	ballplayer	-6.00742	coho	assault_rifle	9.89898	resnext50_32x4d	densenet-121
ILSVRC2012_val_00000037.png	tailed_frog	0.20947	terrapin	spider_web	9.99027	resnext50_32x4d	densenet-121
ILSVRC2012_val_00000040.png	garden_spider	3.12938	garden_spider	spider_web	9.93553	resnext50_32x4d	densenet-121
ILSVRC2012_val_00000043.png	spoonbill	7.68161	spoonbill	tricycle	9.97626	resnext50_32x4d	densenet-121
ILSVRC2012_val_00000044.png	standard_schnauzer	6.61855	miniature_schnauzer	pillow	9.92138	resnext50_32x4d	densenet-121
ILSVRC2012_val_00000045.png	Newfoundland	-3.21349	Newfoundland	stole	9.97432	resnext50_32x4d	densenet-121
ILSVRC2012_val_00000048.png	English_foxhound	-9.82603	hog	jigsaw_puzzle	9.97883	resnext50_32x4d	densenet-121
ILSVRC2012_val_00000050.png	sturgeon	-0.67179	barracouta	butcher_shop	9.91800	resnext50_32x4d	densenet-121
ILSVRC2012_val_00000051.png	bee_eater	-1.94816	dragonfly	quill	9.91522	resnext50_32x4d	densenet-121
