img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	3.81552	rock_python	sundial	9.99557	densenet-121	efficientnet-b0-advtrain
ILSVRC2012_val_00000003.png	Shetland_sheepdog	6.77496	Shetland_sheepdog	soccer_ball	9.98857	densenet-121	efficientnet-b0-advtrain
ILSVRC2012_val_00000006.png	garter_snake	4.19647	water_snake	worm_fence	9.98712	densenet-121	efficientnet-b0-advtrain
ILSVRC2012_val_00000007.png	porcupine	7.93527	porcupine	spindle	9.99467	densenet-121	efficientnet-b0-advtrain
ILSVRC2012_val_00000010.png	Angora	-2.02040	toy_poodle	mask	9.99356	densenet-121	efficientnet-b0-advtrain
ILSVRC2012_val_00000011.png	brain_coral	5.39529	brain_coral	coral_reef	9.99012	densenet-121	efficientnet-b0-advtrain
ILSVRC2012_val_00000012.png	cougar	8.97665	cougar	cucumber	9.98271	densenet-121	efficientnet-b0-advtrain
ILSVRC2012_val_00000013.png	guenon	7.78302	guenon	toaster	9.99393	densenet-121	efficientnet-b0-advtrain
ILSVRC2012_val_00000016.png	grey_whale	8.80731	grey_whale	volcano	9.96840	densenet-121	efficientnet-b0-advtrain
ILSVRC2012_val_00000017.png	sea_anemone	1.76986	starfish	candle	9.99301	densenet-121	efficientnet-b0-advtrain
ILSVRC2012_val_00000018.png	vulture	5.18127	kite	tray	9.98513	densenet-121	efficientnet-b0-advtrain
ILSVRC2012_val_00000021.png	porcupine	5.07843	porcupine	jackfruit	9.99204	densenet-121	efficientnet-b0-advtrain
ILSVRC2012_val_00000022.png	Ibizan_hound	-2.97815	whippet	dogsled	9.99375	densenet-121	efficientnet-b0-advtrain
ILSVRC2012_val_00000025.png	vulture	6.01635	vulture	bow	9.99288	densenet-121	efficientnet-b0-advtrain
ILSVRC2012_val_00000027.png	white_wolf	7.08405	white_wolf	jigsaw_puzzle	9.99770	densenet-121	efficientnet-b0-advtrain
ILSVRC2012_val_00000028.png	English_foxhound	8.03232	Walker_hound	solar_dish	9.98956	densenet-121	efficientnet-b0-advtrain
