img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-11.34391	nematode	safety_pin	9.95950	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000003.png	Shetland_sheepdog	4.63111	Shetland_sheepdog	crutch	9.95863	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000006.png	garter_snake	-0.35881	water_snake	worm_fence	9.98656	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000007.png	porcupine	0.03468	cock	quill	9.99468	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000010.png	Angora	-9.49978	toy_poodle	wig	9.98645	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000011.png	brain_coral	-1.57096	brain_coral	jackfruit	9.98465	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000012.png	cougar	12.63944	cougar	barrow	9.96056	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000013.png	guenon	5.72537	guenon	wok	9.98705	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000016.png	grey_whale	-2.55827	grey_whale	quilt	9.95712	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000017.png	sea_anemone	-1.77351	starfish	torch	9.98781	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000018.png	vulture	3.73359	mink	quilt	9.98549	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000021.png	porcupine	-3.50670	quail	lawn_mower	9.96220	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000022.png	Ibizan_hound	-6.29157	African_hunting_dog	assault_rifle	9.94937	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000025.png	vulture	-0.26904	vulture	plow	9.95825	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000027.png	white_wolf	0.45223	timber_wolf	muzzle	9.97493	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000028.png	English_foxhound	-3.85978	Walker_hound	bath_towel	9.96009	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000029.png	green_snake	-2.58599	green_snake	custard_apple	9.98830	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000031.png	cabbage_butterfly	-1.60275	cabbage_butterfly	bonnet	9.81534	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000033.png	sea_lion	-5.59950	pug	maze	9.95797	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000034.png	ballplayer	-9.04467	West_Highland_white_terrier	ski	9.98316	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000037.png	tailed_frog	-4.77802	cockroach	wok	9.99194	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000040.png	garden_spider	-6.60790	hermit_crab	jigsaw_puzzle	9.97309	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000043.png	spoonbill	7.92061	spoonbill	tricycle	9.95675	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000044.png	standard_schnauzer	0.61992	West_Highland_white_terrier	radiator	9.95120	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000045.png	Newfoundland	-8.77410	Scotch_terrier	stole	9.99264	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000048.png	English_foxhound	-10.79912	hog	bubble	9.96342	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000050.png	sturgeon	4.61392	barracouta	stole	0.00000	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000051.png	bee_eater	-11.58328	macaw	quill	9.94884	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000052.png	axolotl	0.57573	axolotl	shower_curtain	9.98831	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000055.png	polecat	-8.50831	English_setter	bassinet	9.98728	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000057.png	Pomeranian	-6.53374	Persian_cat	jigsaw_puzzle	9.98189	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000058.png	stinkhorn	8.56849	stinkhorn	mushroom	9.95771	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	2.15482	curly-coated_retriever	jeep	9.95539	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000063.png	jellyfish	-15.23564	jellyfish	jigsaw_puzzle	9.97181	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000064.png	green_lizard	-10.97581	American_chameleon	jigsaw_puzzle	9.99113	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000066.png	eel	-3.21727	brain_coral	jigsaw_puzzle	9.98488	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000067.png	tusker	3.83301	tusker	jean	9.98541	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000072.png	dugong	-9.44362	dugong	Band_Aid	9.98428	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000073.png	kite	-6.68010	kite	wing	9.98896	wide_resnet50_2	densenet-121
ILSVRC2012_val_00000075.png	black_grouse	1.83487	black_grouse	maze	9.98884	wide_resnet50_2	densenet-121
