img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-26.98698	nematode	safety_pin	9.95950	wide_resnet50_2	resnet50
ILSVRC2012_val_00000003.png	Shetland_sheepdog	6.02994	Shetland_sheepdog	crutch	9.95863	wide_resnet50_2	resnet50
ILSVRC2012_val_00000006.png	garter_snake	3.83729	garter_snake	worm_fence	9.98656	wide_resnet50_2	resnet50
ILSVRC2012_val_00000007.png	porcupine	-6.04353	skunk	quill	9.99468	wide_resnet50_2	resnet50
ILSVRC2012_val_00000010.png	Angora	-10.05047	toy_poodle	wig	9.98645	wide_resnet50_2	resnet50
ILSVRC2012_val_00000011.png	brain_coral	-5.41264	brain_coral	jackfruit	9.98465	wide_resnet50_2	resnet50
ILSVRC2012_val_00000012.png	cougar	13.06137	cougar	window_screen	9.96056	wide_resnet50_2	resnet50
ILSVRC2012_val_00000013.png	guenon	4.56285	guenon	wok	9.98705	wide_resnet50_2	resnet50
ILSVRC2012_val_00000016.png	grey_whale	-10.44914	grey_whale	quilt	9.95712	wide_resnet50_2	resnet50
ILSVRC2012_val_00000017.png	sea_anemone	-9.71668	groom	torch	9.98781	wide_resnet50_2	resnet50
ILSVRC2012_val_00000018.png	vulture	-2.79853	kite	snorkel	9.98549	wide_resnet50_2	resnet50
ILSVRC2012_val_00000021.png	porcupine	-4.25906	terrapin	lawn_mower	9.96220	wide_resnet50_2	resnet50
ILSVRC2012_val_00000022.png	Ibizan_hound	-6.04333	coho	assault_rifle	9.94937	wide_resnet50_2	resnet50
ILSVRC2012_val_00000025.png	vulture	-7.59799	vulture	plow	9.95825	wide_resnet50_2	resnet50
ILSVRC2012_val_00000027.png	white_wolf	-0.74715	Siberian_husky	muzzle	9.97493	wide_resnet50_2	resnet50
ILSVRC2012_val_00000028.png	English_foxhound	-5.40989	Italian_greyhound	bath_towel	9.96009	wide_resnet50_2	resnet50
ILSVRC2012_val_00000029.png	green_snake	-9.50207	green_snake	custard_apple	9.98830	wide_resnet50_2	resnet50
ILSVRC2012_val_00000031.png	cabbage_butterfly	-4.85550	cabbage_butterfly	bonnet	9.81534	wide_resnet50_2	resnet50
ILSVRC2012_val_00000033.png	sea_lion	-12.64274	brain_coral	maze	9.95797	wide_resnet50_2	resnet50
ILSVRC2012_val_00000034.png	ballplayer	-12.89176	Italian_greyhound	ski	9.98316	wide_resnet50_2	resnet50
ILSVRC2012_val_00000037.png	tailed_frog	-10.87637	mud_turtle	wok	9.99194	wide_resnet50_2	resnet50
ILSVRC2012_val_00000040.png	garden_spider	-16.73243	cicada	jigsaw_puzzle	9.97309	wide_resnet50_2	resnet50
ILSVRC2012_val_00000043.png	spoonbill	-3.07135	spoonbill	goblet	9.95675	wide_resnet50_2	resnet50
ILSVRC2012_val_00000044.png	standard_schnauzer	-8.08487	West_Highland_white_terrier	radiator	9.95120	wide_resnet50_2	resnet50
ILSVRC2012_val_00000045.png	Newfoundland	-10.57625	Newfoundland	stole	9.99264	wide_resnet50_2	resnet50
ILSVRC2012_val_00000048.png	English_foxhound	-15.53919	Chihuahua	bubble	9.96342	wide_resnet50_2	resnet50
ILSVRC2012_val_00000050.png	sturgeon	1.12258	gar	butcher_shop	0.00000	wide_resnet50_2	resnet50
ILSVRC2012_val_00000051.png	bee_eater	-11.84756	dragonfly	quill	9.94884	wide_resnet50_2	resnet50
ILSVRC2012_val_00000052.png	axolotl	-6.48083	Egyptian_cat	shower_curtain	9.98831	wide_resnet50_2	resnet50
ILSVRC2012_val_00000055.png	polecat	-21.17729	beagle	bassinet	9.98728	wide_resnet50_2	resnet50
ILSVRC2012_val_00000057.png	Pomeranian	-19.60461	Persian_cat	jigsaw_puzzle	9.98189	wide_resnet50_2	resnet50
ILSVRC2012_val_00000058.png	stinkhorn	-0.49849	stinkhorn	drumstick	9.95771	wide_resnet50_2	resnet50
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	-4.31325	giant_schnauzer	jeep	9.95539	wide_resnet50_2	resnet50
ILSVRC2012_val_00000063.png	jellyfish	-20.16952	brain_coral	jigsaw_puzzle	9.97181	wide_resnet50_2	resnet50
ILSVRC2012_val_00000064.png	green_lizard	-14.87007	brain_coral	jigsaw_puzzle	9.99113	wide_resnet50_2	resnet50
ILSVRC2012_val_00000066.png	eel	-13.20970	brain_coral	jigsaw_puzzle	9.98488	wide_resnet50_2	resnet50
ILSVRC2012_val_00000067.png	tusker	-4.57494	tusker	jean	9.98541	wide_resnet50_2	resnet50
ILSVRC2012_val_00000072.png	dugong	-12.11094	hamster	Band_Aid	9.98428	wide_resnet50_2	resnet50
ILSVRC2012_val_00000073.png	kite	-5.57154	kite	wing	9.98896	wide_resnet50_2	resnet50
ILSVRC2012_val_00000075.png	black_grouse	-10.35407	peacock	maze	9.98884	wide_resnet50_2	resnet50
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	-10.64811	boxer	gasmask	9.95219	wide_resnet50_2	resnet50
ILSVRC2012_val_00000078.png	African_hunting_dog	-13.59712	triceratops	sombrero	9.96256	wide_resnet50_2	resnet50
ILSVRC2012_val_00000079.png	otterhound	1.79486	miniature_poodle	Crock_Pot	9.98324	wide_resnet50_2	resnet50
ILSVRC2012_val_00000082.png	Afghan_hound	-9.34277	chimpanzee	mask	9.99086	wide_resnet50_2	resnet50
ILSVRC2012_val_00000084.png	water_snake	-7.29557	walking_stick	spider_web	9.98434	wide_resnet50_2	resnet50
ILSVRC2012_val_00000087.png	siamang	-13.74665	bullfrog	caldron	9.99638	wide_resnet50_2	resnet50
ILSVRC2012_val_00000088.png	spotted_salamander	1.27518	boa_constrictor	bow_tie	9.95350	wide_resnet50_2	resnet50
ILSVRC2012_val_00000090.png	American_alligator	0.71156	American_alligator	fountain	9.95004	wide_resnet50_2	resnet50
ILSVRC2012_val_00000091.png	white_wolf	-8.66113	starfish	teddy	9.98149	wide_resnet50_2	resnet50
ILSVRC2012_val_00000092.png	Madagascar_cat	-0.72511	colobus	crash_helmet	9.95392	wide_resnet50_2	resnet50
ILSVRC2012_val_00000093.png	gorilla	-6.19340	tarantula	loudspeaker	9.95340	wide_resnet50_2	resnet50
ILSVRC2012_val_00000095.png	macaque	-10.07823	giant_panda	teddy	9.98808	wide_resnet50_2	resnet50
ILSVRC2012_val_00000097.png	wood_rabbit	-20.85165	brain_coral	maze	9.95628	wide_resnet50_2	resnet50
ILSVRC2012_val_00000098.png	dowitcher	-9.91416	peacock	gong	9.98721	wide_resnet50_2	resnet50
ILSVRC2012_val_00000100.png	bighorn	-9.14883	ibex	alp	9.98576	wide_resnet50_2	resnet50
ILSVRC2012_val_00000102.png	Rhodesian_ridgeback	-14.76787	Chihuahua	muzzle	9.99372	wide_resnet50_2	resnet50
ILSVRC2012_val_00000105.png	silky_terrier	-6.72193	silky_terrier	stole	9.96065	wide_resnet50_2	resnet50
ILSVRC2012_val_00000107.png	harvestman	-0.09125	harvestman	maypole	9.98297	wide_resnet50_2	resnet50
ILSVRC2012_val_00000111.png	American_lobster	-11.30483	American_lobster	bib	9.98464	wide_resnet50_2	resnet50
ILSVRC2012_val_00000113.png	kelpie	1.56028	kelpie	doormat	9.97957	wide_resnet50_2	resnet50
ILSVRC2012_val_00000115.png	Ibizan_hound	-11.77700	hog	bathtub	9.98339	wide_resnet50_2	resnet50
ILSVRC2012_val_00000124.png	rock_beauty	2.20445	sea_slug	coral_reef	9.98890	wide_resnet50_2	resnet50
ILSVRC2012_val_00000125.png	grasshopper	-9.99993	cricket	hip	9.98972	wide_resnet50_2	resnet50
ILSVRC2012_val_00000127.png	impala	-9.92615	rock_python	cliff_dwelling	9.97453	wide_resnet50_2	resnet50
ILSVRC2012_val_00000128.png	bald_eagle	-12.05828	kite	jigsaw_puzzle	9.98366	wide_resnet50_2	resnet50
ILSVRC2012_val_00000130.png	Persian_cat	-3.09587	Egyptian_cat	computer_keyboard	9.95766	wide_resnet50_2	resnet50
ILSVRC2012_val_00000133.png	hyena	2.81443	hyena	school_bus	9.95534	wide_resnet50_2	resnet50
ILSVRC2012_val_00000134.png	Doberman	-10.45040	lorikeet	croquet_ball	9.95863	wide_resnet50_2	resnet50
ILSVRC2012_val_00000136.png	warthog	-8.20169	peacock	spindle	9.99415	wide_resnet50_2	resnet50
ILSVRC2012_val_00000138.png	sea_urchin	1.46272	sea_urchin	coral_reef	9.99724	wide_resnet50_2	resnet50
ILSVRC2012_val_00000141.png	bloodhound	-6.95265	pug	paper_towel	9.94008	wide_resnet50_2	resnet50
ILSVRC2012_val_00000142.png	sea_urchin	-3.04761	sea_urchin	coral_reef	9.99027	wide_resnet50_2	resnet50
ILSVRC2012_val_00000147.png	toy_poodle	-2.59970	brain_coral	tray	9.95644	wide_resnet50_2	resnet50
ILSVRC2012_val_00000153.png	common_iguana	10.21856	common_iguana	upright	9.98772	wide_resnet50_2	resnet50
ILSVRC2012_val_00000154.png	sea_slug	-0.97711	sea_slug	coral_reef	9.98451	wide_resnet50_2	resnet50
ILSVRC2012_val_00000156.png	coyote	-3.81408	Irish_terrier	doormat	9.96301	wide_resnet50_2	resnet50
ILSVRC2012_val_00000157.png	red_fox	-6.05306	red_fox	stole	9.95897	wide_resnet50_2	resnet50
ILSVRC2012_val_00000161.png	Irish_setter	-7.37712	Irish_setter	quilt	9.98778	wide_resnet50_2	resnet50
ILSVRC2012_val_00000170.png	toy_terrier	-12.56842	Chesapeake_Bay_retriever	goblet	9.94754	wide_resnet50_2	resnet50
ILSVRC2012_val_00000172.png	English_setter	-11.50173	Scotch_terrier	paper_towel	9.98605	wide_resnet50_2	resnet50
ILSVRC2012_val_00000174.png	Great_Pyrenees	-11.09612	triceratops	teddy	9.98436	wide_resnet50_2	resnet50
ILSVRC2012_val_00000176.png	miniature_schnauzer	-1.12251	Scotch_terrier	muzzle	9.98823	wide_resnet50_2	resnet50
ILSVRC2012_val_00000177.png	red-backed_sandpiper	0.17374	red-backed_sandpiper	liner	9.95379	wide_resnet50_2	resnet50
ILSVRC2012_val_00000178.png	Eskimo_dog	2.27921	Siberian_husky	dogsled	9.98666	wide_resnet50_2	resnet50
ILSVRC2012_val_00000179.png	sorrel	1.22128	ox	cowboy_hat	9.95005	wide_resnet50_2	resnet50
ILSVRC2012_val_00000180.png	Shetland_sheepdog	-0.53068	collie	ping-pong_ball	9.95412	wide_resnet50_2	resnet50
ILSVRC2012_val_00000181.png	skunk	-7.33840	giant_panda	marimba	9.95222	wide_resnet50_2	resnet50
ILSVRC2012_val_00000186.png	snow_leopard	-11.23766	tabby	cardigan	9.94447	wide_resnet50_2	resnet50
ILSVRC2012_val_00000188.png	coyote	-3.11810	African_chameleon	comic_book	9.96061	wide_resnet50_2	resnet50
ILSVRC2012_val_00000189.png	platypus	-17.60178	dragonfly	shopping_cart	9.99373	wide_resnet50_2	resnet50
ILSVRC2012_val_00000191.png	American_Staffordshire_terrier	-7.32313	Scotch_terrier	sock	9.95793	wide_resnet50_2	resnet50
ILSVRC2012_val_00000195.png	Dungeness_crab	5.09153	Dungeness_crab	hip	9.98697	wide_resnet50_2	resnet50
ILSVRC2012_val_00000196.png	lionfish	4.68372	lionfish	coral_reef	9.98173	wide_resnet50_2	resnet50
ILSVRC2012_val_00000198.png	bulbul	-7.01278	lorikeet	hip	9.96842	wide_resnet50_2	resnet50
ILSVRC2012_val_00000200.png	gyromitra	2.86214	gyromitra	mushroom	9.96850	wide_resnet50_2	resnet50
ILSVRC2012_val_00000203.png	Bouvier_des_Flandres	-8.17598	Irish_water_spaniel	cardigan	9.99046	wide_resnet50_2	resnet50
ILSVRC2012_val_00000206.png	proboscis_monkey	-14.88617	squirrel_monkey	jackfruit	9.98437	wide_resnet50_2	resnet50
ILSVRC2012_val_00000207.png	albatross	-8.25511	European_gallinule	maze	9.96314	wide_resnet50_2	resnet50
ILSVRC2012_val_00000211.png	Siamese_cat	1.36966	Siamese_cat	water_bottle	9.99138	wide_resnet50_2	resnet50
ILSVRC2012_val_00000217.png	bulbul	6.45169	bulbul	barrow	9.85118	wide_resnet50_2	resnet50
ILSVRC2012_val_00000218.png	wolf_spider	-10.61470	wolf_spider	bubble	9.98833	wide_resnet50_2	resnet50
ILSVRC2012_val_00000220.png	pug	-6.72221	pug	paper_towel	9.98275	wide_resnet50_2	resnet50
ILSVRC2012_val_00000224.png	Irish_setter	-7.11535	golden_retriever	tennis_ball	9.97333	wide_resnet50_2	resnet50
ILSVRC2012_val_00000225.png	European_fire_salamander	-5.12731	European_fire_salamander	maraca	9.98693	wide_resnet50_2	resnet50
ILSVRC2012_val_00000227.png	Brittany_spaniel	-11.99417	beagle	bath_towel	9.97555	wide_resnet50_2	resnet50
