img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	6.78524	water_snake	sandbar	9.34103	densenet-121	resnet50
ILSVRC2012_val_00000003.png	Shetland_sheepdog	7.33029	Shetland_sheepdog	jigsaw_puzzle	9.42599	densenet-121	resnet50
ILSVRC2012_val_00000006.png	garter_snake	4.21171	water_snake	worm_fence	9.42561	densenet-121	resnet50
ILSVRC2012_val_00000007.png	porcupine	1.13576	porcupine	spindle	9.27033	densenet-121	resnet50
ILSVRC2012_val_00000010.png	Angora	-0.83180	triceratops	mask	9.33055	densenet-121	resnet50
ILSVRC2012_val_00000011.png	brain_coral	8.13792	brain_coral	coral_reef	9.39802	densenet-121	resnet50
ILSVRC2012_val_00000012.png	cougar	15.60681	cougar	remote_control	9.04892	densenet-121	resnet50
ILSVRC2012_val_00000013.png	guenon	13.02168	guenon	breastplate	9.29594	densenet-121	resnet50
ILSVRC2012_val_00000016.png	grey_whale	6.85561	grey_whale	stole	9.41151	densenet-121	resnet50
ILSVRC2012_val_00000017.png	sea_anemone	1.51676	starfish	coral_reef	9.14172	densenet-121	resnet50
ILSVRC2012_val_00000018.png	vulture	10.92599	vulture	wing	0.00000	densenet-121	resnet50
ILSVRC2012_val_00000021.png	porcupine	3.86808	guenon	microphone	9.26069	densenet-121	resnet50
ILSVRC2012_val_00000022.png	Ibizan_hound	3.92692	whippet	muzzle	9.00802	densenet-121	resnet50
ILSVRC2012_val_00000025.png	vulture	8.75693	vulture	worm_fence	9.34970	densenet-121	resnet50
ILSVRC2012_val_00000027.png	white_wolf	3.30367	ram	worm_fence	9.42838	densenet-121	resnet50
ILSVRC2012_val_00000028.png	English_foxhound	0.56670	beagle	bath_towel	9.11125	densenet-121	resnet50
ILSVRC2012_val_00000029.png	green_snake	5.51983	green_snake	confectionery	9.00668	densenet-121	resnet50
ILSVRC2012_val_00000031.png	cabbage_butterfly	-0.87655	cabbage_butterfly	bonnet	8.82192	densenet-121	resnet50
ILSVRC2012_val_00000033.png	sea_lion	-0.38507	puffer	jigsaw_puzzle	9.25879	densenet-121	resnet50
ILSVRC2012_val_00000034.png	ballplayer	-5.70123	ballplayer	military_uniform	9.22616	densenet-121	resnet50
ILSVRC2012_val_00000037.png	tailed_frog	-1.61820	gar	spindle	9.40199	densenet-121	resnet50
ILSVRC2012_val_00000040.png	garden_spider	3.91922	ant	spider_web	9.77542	densenet-121	resnet50
ILSVRC2012_val_00000043.png	spoonbill	7.76955	spoonbill	hip	9.38258	densenet-121	resnet50
ILSVRC2012_val_00000044.png	standard_schnauzer	10.37176	miniature_schnauzer	doormat	9.34306	densenet-121	resnet50
ILSVRC2012_val_00000045.png	Newfoundland	-4.08709	Irish_water_spaniel	stole	9.54696	densenet-121	resnet50
ILSVRC2012_val_00000048.png	English_foxhound	1.15652	macaque	shower_cap	9.61061	densenet-121	resnet50
ILSVRC2012_val_00000050.png	sturgeon	-5.56486	Indian_elephant	stole	9.26447	densenet-121	resnet50
