img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-115.52661	whiptail	maze	9.99739	squeezenet	squeezenet
ILSVRC2012_val_00000003.png	Shetland_sheepdog	-103.10204	dragonfly	teddy	9.99271	squeezenet	squeezenet
ILSVRC2012_val_00000006.png	garter_snake	-107.73125	snail	safety_pin	9.98970	squeezenet	squeezenet
ILSVRC2012_val_00000007.png	porcupine	-134.57391	ram	hay	9.99716	squeezenet	squeezenet
ILSVRC2012_val_00000010.png	Angora	-92.62753	electric_ray	bathtub	9.98835	squeezenet	squeezenet
ILSVRC2012_val_00000011.png	brain_coral	-112.88377	crayfish	safety_pin	9.99679	squeezenet	squeezenet
ILSVRC2012_val_00000012.png	cougar	-182.11037	dragonfly	tennis_ball	9.97782	squeezenet	squeezenet
ILSVRC2012_val_00000013.png	guenon	-86.52639	triceratops	mask	9.99732	squeezenet	squeezenet
ILSVRC2012_val_00000016.png	grey_whale	-121.14725	cicada	volcano	9.98917	squeezenet	squeezenet
ILSVRC2012_val_00000017.png	sea_anemone	-2.12439	tarantula	feather_boa	0.00000	squeezenet	squeezenet
ILSVRC2012_val_00000018.png	vulture	-94.15775	cabbage_butterfly	parachute	9.98950	squeezenet	squeezenet
ILSVRC2012_val_00000021.png	porcupine	-72.09145	vulture	worm_fence	9.96707	squeezenet	squeezenet
ILSVRC2012_val_00000022.png	Ibizan_hound	-121.37572	cricket	plow	9.98141	squeezenet	squeezenet
ILSVRC2012_val_00000025.png	vulture	-83.09131	prairie_chicken	worm_fence	9.98868	squeezenet	squeezenet
ILSVRC2012_val_00000027.png	white_wolf	-131.06171	cricket	plow	9.99742	squeezenet	squeezenet
ILSVRC2012_val_00000028.png	English_foxhound	-184.51903	Border_terrier	tennis_ball	9.98506	squeezenet	squeezenet
ILSVRC2012_val_00000029.png	green_snake	-113.42763	ringneck_snake	golf_ball	9.98324	squeezenet	squeezenet
ILSVRC2012_val_00000031.png	cabbage_butterfly	-48.99171	eel	coral_reef	9.99472	squeezenet	squeezenet
ILSVRC2012_val_00000033.png	sea_lion	-115.78334	Indian_cobra	manhole_cover	9.99729	squeezenet	squeezenet
ILSVRC2012_val_00000034.png	ballplayer	-1.97270	ballplayer	umbrella	0.00000	squeezenet	squeezenet
ILSVRC2012_val_00000037.png	tailed_frog	-116.15833	Persian_cat	purse	9.99894	squeezenet	squeezenet
ILSVRC2012_val_00000040.png	garden_spider	-88.66446	toy_poodle	handkerchief	9.98940	squeezenet	squeezenet
ILSVRC2012_val_00000043.png	spoonbill	-103.52547	African_chameleon	tricycle	9.99617	squeezenet	squeezenet
ILSVRC2012_val_00000044.png	standard_schnauzer	-166.33588	toy_poodle	tennis_ball	9.99623	squeezenet	squeezenet
ILSVRC2012_val_00000045.png	Newfoundland	-83.15028	starfish	stole	9.99770	squeezenet	squeezenet
ILSVRC2012_val_00000048.png	English_foxhound	-107.59293	dragonfly	teddy	9.99413	squeezenet	squeezenet
ILSVRC2012_val_00000050.png	sturgeon	-3.35929	cockroach	stole	0.00000	squeezenet	squeezenet
ILSVRC2012_val_00000051.png	bee_eater	-52.73664	scuba_diver	lakeside	9.99456	squeezenet	squeezenet
ILSVRC2012_val_00000052.png	axolotl	-111.08315	squirrel_monkey	ear	9.99828	squeezenet	squeezenet
