img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-10.72282	terrapin	magnetic_compass	9.92937	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000003.png	Shetland_sheepdog	-0.38189	collie	tennis_ball	9.16518	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000006.png	garter_snake	-0.06522	sea_snake	hook	9.70235	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000007.png	porcupine	-2.59210	leatherback_turtle	wool	9.53856	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000010.png	Angora	-8.18863	tick	teddy	9.83768	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000011.png	brain_coral	3.94560	brain_coral	coral_reef	9.95498	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000012.png	cougar	10.99459	cougar	monitor	9.73105	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000013.png	guenon	8.66695	guenon	tray	9.73970	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000016.png	grey_whale	7.85373	grey_whale	volcano	9.75203	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000017.png	sea_anemone	3.16681	goldfish	fire_screen	9.77718	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000018.png	vulture	5.67142	platypus	quill	9.95275	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000021.png	porcupine	3.60942	leopard	microphone	9.64188	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000022.png	Ibizan_hound	-1.15763	English_setter	dogsled	9.84331	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000025.png	vulture	-0.19128	hen	pinwheel	9.86510	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000027.png	white_wolf	2.81869	white_wolf	mushroom	9.97972	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000028.png	English_foxhound	1.67097	Pembroke	bath_towel	9.63067	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000029.png	green_snake	4.27844	night_snake	custard_apple	9.56414	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000031.png	cabbage_butterfly	-0.90294	sulphur_butterfly	bonnet	9.77898	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000033.png	sea_lion	-4.69746	terrapin	soccer_ball	9.71260	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000034.png	ballplayer	-4.66617	ballplayer	aircraft_carrier	9.66614	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000037.png	tailed_frog	-3.26020	terrapin	maraca	9.59131	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000040.png	garden_spider	1.73817	barn_spider	spider_web	9.68002	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000043.png	spoonbill	10.48655	crane	lakeside	9.96749	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000044.png	standard_schnauzer	-4.30490	standard_schnauzer	muzzle	9.74458	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000045.png	Newfoundland	8.66462	Newfoundland	muzzle	9.57440	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000048.png	English_foxhound	-1.54323	proboscis_monkey	bath_towel	9.69090	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000050.png	sturgeon	-4.10628	barracouta	wool	9.91211	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000051.png	bee_eater	3.58808	bee_eater	quill	9.73331	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000052.png	axolotl	6.54215	axolotl	window_screen	9.67234	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000055.png	polecat	-0.81335	pug	diaper	9.96625	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000057.png	Pomeranian	4.17663	Pekinese	paper_towel	9.44146	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000058.png	stinkhorn	7.29163	stinkhorn	mushroom	9.90804	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	7.39234	giant_schnauzer	muzzle	9.01198	efficientnet-b0-advtrain	densenet-121
ILSVRC2012_val_00000063.png	jellyfish	-1.29238	brain_coral	brassiere	9.77394	efficientnet-b0-advtrain	densenet-121
