img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-8.71233	water_snake	magnetic_compass	9.92937	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000003.png	Shetland_sheepdog	4.43062	collie	tennis_ball	9.16518	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000006.png	garter_snake	7.74107	water_snake	worm_fence	9.70235	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000007.png	porcupine	-3.18895	porcupine	wool	9.53856	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000010.png	Angora	-4.66746	hamster	teddy	9.83768	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000011.png	brain_coral	2.97152	brain_coral	coral_reef	9.95498	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000012.png	cougar	11.51321	cougar	window_screen	9.73105	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000013.png	guenon	11.17241	guenon	breastplate	9.73970	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000016.png	grey_whale	8.03769	grey_whale	volcano	9.75203	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000017.png	sea_anemone	-0.35966	sea_urchin	lampshade	9.77718	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000018.png	vulture	5.18237	starfish	nail	9.95275	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000021.png	porcupine	1.87262	porcupine	thimble	9.64188	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000022.png	Ibizan_hound	-0.08464	Great_Pyrenees	dogsled	9.84331	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000025.png	vulture	0.03140	black_stork	pinwheel	9.86510	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000027.png	white_wolf	3.41999	ram	worm_fence	9.97972	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000028.png	English_foxhound	4.52869	Cardigan	bath_towel	9.63067	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000029.png	green_snake	2.65466	green_snake	purse	9.56414	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000031.png	cabbage_butterfly	-1.76367	sulphur_butterfly	bonnet	9.77898	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000033.png	sea_lion	1.44319	terrapin	coral_reef	9.71260	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000034.png	ballplayer	-8.72908	coho	unicycle	9.66614	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000037.png	tailed_frog	-3.69925	mud_turtle	bow_tie	9.59131	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000040.png	garden_spider	0.89132	garden_spider	spider_web	9.68002	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000043.png	spoonbill	5.49696	spoonbill	lakeside	9.96749	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000044.png	standard_schnauzer	-7.42133	miniature_schnauzer	muzzle	9.74458	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000045.png	Newfoundland	5.67816	Newfoundland	mitten	9.57440	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000048.png	English_foxhound	-2.00375	African_elephant	bath_towel	9.69090	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000050.png	sturgeon	-5.21221	coho	butcher_shop	9.91211	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000051.png	bee_eater	3.82451	bee_eater	umbrella	9.73331	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000052.png	axolotl	2.91051	axolotl	coral_reef	9.67234	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000055.png	polecat	-1.40610	hog	butternut_squash	9.96625	efficientnet-b0-advtrain	resnet50
ILSVRC2012_val_00000057.png	Pomeranian	3.95831	Pekinese	doormat	9.44146	efficientnet-b0-advtrain	resnet50
