img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-4.02002	dragonfly	envelope	9.92937	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000003.png	Shetland_sheepdog	5.72479	collie	tennis_ball	9.16518	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000006.png	garter_snake	-0.50952	centipede	safety_pin	9.70235	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000007.png	porcupine	-0.82728	cock	knot	9.53856	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000010.png	Angora	0.49361	Pomeranian	teddy	9.83768	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000011.png	brain_coral	3.55821	brain_coral	coral_reef	9.95498	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000012.png	cougar	10.80983	cougar	jigsaw_puzzle	9.73105	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000013.png	guenon	16.92326	guenon	window_screen	9.73970	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000016.png	grey_whale	7.28314	grey_whale	fountain	9.75203	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000017.png	sea_anemone	-2.85070	tarantula	broom	9.77718	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000018.png	vulture	2.25209	black_grouse	quill	9.95275	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000021.png	porcupine	1.39560	water_snake	spider_web	9.64188	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000022.png	Ibizan_hound	-1.23379	llama	dogsled	9.84331	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000025.png	vulture	0.19360	vulture	plow	9.86510	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000027.png	white_wolf	3.85529	triceratops	mitten	9.97972	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000028.png	English_foxhound	6.97269	beagle	tennis_ball	9.63067	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000029.png	green_snake	10.14935	green_snake	sombrero	9.56414	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000031.png	cabbage_butterfly	-0.73155	daisy	pot	9.77898	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000033.png	sea_lion	4.79787	terrapin	manhole_cover	9.71260	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000034.png	ballplayer	-2.91130	Lakeland_terrier	unicycle	9.66614	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000037.png	tailed_frog	-2.19618	loggerhead	mosquito_net	9.59131	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000040.png	garden_spider	-2.40023	garden_spider	spider_web	9.68002	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000043.png	spoonbill	4.49921	crane	tricycle	9.96749	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000044.png	standard_schnauzer	7.10897	standard_schnauzer	teddy	9.74458	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000045.png	Newfoundland	-0.40006	Newfoundland	stole	9.57440	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000048.png	English_foxhound	3.59866	orangutan	bath_towel	9.69090	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000050.png	sturgeon	-3.97411	gar	wool	9.91211	efficientnet-b0-advtrain	squeezenet
ILSVRC2012_val_00000051.png	bee_eater	3.26877	dragonfly	lakeside	9.73331	efficientnet-b0-advtrain	squeezenet
