img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-8.02245	macaw	knot	9.98882	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000003.png	Shetland_sheepdog	-6.01493	Shetland_sheepdog	soccer_ball	9.99946	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000006.png	garter_snake	-25.47332	nematode	safety_pin	9.96679	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000007.png	porcupine	-13.46896	snail	wool	9.99270	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000010.png	Angora	-12.98356	triceratops	mask	9.98118	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000011.png	brain_coral	-7.71507	brain_coral	jackfruit	9.99871	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000012.png	cougar	2.96361	cougar	tennis_ball	9.99804	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000013.png	guenon	-8.10236	chimpanzee	mask	9.99960	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000016.png	grey_whale	-7.97320	peacock	prayer_rug	9.99643	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000017.png	sea_anemone	-17.12062	groom	vestment	9.96379	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000018.png	vulture	-27.58044	trilobite	paper_towel	9.99979	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000021.png	porcupine	-17.99305	lorikeet	greenhouse	9.99633	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000022.png	Ibizan_hound	-9.54788	Eskimo_dog	dogsled	9.99998	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000025.png	vulture	-14.26129	peacock	stole	9.99472	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000027.png	white_wolf	-5.72885	African_chameleon	worm_fence	9.99999	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000028.png	English_foxhound	-10.28070	Walker_hound	tennis_ball	9.99288	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000029.png	green_snake	-2.09129	green_snake	golf_ball	9.99998	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000031.png	cabbage_butterfly	-15.12126	hen-of-the-woods	head_cabbage	9.98610	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000033.png	sea_lion	-8.42886	conch	vase	9.99900	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000034.png	ballplayer	-13.10875	Leonberg	ski	9.99992	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000037.png	tailed_frog	-6.14567	lacewing	knot	9.97538	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000040.png	garden_spider	-10.33601	garden_spider	spider_web	9.99613	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000043.png	spoonbill	-4.11223	spoonbill	hip	9.99071	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000044.png	standard_schnauzer	-13.34222	cairn	muzzle	9.99905	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000045.png	Newfoundland	-20.32225	Arabian_camel	poncho	9.98113	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000048.png	English_foxhound	-25.48378	beagle	shower_cap	9.99597	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000050.png	sturgeon	-8.34884	groom	overskirt	9.99939	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000051.png	bee_eater	-12.33758	European_gallinule	quill	9.99507	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000052.png	axolotl	-10.92180	axolotl	feather_boa	9.99975	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000055.png	polecat	-15.12453	triceratops	piggy_bank	9.98529	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000057.png	Pomeranian	-19.29146	Persian_cat	paper_towel	9.99869	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000058.png	stinkhorn	-19.57741	American_alligator	broccoli	9.99606	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	-14.25306	curly-coated_retriever	doormat	9.99782	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000063.png	jellyfish	-12.69422	Arabian_camel	stole	9.97196	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000064.png	green_lizard	-8.90190	green_lizard	cucumber	9.99797	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000066.png	eel	-4.70025	brain_coral	coral_reef	9.99521	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000067.png	tusker	-19.06576	sturgeon	cowboy_boot	9.99443	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000072.png	dugong	-9.54646	peacock	spindle	9.99640	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000073.png	kite	-41.75565	African_grey	jigsaw_puzzle	9.99858	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000075.png	black_grouse	-3.53367	black_grouse	worm_fence	9.98767	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	-9.97510	Saluki	muzzle	9.99445	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000078.png	African_hunting_dog	-12.19354	llama	muzzle	9.99302	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000079.png	otterhound	-13.46889	Airedale	wig	9.99977	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000082.png	Afghan_hound	-15.33224	Afghan_hound	fur_coat	9.99994	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000084.png	water_snake	-12.54342	garden_spider	spider_web	9.99801	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000087.png	siamang	-7.99187	barn_spider	spider_web	9.99842	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000088.png	spotted_salamander	-6.83347	hog	rotisserie	9.99955	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000090.png	American_alligator	-11.51544	Gila_monster	acorn	9.99496	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000091.png	white_wolf	-6.75962	kuvasz	teddy	9.97429	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000092.png	Madagascar_cat	-8.96365	bee	honeycomb	9.99749	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000093.png	gorilla	-18.47534	orangutan	stole	9.99084	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000095.png	macaque	-12.75644	macaque	swab	9.98578	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000097.png	wood_rabbit	-10.45579	peacock	worm_fence	9.99017	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000098.png	dowitcher	-10.53160	bittern	barrow	9.99702	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000100.png	bighorn	-25.64925	brain_coral	maze	9.99637	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000102.png	Rhodesian_ridgeback	-14.34977	German_shepherd	muzzle	9.99745	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000105.png	silky_terrier	-15.43184	peacock	stole	9.99270	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000107.png	harvestman	-16.80915	harvestman	safety_pin	9.99543	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000111.png	American_lobster	-7.80477	Dungeness_crab	plate	9.99803	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000113.png	kelpie	-20.76310	miniature_pinscher	cuirass	9.99126	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000115.png	Ibizan_hound	-14.62148	leafhopper	mousetrap	9.98851	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000124.png	rock_beauty	-12.02381	conch	ocarina	9.96225	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000125.png	grasshopper	-8.86767	dragonfly	hip	9.99485	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000127.png	impala	-30.63955	ox	plow	9.99367	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000128.png	bald_eagle	-4.75465	great_grey_owl	fountain	9.99746	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000130.png	Persian_cat	-16.48186	Lakeland_terrier	mitten	9.99996	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000133.png	hyena	-10.29000	night_snake	acorn	9.99697	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000134.png	Doberman	-58.83317	jellyfish	bubble	9.99644	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
ILSVRC2012_val_00000136.png	warthog	-36.80459	Afghan_hound	safety_pin	9.99627	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	resnext50_32x4d
