img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-1.88317	lacewing	knot	9.98882	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000003.png	Shetland_sheepdog	-1.38842	Angora	soccer_ball	9.99946	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000006.png	garter_snake	-11.05521	grasshopper	safety_pin	9.96679	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000007.png	porcupine	-5.67407	terrapin	wool	9.99270	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000010.png	Angora	-0.64154	sea_anemone	mask	9.98118	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000011.png	brain_coral	-4.00293	brain_coral	jackfruit	9.99871	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000012.png	cougar	1.76354	cougar	tennis_ball	9.99804	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000013.png	guenon	-1.64220	common_iguana	mask	9.99960	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000016.png	grey_whale	-2.03294	grey_whale	quilt	9.99643	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000017.png	sea_anemone	-8.77985	groom	vestment	9.96379	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000018.png	vulture	-4.95823	sea_anemone	paper_towel	9.99979	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000021.png	porcupine	-10.04701	American_alligator	greenhouse	9.99633	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000022.png	Ibizan_hound	-3.03504	Arabian_camel	dogsled	9.99998	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000025.png	vulture	-1.91457	vulture	stole	9.99472	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000027.png	white_wolf	-4.90432	triceratops	worm_fence	9.99999	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000028.png	English_foxhound	-3.31239	beagle	tennis_ball	9.99288	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000029.png	green_snake	3.90513	green_snake	golf_ball	9.99998	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000031.png	cabbage_butterfly	-5.16179	sea_anemone	head_cabbage	9.98610	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000033.png	sea_lion	-7.60317	common_iguana	vase	9.99900	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000034.png	ballplayer	-10.33905	Staffordshire_bullterrier	ski	9.99992	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000037.png	tailed_frog	5.94811	lacewing	spider_web	9.97538	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000040.png	garden_spider	-4.85166	dragonfly	spider_web	9.99613	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000043.png	spoonbill	-2.54276	spoonbill	hip	9.99071	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000044.png	standard_schnauzer	-5.89437	Persian_cat	muzzle	9.99905	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000045.png	Newfoundland	-5.33099	triceratops	poncho	9.98113	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000048.png	English_foxhound	-13.15673	box_turtle	shower_cap	9.99597	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000050.png	sturgeon	-6.46368	dragonfly	overskirt	9.99939	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000051.png	bee_eater	-3.91866	dragonfly	quill	9.99507	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000052.png	axolotl	-2.58121	goldfish	feather_boa	9.99975	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000055.png	polecat	-7.14041	crayfish	bassinet	9.98529	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000057.png	Pomeranian	-3.22558	guinea_pig	paper_towel	9.99869	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000058.png	stinkhorn	-8.54795	tree_frog	broccoli	9.99606	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	-5.04376	giant_schnauzer	doormat	9.99782	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000063.png	jellyfish	-5.30081	loggerhead	stole	9.97196	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000064.png	green_lizard	-5.82334	green_snake	cucumber	9.99797	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
ILSVRC2012_val_00000066.png	eel	-1.50123	eel	coral_reef	9.99521	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-000.00	squeezenet
