img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-11.41002	dragonfly	crossword_puzzle	9.95939	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000003.png	Shetland_sheepdog	-15.06270	koala	stole	9.99994	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000006.png	garter_snake	-20.18867	fiddler_crab	safety_pin	9.94118	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000007.png	porcupine	-11.01866	porcupine	sock	9.98437	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000010.png	Angora	-11.29935	goldfish	mask	9.97792	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000011.png	brain_coral	-6.11357	brain_coral	jackfruit	9.91065	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000012.png	cougar	-5.02730	cougar	muzzle	9.62113	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000013.png	guenon	-3.71281	guenon	muzzle	9.88356	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000016.png	grey_whale	-10.62587	grey_whale	sundial	9.98506	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000017.png	sea_anemone	-12.61664	groom	vestment	9.93035	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000018.png	vulture	-15.85636	stinkhorn	paper_towel	9.99816	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000021.png	porcupine	-9.94267	barn_spider	spider_web	9.99974	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000022.png	Ibizan_hound	-19.77248	hog	stretcher	9.98147	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000025.png	vulture	-7.93597	water_buffalo	worm_fence	9.95864	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000027.png	white_wolf	-4.59582	triceratops	worm_fence	9.94555	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000028.png	English_foxhound	0.88843	Cardigan	tennis_ball	9.93161	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000029.png	green_snake	-1.96413	vine_snake	bolo_tie	9.79220	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000031.png	cabbage_butterfly	-7.34568	bee	pot	9.55674	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000033.png	sea_lion	-29.68651	starfish	jigsaw_puzzle	9.94294	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000034.png	ballplayer	-16.23519	dragonfly	crossword_puzzle	9.95099	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000037.png	tailed_frog	-17.48770	cockroach	spindle	9.89602	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000040.png	garden_spider	-24.82382	ant	jigsaw_puzzle	9.94103	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000043.png	spoonbill	-9.45549	weevil	hip	9.90534	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000044.png	standard_schnauzer	-11.18133	pug	bath_towel	9.94393	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000045.png	Newfoundland	-16.48811	Arabian_camel	poncho	9.91390	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000048.png	English_foxhound	-28.05047	Italian_greyhound	shower_cap	9.90517	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000050.png	sturgeon	-7.58950	groom	theater_curtain	9.94055	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000051.png	bee_eater	-8.67768	hummingbird	quill	9.97940	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000052.png	axolotl	-13.31573	Komodo_dragon	sock	9.97947	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
ILSVRC2012_val_00000055.png	polecat	-6.73286	Persian_cat	paper_towel	9.89269	resnet18.affine-deg-000.00-shift-000.20-scale-001.50-shear-030.00	resnet50
