img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-15.41256	nematode	handkerchief	9.97863	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000003.png	Shetland_sheepdog	-6.80478	clumber	muzzle	9.62675	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000006.png	garter_snake	-6.75235	water_snake	safety_pin	9.82124	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000007.png	porcupine	-5.64587	porcupine	barrel	9.97186	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000010.png	Angora	-6.89826	hog	mask	9.65642	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000011.png	brain_coral	-6.57615	brain_coral	jackfruit	10.00000	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000012.png	cougar	2.17450	jaguar	pitcher	9.62607	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000013.png	guenon	10.94094	guenon	jigsaw_puzzle	9.98554	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000016.png	grey_whale	-0.17850	grey_whale	sundial	9.68955	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000017.png	sea_anemone	-12.01237	sea_urchin	nail	9.87619	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000018.png	vulture	-14.82912	coho	paper_towel	9.98950	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000021.png	porcupine	-10.49056	garden_spider	spider_web	9.95334	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000022.png	Ibizan_hound	-6.81774	whippet	stretcher	9.63502	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000025.png	vulture	-5.58197	African_elephant	cannon	9.65590	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000027.png	white_wolf	3.57575	kuvasz	quilt	9.85944	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000028.png	English_foxhound	-3.17740	Labrador_retriever	mask	9.81158	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000029.png	green_snake	-2.91746	green_snake	knot	9.84519	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000031.png	cabbage_butterfly	-9.38448	cabbage_butterfly	head_cabbage	9.84703	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000033.png	sea_lion	-14.90562	Persian_cat	jigsaw_puzzle	9.99960	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000034.png	ballplayer	-17.82458	ballplayer	ski	9.91892	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000037.png	tailed_frog	-9.96318	cricket	fountain_pen	9.98580	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000040.png	garden_spider	-27.02848	dragonfly	jigsaw_puzzle	9.97790	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000043.png	spoonbill	-4.18926	spoonbill	hip	9.86876	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000044.png	standard_schnauzer	-6.77127	standard_schnauzer	sundial	9.99298	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000045.png	Newfoundland	-12.19762	curly-coated_retriever	mitten	9.88827	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000048.png	English_foxhound	-17.97787	Chihuahua	bubble	9.98230	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000050.png	sturgeon	-6.96038	Indian_elephant	vestment	9.94370	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000051.png	bee_eater	-11.76294	coucal	quill	9.99977	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000052.png	axolotl	1.52037	axolotl	feather_boa	9.89775	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000055.png	polecat	-9.46772	hog	Band_Aid	9.98443	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000057.png	Pomeranian	-8.07968	Pekinese	tennis_ball	9.95131	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000058.png	stinkhorn	-2.37682	stinkhorn	hip	9.99996	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	-1.86452	giant_schnauzer	barrow	9.89680	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000063.png	jellyfish	-18.08727	lynx	bath_towel	9.97378	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000064.png	green_lizard	1.13021	green_lizard	window_screen	9.93933	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000066.png	eel	-18.38831	jellyfish	jigsaw_puzzle	9.99999	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000067.png	tusker	5.70183	tusker	megalith	9.99983	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000072.png	dugong	-8.58788	conch	spindle	9.99074	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000073.png	kite	-5.83551	kite	screw	9.65323	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000075.png	black_grouse	-7.99808	cheetah	park_bench	9.99651	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	-10.21465	Saluki	muzzle	9.48523	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000078.png	African_hunting_dog	-5.15225	Indian_elephant	vestment	9.25300	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000079.png	otterhound	-1.05382	tick	pomegranate	9.99491	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000082.png	Afghan_hound	-6.86783	Afghan_hound	fur_coat	9.92201	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000084.png	water_snake	-16.40098	water_snake	jigsaw_puzzle	9.94040	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000087.png	siamang	-9.07040	garden_spider	spider_web	9.99634	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000088.png	spotted_salamander	-10.50214	starfish	jigsaw_puzzle	9.92584	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000090.png	American_alligator	4.41376	American_alligator	fountain	9.61338	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000091.png	white_wolf	-2.45365	kuvasz	teddy	9.82825	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000092.png	Madagascar_cat	-10.36511	vulture	fur_coat	9.70721	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000093.png	gorilla	1.04930	gorilla	cellular_telephone	9.60385	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000095.png	macaque	-6.30890	koala	bath_towel	10.00000	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000097.png	wood_rabbit	-10.73183	hog	worm_fence	9.99841	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000098.png	dowitcher	-12.96919	peacock	barrow	9.88164	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000100.png	bighorn	-15.20783	llama	maze	9.83231	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000102.png	Rhodesian_ridgeback	-10.21506	German_shepherd	muzzle	9.60683	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000105.png	silky_terrier	-4.04037	silky_terrier	chain_mail	9.96542	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000107.png	harvestman	-5.04276	harvestman	umbrella	9.47593	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000111.png	American_lobster	-1.78997	American_lobster	neck_brace	9.89199	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000113.png	kelpie	-2.74242	kelpie	holster	9.99985	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000115.png	Ibizan_hound	-6.00550	guinea_pig	wallet	9.68542	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000124.png	rock_beauty	-11.81750	puffer	ocarina	9.99883	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000125.png	grasshopper	-6.57647	cricket	hip	9.90746	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000127.png	impala	-10.14341	cheetah	cliff_dwelling	9.82519	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000128.png	bald_eagle	-6.85111	African_grey	knot	9.95134	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000130.png	Persian_cat	-8.70273	Persian_cat	mitten	9.72716	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000133.png	hyena	-9.20367	sea_slug	knot	9.57217	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000134.png	Doberman	-10.78131	ballplayer	unicycle	9.89478	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000136.png	warthog	-25.09736	polecat	jean	9.74951	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000138.png	sea_urchin	3.43383	sea_urchin	drumstick	9.74611	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000141.png	bloodhound	-14.93330	hen-of-the-woods	jigsaw_puzzle	9.99389	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000142.png	sea_urchin	-5.28069	sea_urchin	paddlewheel	9.65681	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000147.png	toy_poodle	-8.77454	Egyptian_cat	mitten	9.85350	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000153.png	common_iguana	4.44033	common_iguana	analog_clock	9.49382	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000154.png	sea_slug	0.76007	sea_slug	strainer	9.86650	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-015.00	wide_resnet50_2
