img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-12.27802	leatherback_turtle	crossword_puzzle	9.29919	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-030.00	densenet-121
ILSVRC2012_val_00000003.png	Shetland_sheepdog	-5.05450	Lakeland_terrier	teddy	9.99771	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-030.00	densenet-121
ILSVRC2012_val_00000006.png	garter_snake	-15.40522	ringneck_snake	safety_pin	9.97345	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-030.00	densenet-121
ILSVRC2012_val_00000007.png	porcupine	-12.71279	silky_terrier	spindle	9.99864	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-030.00	densenet-121
ILSVRC2012_val_00000010.png	Angora	-6.97021	triceratops	mask	9.72310	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-030.00	densenet-121
ILSVRC2012_val_00000011.png	brain_coral	-5.98552	brain_coral	jackfruit	9.94670	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-030.00	densenet-121
ILSVRC2012_val_00000012.png	cougar	1.21740	tabby	sock	9.99744	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-030.00	densenet-121
ILSVRC2012_val_00000013.png	guenon	-10.38593	Persian_cat	handkerchief	9.97404	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-030.00	densenet-121
ILSVRC2012_val_00000016.png	grey_whale	-9.24576	grey_whale	jigsaw_puzzle	9.60305	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-030.00	densenet-121
ILSVRC2012_val_00000017.png	sea_anemone	-10.23741	goldfish	lampshade	9.99598	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-030.00	densenet-121
ILSVRC2012_val_00000018.png	vulture	-17.17876	gar	paper_towel	9.89917	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-030.00	densenet-121
ILSVRC2012_val_00000021.png	porcupine	-4.23850	porcupine	spider_web	9.99987	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-030.00	densenet-121
ILSVRC2012_val_00000022.png	Ibizan_hound	-15.01268	ballplayer	assault_rifle	9.87550	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-030.00	densenet-121
ILSVRC2012_val_00000025.png	vulture	-14.00345	ant	jigsaw_puzzle	9.94696	resnet18.affine-deg-000.00-shift-000.50-scale-001.50-shear-030.00	densenet-121
