img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-12.11635	nematode	chain	9.99911	resnet18.affine-deg-000.00-shift-000.00-scale-001.50-shear-000.00	resnet50
ILSVRC2012_val_00000003.png	Shetland_sheepdog	-6.77799	Chihuahua	teddy	9.95333	resnet18.affine-deg-000.00-shift-000.00-scale-001.50-shear-000.00	resnet50
ILSVRC2012_val_00000006.png	garter_snake	-2.30945	water_snake	paper_towel	9.99441	resnet18.affine-deg-000.00-shift-000.00-scale-001.50-shear-000.00	resnet50
ILSVRC2012_val_00000007.png	porcupine	-10.27374	porcupine	wool	9.99359	resnet18.affine-deg-000.00-shift-000.00-scale-001.50-shear-000.00	resnet50
ILSVRC2012_val_00000010.png	Angora	-9.18630	triceratops	mask	9.99999	resnet18.affine-deg-000.00-shift-000.00-scale-001.50-shear-000.00	resnet50
ILSVRC2012_val_00000011.png	brain_coral	2.27065	brain_coral	coral_reef	9.99994	resnet18.affine-deg-000.00-shift-000.00-scale-001.50-shear-000.00	resnet50
ILSVRC2012_val_00000012.png	cougar	7.62389	cougar	window_screen	9.99252	resnet18.affine-deg-000.00-shift-000.00-scale-001.50-shear-000.00	resnet50
ILSVRC2012_val_00000013.png	guenon	6.39079	guenon	wig	9.99980	resnet18.affine-deg-000.00-shift-000.00-scale-001.50-shear-000.00	resnet50
ILSVRC2012_val_00000016.png	grey_whale	-11.82661	dragonfly	jean	9.99998	resnet18.affine-deg-000.00-shift-000.00-scale-001.50-shear-000.00	resnet50
ILSVRC2012_val_00000017.png	sea_anemone	-11.62497	groom	altar	9.95492	resnet18.affine-deg-000.00-shift-000.00-scale-001.50-shear-000.00	resnet50
ILSVRC2012_val_00000018.png	vulture	-18.03413	coho	paper_towel	9.98213	resnet18.affine-deg-000.00-shift-000.00-scale-001.50-shear-000.00	resnet50
ILSVRC2012_val_00000021.png	porcupine	-8.26284	lorikeet	hip	9.99953	resnet18.affine-deg-000.00-shift-000.00-scale-001.50-shear-000.00	resnet50
ILSVRC2012_val_00000022.png	Ibizan_hound	-9.84656	Kerry_blue_terrier	plow	9.96053	resnet18.affine-deg-000.00-shift-000.00-scale-001.50-shear-000.00	resnet50
ILSVRC2012_val_00000025.png	vulture	-9.91203	water_buffalo	worm_fence	9.99091	resnet18.affine-deg-000.00-shift-000.00-scale-001.50-shear-000.00	resnet50
ILSVRC2012_val_00000027.png	white_wolf	-4.54200	triceratops	barrow	9.99484	resnet18.affine-deg-000.00-shift-000.00-scale-001.50-shear-000.00	resnet50
ILSVRC2012_val_00000028.png	English_foxhound	-0.73613	Walker_hound	tennis_ball	9.99918	resnet18.affine-deg-000.00-shift-000.00-scale-001.50-shear-000.00	resnet50
ILSVRC2012_val_00000029.png	green_snake	-0.36452	green_snake	golf_ball	9.94165	resnet18.affine-deg-000.00-shift-000.00-scale-001.50-shear-000.00	resnet50
ILSVRC2012_val_00000031.png	cabbage_butterfly	-3.81907	cabbage_butterfly	pot	9.99000	resnet18.affine-deg-000.00-shift-000.00-scale-001.50-shear-000.00	resnet50
