img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-6.60098	boa_constrictor	safety_pin	9.99998	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000003.png	Shetland_sheepdog	0.91187	Shetland_sheepdog	tennis_ball	9.93261	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000006.png	garter_snake	-3.04836	thunder_snake	safety_pin	9.92977	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000007.png	porcupine	0.26433	porcupine	barrel	9.99931	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000010.png	Angora	-7.12361	hog	mask	9.99983	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000011.png	brain_coral	1.00100	brain_coral	jackfruit	9.99944	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000012.png	cougar	5.49873	cougar	mask	9.99685	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000013.png	guenon	3.64418	guenon	jigsaw_puzzle	9.98367	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000016.png	grey_whale	0.63541	grey_whale	dome	9.93548	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000017.png	sea_anemone	-4.45049	goldfish	candle	9.95215	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000018.png	vulture	-4.10665	bald_eagle	jigsaw_puzzle	9.91940	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000021.png	porcupine	-2.82612	porcupine	greenhouse	9.99997	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000022.png	Ibizan_hound	-6.21551	ox	plow	9.92536	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000025.png	vulture	-1.79694	vulture	worm_fence	9.99960	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000027.png	white_wolf	1.45140	Arctic_fox	brassiere	9.99991	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000028.png	English_foxhound	4.49313	Walker_hound	tennis_ball	9.98782	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000029.png	green_snake	4.61998	green_mamba	cucumber	9.99819	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000031.png	cabbage_butterfly	-7.50629	cabbage_butterfly	bubble	9.99270	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000033.png	sea_lion	-0.71071	bullfrog	goblet	9.99925	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000034.png	ballplayer	-6.38423	ballplayer	ski	9.99963	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000037.png	tailed_frog	-11.31372	lacewing	spindle	10.00000	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000040.png	garden_spider	-7.80883	agaric	jigsaw_puzzle	9.99977	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000043.png	spoonbill	3.49698	spoonbill	hip	9.99969	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000044.png	standard_schnauzer	-2.97678	Scotch_terrier	handkerchief	10.00000	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-000.00	efficientnet-b0
