img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	1.17718	water_snake	handkerchief	9.99295	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000003.png	Shetland_sheepdog	0.68231	Shetland_sheepdog	tennis_ball	9.98805	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000006.png	garter_snake	0.89162	water_snake	paper_towel	9.99988	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000007.png	porcupine	-6.76865	porcupine	barrel	9.94133	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000010.png	Angora	-14.04924	groom	mask	9.99860	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000011.png	brain_coral	-6.32194	brain_coral	jackfruit	9.99619	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000012.png	cougar	0.39895	cougar	mask	9.98335	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000013.png	guenon	5.44299	guenon	jigsaw_puzzle	9.96397	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000016.png	grey_whale	-6.59242	mud_turtle	church	9.93309	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000017.png	sea_anemone	-11.31875	groom	church	9.99947	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-015.00	wide_resnet50_2
ILSVRC2012_val_00000018.png	vulture	-10.91422	weasel	paper_towel	9.97795	resnet18.affine-deg-000.00-shift-000.50-scale-001.00-shear-015.00	wide_resnet50_2
