img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-0.58370	rock_python	chain	9.98916	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000003.png	Shetland_sheepdog	6.53695	Shetland_sheepdog	tennis_ball	9.97611	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000006.png	garter_snake	5.17847	night_snake	hook	9.99439	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000007.png	porcupine	6.43106	porcupine	hay	9.95370	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000010.png	Angora	-6.27375	hog	teddy	9.99194	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000011.png	brain_coral	4.56820	brain_coral	coral_reef	9.99407	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000012.png	cougar	10.07041	cougar	Dutch_oven	9.99484	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000013.png	guenon	7.68305	guenon	broccoli	9.99801	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000016.png	grey_whale	4.25509	grey_whale	jigsaw_puzzle	9.95484	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000017.png	sea_anemone	-0.56784	goldfish	candle	9.93958	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000018.png	vulture	-6.18406	hammerhead	shower_curtain	9.99858	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000021.png	porcupine	7.25286	porcupine	broom	9.95338	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000022.png	Ibizan_hound	-1.54883	Ibizan_hound	plow	9.98554	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000025.png	vulture	6.82574	vulture	warplane	9.99743	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000027.png	white_wolf	7.46615	white_wolf	buckle	9.96027	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000028.png	English_foxhound	5.40849	Walker_hound	tennis_ball	9.96814	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000029.png	green_snake	6.05072	green_mamba	cucumber	9.96823	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000031.png	cabbage_butterfly	3.95248	cabbage_butterfly	head_cabbage	9.99101	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000033.png	sea_lion	-4.82082	otter	jigsaw_puzzle	9.99483	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000034.png	ballplayer	0.46066	ballplayer	ski	9.99135	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000037.png	tailed_frog	-4.42599	American_alligator	spindle	9.96325	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000040.png	garden_spider	-1.85765	garden_spider	jigsaw_puzzle	9.98730	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000043.png	spoonbill	7.35745	spoonbill	lipstick	9.99683	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000044.png	standard_schnauzer	6.00478	miniature_schnauzer	doormat	9.99283	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	efficientnet-b0
ILSVRC2012_val_00000045.png	Newfoundland	2.11264	Newfoundland	stole	9.98501	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	efficientnet-b0
