img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-9.56272	nematode	chain	9.98916	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000003.png	Shetland_sheepdog	3.17762	Shetland_sheepdog	jigsaw_puzzle	9.97611	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000006.png	garter_snake	1.98726	water_snake	maze	9.99439	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000007.png	porcupine	3.56741	porcupine	hay	9.95370	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000010.png	Angora	-4.59423	starfish	teddy	9.99194	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000011.png	brain_coral	3.94417	brain_coral	coral_reef	9.99407	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000012.png	cougar	13.55033	cougar	window_screen	9.99484	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000013.png	guenon	7.25340	guenon	wig	9.99801	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000016.png	grey_whale	-8.97048	brain_coral	jigsaw_puzzle	9.95484	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000017.png	sea_anemone	-1.16655	starfish	candle	9.93958	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000018.png	vulture	-5.04635	vulture	shower_curtain	9.99858	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000021.png	porcupine	-3.51252	porcupine	broom	9.95338	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000022.png	Ibizan_hound	-10.81015	ox	barrow	9.98554	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000025.png	vulture	1.17958	vulture	worm_fence	9.99743	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000027.png	white_wolf	5.23789	white_wolf	worm_fence	9.96027	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000028.png	English_foxhound	1.55448	beagle	tennis_ball	9.96814	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000029.png	green_snake	4.08072	green_snake	confectionery	9.96823	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000031.png	cabbage_butterfly	-1.57446	cabbage_butterfly	cardoon	9.99101	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000033.png	sea_lion	-22.85933	West_Highland_white_terrier	jigsaw_puzzle	9.99483	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000034.png	ballplayer	-5.91737	ballplayer	ski	9.99135	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000037.png	tailed_frog	-11.94822	scorpion	spindle	9.96325	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000040.png	garden_spider	-13.77111	cicada	jigsaw_puzzle	9.98730	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000043.png	spoonbill	7.10144	spoonbill	swing	9.99683	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000044.png	standard_schnauzer	-2.51686	miniature_schnauzer	brass	9.99283	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000045.png	Newfoundland	-7.66754	Arabian_camel	poncho	9.98501	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000048.png	English_foxhound	-4.63330	Chesapeake_Bay_retriever	muzzle	9.98915	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000050.png	sturgeon	-5.30764	gar	jean	9.94735	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000051.png	bee_eater	-0.44187	macaw	quill	9.98063	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000052.png	axolotl	-0.27443	axolotl	coral_reef	9.99955	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000055.png	polecat	-12.86815	whippet	bassinet	9.99400	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000057.png	Pomeranian	3.67655	Pekinese	muzzle	9.99725	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000058.png	stinkhorn	-3.50422	stinkhorn	broccoli	9.99354	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	0.84226	giant_schnauzer	stole	9.95935	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000063.png	jellyfish	-9.18610	groom	stole	9.98568	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000064.png	green_lizard	3.63578	green_lizard	cucumber	9.99506	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000066.png	eel	0.31388	brain_coral	coral_reef	9.99907	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000067.png	tusker	-4.90807	tusker	chain_mail	9.99110	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000072.png	dugong	-15.71818	triceratops	sock	9.95230	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000073.png	kite	-24.87815	kite	jigsaw_puzzle	9.97571	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000075.png	black_grouse	10.65576	black_grouse	worm_fence	9.99418	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	-7.20955	Saluki	muzzle	9.97717	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000078.png	African_hunting_dog	-1.15360	African_hunting_dog	muzzle	9.99655	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000079.png	otterhound	1.55337	otterhound	tennis_ball	9.87370	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000082.png	Afghan_hound	-0.36367	Afghan_hound	fur_coat	9.98920	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000084.png	water_snake	-7.49638	grasshopper	honeycomb	9.99946	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000087.png	siamang	-7.00395	garden_spider	spider_web	9.99915	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000088.png	spotted_salamander	-3.34182	spiny_lobster	spider_web	9.99813	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000090.png	American_alligator	7.63750	American_alligator	acorn	9.99541	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000091.png	white_wolf	4.56334	kuvasz	muzzle	9.99198	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000092.png	Madagascar_cat	-3.28641	Madagascar_cat	honeycomb	9.99667	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000093.png	gorilla	-10.87311	chimpanzee	mask	9.97960	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000095.png	macaque	-5.08087	macaque	teddy	9.95731	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000097.png	wood_rabbit	2.84163	hare	hay	9.99866	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000098.png	dowitcher	6.95240	dowitcher	barrow	9.99535	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000100.png	bighorn	-14.53417	marmot	maze	9.98952	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000102.png	Rhodesian_ridgeback	-8.87118	Chesapeake_Bay_retriever	muzzle	9.99596	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000105.png	silky_terrier	-3.58177	sea_anemone	wig	9.98569	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000107.png	harvestman	-1.65887	harvestman	spider_web	9.99766	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000111.png	American_lobster	0.67797	American_lobster	plate	9.98593	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000113.png	kelpie	-3.54009	kelpie	muzzle	9.98326	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000115.png	Ibizan_hound	-3.40612	Brittany_spaniel	wallet	9.95715	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000124.png	rock_beauty	-2.62012	Weimaraner	muzzle	9.99475	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000125.png	grasshopper	-9.71264	cabbage_butterfly	hip	9.99036	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000127.png	impala	-13.47351	impala	shopping_cart	9.91276	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000128.png	bald_eagle	-3.54567	bulbul	ski	9.99596	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000130.png	Persian_cat	0.73774	Persian_cat	shower_curtain	9.98702	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000133.png	hyena	-2.77664	hyena	acorn	9.99508	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000134.png	Doberman	-5.55159	Rottweiler	totem_pole	9.99411	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000136.png	warthog	-4.94804	peacock	vacuum	9.99299	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000138.png	sea_urchin	-0.43165	sea_urchin	wool	9.97762	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000141.png	bloodhound	-3.06756	Indian_elephant	paper_towel	9.94733	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000142.png	sea_urchin	-4.49126	brain_coral	wool	9.97685	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000147.png	toy_poodle	-4.62580	French_bulldog	clog	9.99150	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000153.png	common_iguana	11.28716	common_iguana	binoculars	9.98535	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000154.png	sea_slug	2.19461	sea_slug	coral_reef	9.95700	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000156.png	coyote	3.78942	dhole	quilt	9.96525	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000157.png	red_fox	-4.03653	red_fox	teddy	9.99479	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000161.png	Irish_setter	-7.83382	Airedale	muzzle	9.98945	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000170.png	toy_terrier	3.53621	kelpie	muzzle	9.95481	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000172.png	English_setter	-3.81952	English_setter	sewing_machine	9.96155	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000174.png	Great_Pyrenees	-4.94343	kuvasz	sock	9.98668	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000176.png	miniature_schnauzer	0.98169	affenpinscher	tennis_ball	9.81502	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000177.png	red-backed_sandpiper	3.86574	red-backed_sandpiper	reel	9.98552	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000178.png	Eskimo_dog	5.18735	Siberian_husky	dogsled	9.99948	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000179.png	sorrel	1.74717	sorrel	horse_cart	9.97171	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000180.png	Shetland_sheepdog	4.40979	Cardigan	soccer_ball	9.94140	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000181.png	skunk	-12.52045	orangutan	chain_mail	9.95785	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000186.png	snow_leopard	-3.78428	snow_leopard	mitten	9.99628	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000188.png	coyote	2.34599	grey_fox	quilt	9.99375	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000189.png	platypus	-21.47131	brain_coral	maze	9.98926	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000191.png	American_Staffordshire_terrier	-3.03275	American_Staffordshire_terrier	muzzle	9.99603	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000195.png	Dungeness_crab	-6.10028	rock_crab	rotisserie	9.99151	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000196.png	lionfish	6.12861	lionfish	coral_reef	9.99174	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000198.png	bulbul	-0.92206	African_grey	teddy	9.98979	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000200.png	gyromitra	6.34404	gyromitra	mushroom	9.99731	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000203.png	Bouvier_des_Flandres	-5.73822	Irish_water_spaniel	teddy	9.98944	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000206.png	proboscis_monkey	-16.96723	common_iguana	jackfruit	9.96932	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000207.png	albatross	4.23405	ruffed_grouse	shopping_cart	9.99943	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000211.png	Siamese_cat	-8.76686	Siamese_cat	carton	9.95525	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000217.png	bulbul	5.18360	bulbul	chainlink_fence	9.97212	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000218.png	wolf_spider	6.36864	wolf_spider	spider_web	9.99000	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000220.png	pug	0.04610	brain_coral	cowboy_boot	9.99098	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000224.png	Irish_setter	0.96243	vizsla	tennis_ball	9.96687	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000225.png	European_fire_salamander	-1.36931	European_fire_salamander	chain	9.98902	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000227.png	Brittany_spaniel	-5.14447	beagle	bath_towel	9.99058	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000228.png	Ibizan_hound	-3.91382	Australian_terrier	dogsled	9.99915	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000229.png	mud_turtle	-6.45482	sea_urchin	umbrella	9.99826	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000231.png	hermit_crab	-2.67274	triceratops	chain_mail	9.95279	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000233.png	snow_leopard	5.78550	snow_leopard	remote_control	9.95123	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000236.png	goldfish	-11.41535	sea_slug	quill	9.98964	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000237.png	English_foxhound	-9.31243	English_foxhound	soccer_ball	9.93600	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000238.png	king_crab	-10.98663	American_lobster	ear	9.99589	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000242.png	gorilla	-7.30352	triceratops	broccoli	9.99924	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000245.png	hermit_crab	8.86603	hermit_crab	buckle	9.99887	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000246.png	bighorn	6.35260	bighorn	mask	9.99169	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000247.png	junco	0.10323	junco	pillow	9.99433	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000248.png	Staffordshire_bullterrier	-6.80942	American_Staffordshire_terrier	muzzle	9.99341	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000255.png	scuba_diver	-4.98571	scuba_diver	gasmask	9.94983	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000258.png	eft	-1.31044	eft	chain	9.95175	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000262.png	goldfish	-1.48151	goldfish	coral_reef	9.99976	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000263.png	Saluki	0.63655	Saluki	muzzle	9.99774	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000269.png	Siberian_husky	-13.81575	llama	muzzle	9.95154	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000273.png	skunk	-7.10464	tarantula	jigsaw_puzzle	9.98375	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000276.png	eft	-20.11092	starfish	jigsaw_puzzle	9.94423	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000278.png	bee_eater	3.50048	bee_eater	Granny_Smith	9.99414	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000279.png	Dandie_Dinmont	-4.35133	Tibetan_terrier	quilt	9.99327	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000283.png	Persian_cat	1.10203	Persian_cat	ping-pong_ball	9.99288	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000293.png	tench	-3.01177	brain_coral	spider_web	9.99986	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000297.png	frilled_lizard	-9.20578	triceratops	running_shoe	9.95413	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000298.png	green_mamba	-2.24704	green_snake	zucchini	9.99300	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
ILSVRC2012_val_00000299.png	trilobite	-4.49768	trilobite	vault	9.99759	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-000.00	resnet50
