img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	0.20256	rock_python	safety_pin	9.99899	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-015.00	efficientnet-b0-advtrain
ILSVRC2012_val_00000003.png	Shetland_sheepdog	2.42597	Shetland_sheepdog	feather_boa	9.99992	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-015.00	efficientnet-b0-advtrain
ILSVRC2012_val_00000006.png	garter_snake	3.40694	ringneck_snake	hook	9.99851	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-015.00	efficientnet-b0-advtrain
ILSVRC2012_val_00000007.png	porcupine	6.15200	porcupine	barrel	9.99949	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-015.00	efficientnet-b0-advtrain
ILSVRC2012_val_00000010.png	Angora	-3.80705	toy_poodle	wig	9.98255	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-015.00	efficientnet-b0-advtrain
ILSVRC2012_val_00000011.png	brain_coral	1.48768	brain_coral	jackfruit	9.99973	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-015.00	efficientnet-b0-advtrain
ILSVRC2012_val_00000012.png	cougar	8.21350	cougar	window_screen	9.99810	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-015.00	efficientnet-b0-advtrain
ILSVRC2012_val_00000013.png	guenon	6.06168	guenon	jigsaw_puzzle	10.00000	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-015.00	efficientnet-b0-advtrain
ILSVRC2012_val_00000016.png	grey_whale	4.71497	grey_whale	bubble	9.99771	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-015.00	efficientnet-b0-advtrain
ILSVRC2012_val_00000017.png	sea_anemone	-5.39278	starfish	candle	9.93190	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-015.00	efficientnet-b0-advtrain
ILSVRC2012_val_00000018.png	vulture	-5.56849	weasel	paper_towel	9.99684	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-015.00	efficientnet-b0-advtrain
ILSVRC2012_val_00000021.png	porcupine	5.73155	porcupine	cliff	9.99759	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-015.00	efficientnet-b0-advtrain
ILSVRC2012_val_00000022.png	Ibizan_hound	-4.40756	whippet	stretcher	9.99860	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-015.00	efficientnet-b0-advtrain
ILSVRC2012_val_00000025.png	vulture	5.61987	vulture	plow	9.99651	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-015.00	efficientnet-b0-advtrain
ILSVRC2012_val_00000027.png	white_wolf	8.09194	white_wolf	alp	9.99884	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-015.00	efficientnet-b0-advtrain
ILSVRC2012_val_00000028.png	English_foxhound	3.20478	beagle	tennis_ball	9.97237	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-015.00	efficientnet-b0-advtrain
ILSVRC2012_val_00000029.png	green_snake	5.58123	green_snake	cucumber	9.99880	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-015.00	efficientnet-b0-advtrain
ILSVRC2012_val_00000031.png	cabbage_butterfly	3.41061	cabbage_butterfly	pot	9.99194	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-015.00	efficientnet-b0-advtrain
ILSVRC2012_val_00000033.png	sea_lion	-6.63494	otter	jigsaw_puzzle	9.99632	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-015.00	efficientnet-b0-advtrain
ILSVRC2012_val_00000034.png	ballplayer	-10.20396	hammerhead	crutch	9.99367	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-015.00	efficientnet-b0-advtrain
ILSVRC2012_val_00000037.png	tailed_frog	-1.44997	terrapin	fountain_pen	9.99814	resnet18.affine-deg-000.00-shift-000.00-scale-001.00-shear-015.00	efficientnet-b0-advtrain
