img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-5.56909	dragonfly	crossword_puzzle	9.99599	resnet18.affine-deg-000.00-shift-000.20-scale-002.50-shear-030.00	efficientnet-b0
ILSVRC2012_val_00000003.png	Shetland_sheepdog	-2.12171	Shetland_sheepdog	tennis_ball	9.97748	resnet18.affine-deg-000.00-shift-000.20-scale-002.50-shear-030.00	efficientnet-b0
ILSVRC2012_val_00000006.png	garter_snake	-2.27820	water_snake	safety_pin	9.99809	resnet18.affine-deg-000.00-shift-000.20-scale-002.50-shear-030.00	efficientnet-b0
ILSVRC2012_val_00000007.png	porcupine	-2.37465	porcupine	spindle	9.99550	resnet18.affine-deg-000.00-shift-000.20-scale-002.50-shear-030.00	efficientnet-b0
ILSVRC2012_val_00000010.png	Angora	-3.70387	hog	mask	9.97912	resnet18.affine-deg-000.00-shift-000.20-scale-002.50-shear-030.00	efficientnet-b0
ILSVRC2012_val_00000011.png	brain_coral	0.86980	brain_coral	jackfruit	10.00000	resnet18.affine-deg-000.00-shift-000.20-scale-002.50-shear-030.00	efficientnet-b0
ILSVRC2012_val_00000012.png	cougar	8.97393	cougar	ear	9.99991	resnet18.affine-deg-000.00-shift-000.20-scale-002.50-shear-030.00	efficientnet-b0
ILSVRC2012_val_00000013.png	guenon	7.11299	guenon	broccoli	9.98750	resnet18.affine-deg-000.00-shift-000.20-scale-002.50-shear-030.00	efficientnet-b0
ILSVRC2012_val_00000016.png	grey_whale	-0.96529	grey_whale	jean	9.99942	resnet18.affine-deg-000.00-shift-000.20-scale-002.50-shear-030.00	efficientnet-b0
ILSVRC2012_val_00000017.png	sea_anemone	-1.61117	sea_anemone	teddy	9.99897	resnet18.affine-deg-000.00-shift-000.20-scale-002.50-shear-030.00	efficientnet-b0
ILSVRC2012_val_00000018.png	vulture	-3.62835	platypus	paper_towel	9.99919	resnet18.affine-deg-000.00-shift-000.20-scale-002.50-shear-030.00	efficientnet-b0
ILSVRC2012_val_00000021.png	porcupine	6.00484	porcupine	birdhouse	9.97899	resnet18.affine-deg-000.00-shift-000.20-scale-002.50-shear-030.00	efficientnet-b0
ILSVRC2012_val_00000022.png	Ibizan_hound	-6.55017	coral_fungus	jigsaw_puzzle	9.98882	resnet18.affine-deg-000.00-shift-000.20-scale-002.50-shear-030.00	efficientnet-b0
ILSVRC2012_val_00000025.png	vulture	0.38509	vulture	poncho	9.98421	resnet18.affine-deg-000.00-shift-000.20-scale-002.50-shear-030.00	efficientnet-b0
ILSVRC2012_val_00000027.png	white_wolf	7.40712	white_wolf	wool	9.99999	resnet18.affine-deg-000.00-shift-000.20-scale-002.50-shear-030.00	efficientnet-b0
ILSVRC2012_val_00000028.png	English_foxhound	5.54462	Walker_hound	tennis_ball	9.99985	resnet18.affine-deg-000.00-shift-000.20-scale-002.50-shear-030.00	efficientnet-b0
