img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-1.00075	rock_python	tractor	9.99818	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000003.png	Shetland_sheepdog	-0.23426	Shetland_sheepdog	tennis_ball	9.99934	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000006.png	garter_snake	-4.50952	garter_snake	safety_pin	10.00000	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000007.png	porcupine	6.23287	porcupine	spindle	9.98059	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000010.png	Angora	-3.25663	toy_poodle	teddy	9.98189	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000011.png	brain_coral	1.94458	brain_coral	jackfruit	9.99961	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000012.png	cougar	2.31055	cougar	muzzle	9.99601	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000013.png	guenon	7.97648	guenon	broccoli	9.97894	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000016.png	grey_whale	-2.04676	grey_whale	jean	9.99984	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000017.png	sea_anemone	-4.80389	sea_anemone	jack-o'-lantern	9.97410	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000018.png	vulture	-6.58285	platypus	paper_towel	9.99736	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000021.png	porcupine	-4.49954	porcupine	spider_web	9.98208	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000022.png	Ibizan_hound	-7.86173	llama	maze	9.90762	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000025.png	vulture	-0.33552	vulture	stole	9.99859	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000027.png	white_wolf	7.38955	white_wolf	sock	9.99122	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000028.png	English_foxhound	-1.53803	Walker_hound	muzzle	10.00000	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000029.png	green_snake	1.76786	vine_snake	knot	9.99797	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000031.png	cabbage_butterfly	-1.87488	cabbage_butterfly	head_cabbage	9.99129	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000033.png	sea_lion	-6.17064	terrapin	ocarina	9.99603	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000034.png	ballplayer	-2.90731	ballplayer	assault_rifle	9.99284	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000037.png	tailed_frog	-3.49453	lacewing	fountain_pen	9.99994	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000040.png	garden_spider	1.02629	bee	spider_web	9.99948	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000043.png	spoonbill	5.74697	spoonbill	hip	9.99826	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000044.png	standard_schnauzer	4.52879	miniature_schnauzer	cardigan	9.99951	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000045.png	Newfoundland	-5.04487	Newfoundland	mitten	9.99872	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000048.png	English_foxhound	0.97464	beagle	shower_cap	9.88947	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000050.png	sturgeon	-7.10867	Irish_water_spaniel	poncho	9.99935	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000051.png	bee_eater	-1.57853	dragonfly	quill	9.99482	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000052.png	axolotl	6.90952	axolotl	mosquito_net	9.99777	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
ILSVRC2012_val_00000055.png	polecat	1.46090	Chihuahua	nipple	9.99611	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-015.00	efficientnet-b0
