img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-13.69154	sea_snake	maze	9.92233	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000003.png	Shetland_sheepdog	3.74437	Shetland_sheepdog	tennis_ball	9.99599	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000006.png	garter_snake	-14.52343	ringneck_snake	safety_pin	9.88419	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000007.png	porcupine	-2.48263	porcupine	spindle	9.86586	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000010.png	Angora	-8.57280	great_white_shark	bagel	9.97395	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000011.png	brain_coral	0.36824	brain_coral	jackfruit	9.91733	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000012.png	cougar	-4.21480	cougar	muzzle	9.97326	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000013.png	guenon	12.50356	guenon	mask	9.99999	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000016.png	grey_whale	-0.11920	grey_whale	jean	9.97646	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000017.png	sea_anemone	-5.53737	starfish	jack-o'-lantern	9.96783	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000018.png	vulture	-5.10271	weasel	paper_towel	9.86877	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000021.png	porcupine	-0.55556	porcupine	spider_web	9.99491	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000022.png	Ibizan_hound	-4.58516	sturgeon	alp	9.98019	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000025.png	vulture	4.69164	vulture	stone_wall	9.98332	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000027.png	white_wolf	4.37662	white_wolf	mitten	9.99905	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000028.png	English_foxhound	-2.60077	Walker_hound	mask	9.98281	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000029.png	green_snake	4.71516	vine_snake	knot	9.99965	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000031.png	cabbage_butterfly	-3.57395	cabbage_butterfly	artichoke	9.99698	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000033.png	sea_lion	-16.55689	terrapin	ocarina	9.96671	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000034.png	ballplayer	-11.15533	hammerhead	aircraft_carrier	9.96808	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000037.png	tailed_frog	-1.97024	isopod	hammer	9.92229	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000040.png	garden_spider	1.27653	garden_spider	spider_web	9.89568	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000043.png	spoonbill	6.83801	spoonbill	mitten	9.96853	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000044.png	standard_schnauzer	10.95747	West_Highland_white_terrier	cardigan	9.99048	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000045.png	Newfoundland	-9.61774	Newfoundland	mitten	9.90680	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000048.png	English_foxhound	3.33987	hog	pomegranate	9.96945	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000050.png	sturgeon	-7.03845	barracouta	stole	9.98339	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000051.png	bee_eater	-5.71329	bee_eater	quill	9.97980	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000052.png	axolotl	-7.80070	axolotl	spindle	9.98077	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000055.png	polecat	-2.68434	Mexican_hairless	diaper	9.94235	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000057.png	Pomeranian	2.65862	Persian_cat	paper_towel	9.96583	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000058.png	stinkhorn	-11.63760	coral_fungus	broccoli	9.98595	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	-0.85708	curly-coated_retriever	mitten	9.96399	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000063.png	jellyfish	-6.04985	jellyfish	cardigan	9.97068	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000064.png	green_lizard	6.09585	green_lizard	cucumber	9.91957	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000066.png	eel	-2.44658	rock_beauty	coral_reef	9.97670	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
ILSVRC2012_val_00000067.png	tusker	3.56551	tusker	hatchet	9.98890	resnet18.affine-deg-000.00-shift-000.00-scale-002.50-shear-030.00	densenet-121
