img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	4.14169	American_alligator	bath_towel	9.77071	efficientnet-b0	squeezenet
ILSVRC2012_val_00000003.png	Shetland_sheepdog	8.11753	collie	tennis_ball	9.68188	efficientnet-b0	squeezenet
ILSVRC2012_val_00000006.png	garter_snake	-1.79324	American_alligator	maze	9.98781	efficientnet-b0	squeezenet
ILSVRC2012_val_00000007.png	porcupine	1.53403	porcupine	hay	9.99920	efficientnet-b0	squeezenet
ILSVRC2012_val_00000010.png	Angora	-3.52143	starfish	mask	9.98270	efficientnet-b0	squeezenet
ILSVRC2012_val_00000011.png	brain_coral	3.71540	brain_coral	coral_reef	9.97857	efficientnet-b0	squeezenet
ILSVRC2012_val_00000012.png	cougar	12.58418	cougar	tennis_ball	9.99689	efficientnet-b0	squeezenet
ILSVRC2012_val_00000013.png	guenon	12.57585	guenon	jigsaw_puzzle	9.99839	efficientnet-b0	squeezenet
ILSVRC2012_val_00000016.png	grey_whale	3.94862	grey_whale	brass	9.97691	efficientnet-b0	squeezenet
ILSVRC2012_val_00000017.png	sea_anemone	-1.75048	tarantula	quill	9.98660	efficientnet-b0	squeezenet
ILSVRC2012_val_00000018.png	vulture	-2.02099	centipede	tray	9.97778	efficientnet-b0	squeezenet
ILSVRC2012_val_00000021.png	porcupine	2.68006	porcupine	spider_web	9.97731	efficientnet-b0	squeezenet
ILSVRC2012_val_00000022.png	Ibizan_hound	-0.08065	Arabian_camel	lakeside	9.98107	efficientnet-b0	squeezenet
ILSVRC2012_val_00000025.png	vulture	3.24143	vulture	plow	9.98828	efficientnet-b0	squeezenet
ILSVRC2012_val_00000027.png	white_wolf	3.44158	ram	cardigan	9.98101	efficientnet-b0	squeezenet
ILSVRC2012_val_00000028.png	English_foxhound	2.08403	beagle	muzzle	9.98487	efficientnet-b0	squeezenet
ILSVRC2012_val_00000029.png	green_snake	11.87354	green_snake	sombrero	9.97182	efficientnet-b0	squeezenet
ILSVRC2012_val_00000031.png	cabbage_butterfly	0.44208	cabbage_butterfly	pot	9.97841	efficientnet-b0	squeezenet
ILSVRC2012_val_00000033.png	sea_lion	5.22315	terrapin	handkerchief	9.98821	efficientnet-b0	squeezenet
ILSVRC2012_val_00000034.png	ballplayer	-3.71037	ballplayer	cannon	9.22058	efficientnet-b0	squeezenet
ILSVRC2012_val_00000037.png	tailed_frog	2.19773	dragonfly	mosquito_net	9.98189	efficientnet-b0	squeezenet
ILSVRC2012_val_00000040.png	garden_spider	0.81700	cocker_spaniel	spider_web	9.99682	efficientnet-b0	squeezenet
ILSVRC2012_val_00000043.png	spoonbill	5.27504	spoonbill	spindle	9.94415	efficientnet-b0	squeezenet
ILSVRC2012_val_00000044.png	standard_schnauzer	9.78632	standard_schnauzer	muzzle	9.99616	efficientnet-b0	squeezenet
ILSVRC2012_val_00000045.png	Newfoundland	-1.87012	standard_poodle	stole	9.95508	efficientnet-b0	squeezenet
ILSVRC2012_val_00000048.png	English_foxhound	-1.44581	hog	teddy	9.97915	efficientnet-b0	squeezenet
ILSVRC2012_val_00000050.png	sturgeon	-4.81991	gar	stole	9.99685	efficientnet-b0	squeezenet
ILSVRC2012_val_00000051.png	bee_eater	2.70598	dragonfly	broom	9.92413	efficientnet-b0	squeezenet
ILSVRC2012_val_00000052.png	axolotl	0.57749	brain_coral	wool	9.99004	efficientnet-b0	squeezenet
ILSVRC2012_val_00000055.png	polecat	4.21486	weasel	paper_towel	9.94240	efficientnet-b0	squeezenet
ILSVRC2012_val_00000057.png	Pomeranian	6.43876	chow	doormat	9.98246	efficientnet-b0	squeezenet
ILSVRC2012_val_00000058.png	stinkhorn	6.50899	stinkhorn	pot	9.98726	efficientnet-b0	squeezenet
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	1.17985	giant_schnauzer	stole	9.97113	efficientnet-b0	squeezenet
ILSVRC2012_val_00000063.png	jellyfish	-3.31373	loggerhead	sleeping_bag	9.99196	efficientnet-b0	squeezenet
ILSVRC2012_val_00000064.png	green_lizard	0.79207	green_lizard	sock	9.99542	efficientnet-b0	squeezenet
ILSVRC2012_val_00000066.png	eel	3.86566	eel	coral_reef	9.99293	efficientnet-b0	squeezenet
ILSVRC2012_val_00000067.png	tusker	9.24903	tusker	brass	9.95066	efficientnet-b0	squeezenet
ILSVRC2012_val_00000072.png	dugong	0.83975	loggerhead	bath_towel	9.97794	efficientnet-b0	squeezenet
ILSVRC2012_val_00000073.png	kite	0.16074	loggerhead	dogsled	9.98742	efficientnet-b0	squeezenet
ILSVRC2012_val_00000075.png	black_grouse	14.53472	black_grouse	shield	9.97687	efficientnet-b0	squeezenet
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	4.25537	Rhodesian_ridgeback	muzzle	9.97285	efficientnet-b0	squeezenet
ILSVRC2012_val_00000078.png	African_hunting_dog	6.72900	African_hunting_dog	altar	9.98150	efficientnet-b0	squeezenet
ILSVRC2012_val_00000079.png	otterhound	9.58497	Irish_terrier	wig	9.99254	efficientnet-b0	squeezenet
ILSVRC2012_val_00000082.png	Afghan_hound	1.73454	Afghan_hound	stole	9.98754	efficientnet-b0	squeezenet
ILSVRC2012_val_00000084.png	water_snake	4.14780	cicada	honeycomb	9.98320	efficientnet-b0	squeezenet
ILSVRC2012_val_00000087.png	siamang	0.27150	colobus	fountain	9.93211	efficientnet-b0	squeezenet
ILSVRC2012_val_00000088.png	spotted_salamander	2.98596	water_snake	spider_web	9.96652	efficientnet-b0	squeezenet
ILSVRC2012_val_00000090.png	American_alligator	5.17257	American_chameleon	cucumber	9.98291	efficientnet-b0	squeezenet
ILSVRC2012_val_00000091.png	white_wolf	1.62722	llama	teddy	9.99639	efficientnet-b0	squeezenet
ILSVRC2012_val_00000092.png	Madagascar_cat	2.68568	guenon	mitten	9.92405	efficientnet-b0	squeezenet
ILSVRC2012_val_00000093.png	gorilla	5.39778	spider_monkey	dogsled	9.97818	efficientnet-b0	squeezenet
ILSVRC2012_val_00000095.png	macaque	6.73501	titi	teddy	9.97761	efficientnet-b0	squeezenet
ILSVRC2012_val_00000097.png	wood_rabbit	5.04347	wood_rabbit	worm_fence	9.95209	efficientnet-b0	squeezenet
ILSVRC2012_val_00000098.png	dowitcher	5.11033	redshank	bonnet	9.99160	efficientnet-b0	squeezenet
ILSVRC2012_val_00000100.png	bighorn	0.24185	bighorn	maze	9.99387	efficientnet-b0	squeezenet
ILSVRC2012_val_00000102.png	Rhodesian_ridgeback	1.30222	bull_mastiff	muzzle	9.99740	efficientnet-b0	squeezenet
ILSVRC2012_val_00000105.png	silky_terrier	0.85905	silky_terrier	stole	9.98221	efficientnet-b0	squeezenet
ILSVRC2012_val_00000107.png	harvestman	8.49259	harvestman	safety_pin	9.70269	efficientnet-b0	squeezenet
ILSVRC2012_val_00000111.png	American_lobster	-1.49563	American_lobster	corn	9.97743	efficientnet-b0	squeezenet
ILSVRC2012_val_00000113.png	kelpie	3.64838	kelpie	muzzle	9.97756	efficientnet-b0	squeezenet
ILSVRC2012_val_00000115.png	Ibizan_hound	3.24507	Pembroke	doormat	9.90913	efficientnet-b0	squeezenet
ILSVRC2012_val_00000124.png	rock_beauty	2.92153	puffer	teddy	9.97664	efficientnet-b0	squeezenet
ILSVRC2012_val_00000125.png	grasshopper	1.34235	dragonfly	acorn	9.97647	efficientnet-b0	squeezenet
ILSVRC2012_val_00000127.png	impala	0.54920	impala	cliff	9.98653	efficientnet-b0	squeezenet
ILSVRC2012_val_00000128.png	bald_eagle	2.81488	bald_eagle	dogsled	9.97785	efficientnet-b0	squeezenet
ILSVRC2012_val_00000130.png	Persian_cat	3.31205	Persian_cat	fur_coat	9.98568	efficientnet-b0	squeezenet
ILSVRC2012_val_00000133.png	hyena	4.45887	hyena	teddy	9.98953	efficientnet-b0	squeezenet
ILSVRC2012_val_00000134.png	Doberman	-1.84176	cock	unicycle	9.98006	efficientnet-b0	squeezenet
ILSVRC2012_val_00000136.png	warthog	1.54812	Komodo_dragon	stole	9.99680	efficientnet-b0	squeezenet
