img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	8.48041	water_snake	chain	9.77071	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000003.png	Shetland_sheepdog	8.10372	Shetland_sheepdog	soccer_ball	9.68188	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000006.png	garter_snake	4.72453	water_snake	maze	9.98781	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000007.png	porcupine	4.82457	porcupine	quill	9.99920	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000010.png	Angora	-10.28152	Weimaraner	mask	9.98270	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000011.png	brain_coral	4.27702	brain_coral	coral_reef	9.97857	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000012.png	cougar	11.00945	cougar	entertainment_center	9.99689	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000013.png	guenon	8.68160	guenon	frying_pan	9.99839	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000016.png	grey_whale	4.86072	grey_whale	aircraft_carrier	9.97691	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000017.png	sea_anemone	3.84379	starfish	torch	9.98660	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000018.png	vulture	4.89433	kite	Christmas_stocking	9.97778	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000021.png	porcupine	11.76351	porcupine	cardoon	9.97731	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000022.png	Ibizan_hound	3.75551	Ibizan_hound	muzzle	9.98107	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000025.png	vulture	13.77409	vulture	plow	9.98828	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000027.png	white_wolf	9.99440	white_wolf	muzzle	9.98101	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000028.png	English_foxhound	7.74904	Walker_hound	tennis_ball	9.98487	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000029.png	green_snake	5.83050	green_snake	custard_apple	9.97182	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000031.png	cabbage_butterfly	6.30004	cabbage_butterfly	bonnet	9.97841	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000033.png	sea_lion	6.14612	sea_lion	tub	9.98821	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000034.png	ballplayer	-4.72474	sturgeon	ski	9.22058	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000037.png	tailed_frog	0.28850	lacewing	maraca	9.98189	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000040.png	garden_spider	3.63799	garden_spider	spider_web	9.99682	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000043.png	spoonbill	7.45151	spoonbill	spindle	9.94415	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000044.png	standard_schnauzer	6.38013	miniature_schnauzer	doormat	9.99616	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000045.png	Newfoundland	9.33343	Newfoundland	wool	9.95508	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000048.png	English_foxhound	4.14784	beagle	bubble	9.97915	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000050.png	sturgeon	-3.00926	barracouta	stole	9.99685	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000051.png	bee_eater	3.33984	bee_eater	quill	9.92413	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000052.png	axolotl	8.22181	axolotl	spindle	9.99004	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000055.png	polecat	-6.11055	Siamese_cat	paper_towel	9.94240	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000057.png	Pomeranian	1.01370	chow	muzzle	9.98246	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000058.png	stinkhorn	17.34739	stinkhorn	mushroom	9.98726	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	2.20278	curly-coated_retriever	worm_fence	9.97113	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000063.png	jellyfish	0.62977	leatherback_turtle	quilt	9.99196	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000064.png	green_lizard	7.28275	green_lizard	sock	9.99542	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000066.png	eel	2.53535	eel	coral_reef	9.99293	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000067.png	tusker	12.05196	tusker	jean	9.95066	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000072.png	dugong	-0.61366	armadillo	diaper	9.97794	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000073.png	kite	1.80085	African_grey	quilt	9.98742	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000075.png	black_grouse	10.83687	black_grouse	cowboy_boot	9.97687	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	-1.85361	Saluki	muzzle	9.97285	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000078.png	African_hunting_dog	12.09936	African_hunting_dog	drum	9.98150	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000079.png	otterhound	5.57015	otterhound	Crock_Pot	9.99254	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000082.png	Afghan_hound	10.60601	Afghan_hound	fur_coat	9.98754	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000084.png	water_snake	2.61827	ant	spider_web	9.98320	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000087.png	siamang	2.19400	gibbon	car_mirror	9.93211	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000088.png	spotted_salamander	4.45922	European_fire_salamander	altar	9.96652	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000090.png	American_alligator	11.04346	American_alligator	running_shoe	9.98291	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000091.png	white_wolf	6.96181	white_wolf	teddy	9.99639	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000092.png	Madagascar_cat	7.33924	indri	mitten	9.92405	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000093.png	gorilla	5.01523	spider_monkey	oxcart	9.97818	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000095.png	macaque	6.08846	macaque	teddy	9.97761	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000097.png	wood_rabbit	4.68889	hare	maze	9.95209	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000098.png	dowitcher	9.13200	dowitcher	syringe	9.99160	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000100.png	bighorn	-3.13088	bighorn	maze	9.99387	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000102.png	Rhodesian_ridgeback	-2.09932	Rhodesian_ridgeback	muzzle	9.99740	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000105.png	silky_terrier	-2.74542	silky_terrier	wig	9.98221	efficientnet-b0	wide_resnet50_2
