img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	6.02197	rock_python	safety_pin	9.29473	wide_resnet50_2	efficientnet-b0
ILSVRC2012_val_00000003.png	Shetland_sheepdog	8.51758	Shetland_sheepdog	bath_towel	9.91303	wide_resnet50_2	efficientnet-b0
ILSVRC2012_val_00000006.png	garter_snake	5.58361	night_snake	hook	9.81889	wide_resnet50_2	efficientnet-b0
ILSVRC2012_val_00000007.png	porcupine	8.49475	porcupine	chain_mail	9.25015	wide_resnet50_2	efficientnet-b0
ILSVRC2012_val_00000010.png	Angora	-3.33956	toy_poodle	teddy	9.66804	wide_resnet50_2	efficientnet-b0
ILSVRC2012_val_00000011.png	brain_coral	4.78870	brain_coral	coral_reef	9.68222	wide_resnet50_2	efficientnet-b0
ILSVRC2012_val_00000012.png	cougar	9.90801	cougar	bucket	9.55266	wide_resnet50_2	efficientnet-b0
ILSVRC2012_val_00000013.png	guenon	7.27968	guenon	broccoli	9.78022	wide_resnet50_2	efficientnet-b0
ILSVRC2012_val_00000016.png	grey_whale	6.17518	grey_whale	volcano	9.74412	wide_resnet50_2	efficientnet-b0
ILSVRC2012_val_00000017.png	sea_anemone	0.67946	starfish	torch	9.62695	wide_resnet50_2	efficientnet-b0
ILSVRC2012_val_00000018.png	vulture	1.43359	bald_eagle	feather_boa	9.72576	wide_resnet50_2	efficientnet-b0
ILSVRC2012_val_00000021.png	porcupine	5.07528	porcupine	spider_web	9.75691	wide_resnet50_2	efficientnet-b0
ILSVRC2012_val_00000022.png	Ibizan_hound	-1.35092	ox	assault_rifle	9.47046	wide_resnet50_2	efficientnet-b0
ILSVRC2012_val_00000025.png	vulture	7.46445	vulture	thresher	9.75884	wide_resnet50_2	efficientnet-b0
ILSVRC2012_val_00000027.png	white_wolf	7.55740	white_wolf	jigsaw_puzzle	9.29249	wide_resnet50_2	efficientnet-b0
ILSVRC2012_val_00000028.png	English_foxhound	5.05252	beagle	tennis_ball	9.56248	wide_resnet50_2	efficientnet-b0
ILSVRC2012_val_00000029.png	green_snake	6.13341	green_mamba	cucumber	9.59473	wide_resnet50_2	efficientnet-b0
ILSVRC2012_val_00000031.png	cabbage_butterfly	5.43883	cabbage_butterfly	head_cabbage	9.46620	wide_resnet50_2	efficientnet-b0
ILSVRC2012_val_00000033.png	sea_lion	-2.07062	otter	jigsaw_puzzle	9.77586	wide_resnet50_2	efficientnet-b0
ILSVRC2012_val_00000034.png	ballplayer	0.12258	ballplayer	military_uniform	9.66987	wide_resnet50_2	efficientnet-b0
ILSVRC2012_val_00000037.png	tailed_frog	-0.56958	terrapin	maraca	9.95084	wide_resnet50_2	efficientnet-b0
ILSVRC2012_val_00000040.png	garden_spider	2.14317	garden_spider	spider_web	9.67343	wide_resnet50_2	efficientnet-b0
ILSVRC2012_val_00000043.png	spoonbill	8.04672	spoonbill	croquet_ball	9.66918	wide_resnet50_2	efficientnet-b0
ILSVRC2012_val_00000044.png	standard_schnauzer	5.57122	miniature_schnauzer	doormat	9.81353	wide_resnet50_2	efficientnet-b0
ILSVRC2012_val_00000045.png	Newfoundland	4.32087	Newfoundland	stole	9.40915	wide_resnet50_2	efficientnet-b0
ILSVRC2012_val_00000048.png	English_foxhound	3.66468	Cardigan	bubble	9.79776	wide_resnet50_2	efficientnet-b0
ILSVRC2012_val_00000050.png	sturgeon	2.03453	gar	butcher_shop	0.00000	wide_resnet50_2	efficientnet-b0
