img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-3.35670	nematode	jigsaw_puzzle	19.45234	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000003.png	Shetland_sheepdog	-33.57565	Lakeland_terrier	jigsaw_puzzle	19.58742	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000006.png	garter_snake	-13.31116	nematode	safety_pin	19.22738	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000007.png	porcupine	-2.93382	Egyptian_cat	prayer_rug	19.35909	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000010.png	Angora	-2.43706	leaf_beetle	teapot	19.20802	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000011.png	brain_coral	6.85987	brain_coral	maze	19.31346	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000012.png	cougar	2.23452	cougar	shower_curtain	18.96954	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000013.png	guenon	-1.72733	langur	jigsaw_puzzle	19.29389	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000016.png	grey_whale	-2.88166	American_alligator	manhole_cover	19.62165	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000017.png	sea_anemone	-8.78083	groom	altar	19.23582	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000018.png	vulture	4.81727	vulture	jigsaw_puzzle	19.10793	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000021.png	porcupine	-28.42360	peacock	bubble	19.49952	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000022.png	Ibizan_hound	-2.11237	dalmatian	dogsled	19.19048	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000025.png	vulture	1.59307	vulture	stole	19.60661	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000027.png	white_wolf	-5.57395	kuvasz	jigsaw_puzzle	19.34606	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000028.png	English_foxhound	-1.92841	Labrador_retriever	bath_towel	17.62806	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000029.png	green_snake	4.40765	green_snake	quilt	18.95233	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000031.png	cabbage_butterfly	-6.73239	cabbage_butterfly	head_cabbage	18.88054	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000033.png	sea_lion	-0.42326	bullfrog	jigsaw_puzzle	19.59334	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000034.png	ballplayer	-4.17015	ballplayer	ski	19.24469	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000037.png	tailed_frog	-3.96322	stingray	strainer	19.42743	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000040.png	garden_spider	-19.49869	leaf_beetle	jigsaw_puzzle	19.32439	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000043.png	spoonbill	1.47363	spoonbill	barrow	18.98933	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000044.png	standard_schnauzer	-19.24565	triceratops	jigsaw_puzzle	19.59556	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000045.png	Newfoundland	-1.39517	Newfoundland	stole	19.02054	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000048.png	English_foxhound	-36.71739	malamute	jigsaw_puzzle	19.52559	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000050.png	sturgeon	-6.74905	Irish_water_spaniel	wool	19.21574	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000051.png	bee_eater	-7.07656	partridge	jigsaw_puzzle	19.49873	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000052.png	axolotl	-3.38197	sea_slug	paper_towel	19.12836	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000055.png	polecat	-6.16079	Siamese_cat	quilt	19.41725	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000057.png	Pomeranian	-26.11454	Persian_cat	jigsaw_puzzle	19.26089	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000058.png	stinkhorn	4.26389	stinkhorn	broccoli	19.34906	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	-6.54165	starfish	sock	19.38557	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000063.png	jellyfish	-7.92815	brain_coral	stole	18.97046	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000064.png	green_lizard	-0.61988	green_lizard	vestment	19.63133	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000066.png	eel	-6.38778	brain_coral	cardigan	19.11868	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000067.png	tusker	-0.86523	tusker	cardigan	19.60378	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000072.png	dugong	-4.92447	Siamese_cat	quilt	19.32423	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000073.png	kite	-12.12761	hen	jigsaw_puzzle	18.56804	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000075.png	black_grouse	8.65219	black_grouse	jigsaw_puzzle	19.50084	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	-6.78253	Leonberg	toyshop	19.39375	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000078.png	African_hunting_dog	-3.08800	African_hunting_dog	vault	19.36868	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000079.png	otterhound	-2.65060	Arabian_camel	poncho	19.55022	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000082.png	Afghan_hound	-9.15048	Afghan_hound	sarong	19.48652	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000084.png	water_snake	-7.66132	dragonfly	bubble	18.44389	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000087.png	siamang	-4.99515	peacock	spider_web	18.85734	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000088.png	spotted_salamander	-25.19925	sea_slug	bubble	19.49930	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000090.png	American_alligator	3.61014	American_alligator	quilt	19.15382	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000091.png	white_wolf	-9.72564	kuvasz	mask	18.63840	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000092.png	Madagascar_cat	-6.18285	tarantula	stole	19.39088	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000093.png	gorilla	-11.14584	Indian_elephant	bubble	19.11619	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000095.png	macaque	-5.20464	Persian_cat	jigsaw_puzzle	19.41929	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000097.png	wood_rabbit	-10.27409	sea_cucumber	jigsaw_puzzle	19.58483	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000098.png	dowitcher	-7.81554	peacock	bubble	18.80820	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000100.png	bighorn	-27.67722	brain_coral	maze	19.39683	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000102.png	Rhodesian_ridgeback	3.68323	Great_Dane	shower_cap	19.35236	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000105.png	silky_terrier	-10.69916	hermit_crab	stole	19.60657	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000107.png	harvestman	3.13460	harvestman	spider_web	19.78234	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000111.png	American_lobster	-27.28921	crayfish	jigsaw_puzzle	19.43364	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000113.png	kelpie	-15.31861	kelpie	jigsaw_puzzle	19.41755	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000115.png	Ibizan_hound	-4.95487	Egyptian_cat	pencil_box	19.07691	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000124.png	rock_beauty	-3.37788	sea_slug	purse	19.43081	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000125.png	grasshopper	-8.11112	ruffed_grouse	acorn	19.38399	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000127.png	impala	-3.77744	rock_python	valley	19.46876	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000128.png	bald_eagle	-1.54992	kite	jigsaw_puzzle	19.62756	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000130.png	Persian_cat	-8.06857	Lakeland_terrier	jigsaw_puzzle	19.65941	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000133.png	hyena	-4.88757	partridge	poncho	19.65025	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000134.png	Doberman	-15.52404	tusker	bubble	19.61893	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000136.png	warthog	-2.10789	West_Highland_white_terrier	bath_towel	19.49000	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000138.png	sea_urchin	-3.37533	peacock	wool	19.99848	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000141.png	bloodhound	-9.56891	Egyptian_cat	paper_towel	19.98875	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000142.png	sea_urchin	-6.06940	brain_coral	coral_reef	19.93465	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000147.png	toy_poodle	-8.84633	tabby	cowboy_boot	19.74190	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000153.png	common_iguana	5.85515	common_iguana	velvet	19.97256	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000154.png	sea_slug	0.19057	sea_slug	coral_reef	19.98564	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000156.png	coyote	-7.34036	Egyptian_cat	quilt	19.79503	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000157.png	red_fox	-10.89692	starfish	sock	19.47913	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000161.png	Irish_setter	-15.94729	tabby	jigsaw_puzzle	19.99786	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000170.png	toy_terrier	-19.25909	lionfish	pinwheel	19.80292	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000172.png	English_setter	-31.81551	badger	jigsaw_puzzle	19.65482	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000174.png	Great_Pyrenees	-1.39453	triceratops	piggy_bank	19.45039	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000176.png	miniature_schnauzer	-10.96126	Kerry_blue_terrier	jigsaw_puzzle	19.99312	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000177.png	red-backed_sandpiper	0.70291	peacock	jigsaw_puzzle	19.99895	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000178.png	Eskimo_dog	-30.89407	starfish	jigsaw_puzzle	19.99935	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000179.png	sorrel	-9.11923	Arabian_camel	vestment	19.99455	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000180.png	Shetland_sheepdog	-8.90271	starfish	sock	19.39990	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000181.png	skunk	-11.91660	conch	panpipe	19.67444	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000186.png	snow_leopard	-8.43561	tiger_cat	jean	19.62157	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000188.png	coyote	-25.45507	badger	jigsaw_puzzle	19.79457	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000189.png	platypus	-5.51470	nematode	breastplate	19.96368	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000191.png	American_Staffordshire_terrier	-12.63301	Lakeland_terrier	jigsaw_puzzle	19.78617	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000195.png	Dungeness_crab	-11.39517	rock_crab	fig	19.99483	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000196.png	lionfish	10.97284	lionfish	pinwheel	19.93138	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000198.png	bulbul	0.00202	African_grey	backpack	19.59202	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000200.png	gyromitra	0.57930	gyromitra	mushroom	19.99150	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000203.png	Bouvier_des_Flandres	-1.82897	brain_coral	broccoli	19.99004	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000206.png	proboscis_monkey	-11.06208	common_iguana	jackfruit	19.99104	densenet-121	resnext50_32x4d
ILSVRC2012_val_00000207.png	albatross	-4.97230	ruffed_grouse	spider_web	19.53086	densenet-121	resnext50_32x4d
