img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-10.42668	American_alligator	bath_towel	19.99280	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000003.png	Shetland_sheepdog	-8.42911	walking_stick	cardigan	19.96891	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000006.png	garter_snake	-6.47652	nematode	cardigan	19.95089	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000007.png	porcupine	-6.87904	Lakeland_terrier	shopping_cart	19.85932	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000010.png	Angora	-8.56421	brain_coral	teddy	18.87883	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000011.png	brain_coral	1.66999	brain_coral	dome	19.95129	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000012.png	cougar	-5.59356	tiger_cat	jigsaw_puzzle	19.62144	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000013.png	guenon	-9.04111	sea_anemone	tray	19.89453	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000016.png	grey_whale	-7.22836	peacock	prayer_rug	19.95135	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000017.png	sea_anemone	-7.99453	Indian_cobra	shopping_basket	19.97128	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000018.png	vulture	-7.79377	starfish	jigsaw_puzzle	19.98609	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000021.png	porcupine	-0.39874	peacock	chainlink_fence	19.98544	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000022.png	Ibizan_hound	-4.99819	tusker	shield	19.95788	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000025.png	vulture	-2.13240	peacock	handkerchief	19.96750	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000027.png	white_wolf	-6.89579	tabby	doormat	19.98386	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000028.png	English_foxhound	-6.56720	snail	thimble	19.95844	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000029.png	green_snake	-5.50853	peacock	cucumber	19.95818	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000031.png	cabbage_butterfly	-5.35449	Chihuahua	mask	19.97870	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000033.png	sea_lion	-3.43521	terrapin	ocarina	19.86179	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000034.png	ballplayer	-7.66598	banded_gecko	ski	18.41495	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000037.png	tailed_frog	-6.08538	nematode	ladle	18.96238	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000040.png	garden_spider	0.11325	tick	spider_web	19.97808	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000043.png	spoonbill	-4.26414	spoonbill	tricycle	19.94734	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000044.png	standard_schnauzer	-9.40209	dragonfly	sock	19.95945	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000045.png	Newfoundland	-10.20562	ruffed_grouse	stole	19.92884	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000048.png	English_foxhound	-5.33429	Irish_terrier	teddy	18.98209	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000050.png	sturgeon	-6.43517	gar	packet	19.92721	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000051.png	bee_eater	-8.59449	spiny_lobster	bow	19.96870	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000052.png	axolotl	-11.31264	brain_coral	bath_towel	19.94372	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000055.png	polecat	-3.91057	miniature_poodle	teddy	19.98782	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000057.png	Pomeranian	-7.94068	chow	handkerchief	19.90423	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000058.png	stinkhorn	-5.37122	stinkhorn	safety_pin	19.97809	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	-3.11982	peacock	wool	19.90345	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000063.png	jellyfish	-8.06336	brain_coral	handkerchief	19.95237	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000064.png	green_lizard	-5.71448	green_snake	goblet	19.86846	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000066.png	eel	-3.80430	brain_coral	sombrero	19.94818	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000067.png	tusker	-3.33265	triceratops	pedestal	19.88835	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000072.png	dugong	-6.90033	conch	purse	19.95758	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000073.png	kite	-1.29340	dragonfly	necklace	18.61909	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000075.png	black_grouse	2.80922	black_grouse	spindle	19.98544	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	-4.76191	English_setter	muzzle	19.85370	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000078.png	African_hunting_dog	-8.24805	groom	fur_coat	19.95470	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000079.png	otterhound	-6.86773	hermit_crab	teddy	19.97711	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000082.png	Afghan_hound	-8.88892	boa_constrictor	vestment	19.90561	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000084.png	water_snake	-1.88857	dragonfly	screw	19.99034	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000087.png	siamang	-3.54989	brain_coral	wool	19.95392	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000088.png	spotted_salamander	-6.54479	ruffed_grouse	bubble	19.97197	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000090.png	American_alligator	-3.77877	tarantula	beer_bottle	19.91518	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000091.png	white_wolf	-6.37159	Scottish_deerhound	mitten	19.92491	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000092.png	Madagascar_cat	0.28593	meerkat	ear	19.86873	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000093.png	gorilla	-5.33577	Indian_elephant	mask	19.94786	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000095.png	macaque	-6.87687	ballplayer	ski_mask	19.88933	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000097.png	wood_rabbit	-9.74762	Indian_elephant	poncho	19.97052	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000098.png	dowitcher	-0.51592	redshank	syringe	19.91473	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000100.png	bighorn	-7.74842	harvestman	bow	19.94067	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000102.png	Rhodesian_ridgeback	-6.67063	Airedale	muzzle	19.55939	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000105.png	silky_terrier	-9.72724	guinea_pig	wig	19.97851	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000107.png	harvestman	1.12996	harvestman	umbrella	19.92018	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000111.png	American_lobster	-3.97214	crayfish	restaurant	19.84469	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000113.png	kelpie	-8.16258	miniature_pinscher	holster	19.63625	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000115.png	Ibizan_hound	-8.47785	ringneck_snake	tray	19.96247	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000124.png	rock_beauty	-1.87696	puffer	bonnet	19.96966	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000125.png	grasshopper	-5.33766	brain_coral	necklace	19.96698	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000127.png	impala	-8.72248	water_buffalo	shopping_cart	19.95847	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000128.png	bald_eagle	-7.04029	red-backed_sandpiper	jigsaw_puzzle	19.98043	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000130.png	Persian_cat	-0.65740	cocker_spaniel	teddy	19.85433	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000133.png	hyena	5.15308	hyena	muzzle	18.21214	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000134.png	Doberman	-7.69708	black_and_gold_garden_spider	maypole	19.05883	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000136.png	warthog	-8.04957	night_snake	apron	19.96804	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000138.png	sea_urchin	-5.19329	jellyfish	velvet	19.99761	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000141.png	bloodhound	-8.56003	triceratops	jigsaw_puzzle	19.77062	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000142.png	sea_urchin	-6.43137	lionfish	stole	19.81334	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000147.png	toy_poodle	-4.73071	brain_coral	handkerchief	19.71379	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000153.png	common_iguana	-0.73048	common_iguana	velvet	19.70403	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000154.png	sea_slug	0.17695	flatworm	coral_reef	19.29609	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000156.png	coyote	0.64374	lynx	shopping_cart	18.92409	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000157.png	red_fox	-5.80719	Persian_cat	teddy	19.74893	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000161.png	Irish_setter	-7.10699	tabby	muzzle	19.42534	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000170.png	toy_terrier	-6.88749	ballplayer	jigsaw_puzzle	18.22412	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000172.png	English_setter	2.18106	English_setter	handkerchief	18.38150	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000174.png	Great_Pyrenees	-5.58349	triceratops	toyshop	18.97014	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000176.png	miniature_schnauzer	-1.23082	Scotch_terrier	feather_boa	19.05749	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000177.png	red-backed_sandpiper	-9.66202	centipede	handkerchief	19.98016	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000178.png	Eskimo_dog	-4.61053	Egyptian_cat	sock	19.78273	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000179.png	sorrel	-0.41081	sorrel	jigsaw_puzzle	19.52173	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000180.png	Shetland_sheepdog	-5.81431	tabby	remote_control	19.19532	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000181.png	skunk	-2.12389	Afghan_hound	jigsaw_puzzle	19.79036	efficientnet-b0-advtrain	efficientnet-b0
ILSVRC2012_val_00000186.png	snow_leopard	-8.70040	peacock	cardigan	19.54470	efficientnet-b0-advtrain	efficientnet-b0
