img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-0.64166	boa_constrictor	chain	19.99894	resnet18	efficientnet-b0
ILSVRC2012_val_00000003.png	Shetland_sheepdog	-3.15222	malamute	jigsaw_puzzle	19.99825	resnet18	efficientnet-b0
ILSVRC2012_val_00000006.png	garter_snake	1.75503	water_snake	quilt	19.71153	resnet18	efficientnet-b0
ILSVRC2012_val_00000007.png	porcupine	0.12915	porcupine	hay	19.99035	resnet18	efficientnet-b0
ILSVRC2012_val_00000010.png	Angora	-3.07056	triceratops	jigsaw_puzzle	18.55779	resnet18	efficientnet-b0
ILSVRC2012_val_00000011.png	brain_coral	4.48825	brain_coral	jackfruit	19.55328	resnet18	efficientnet-b0
ILSVRC2012_val_00000012.png	cougar	3.68689	cougar	jigsaw_puzzle	19.56044	resnet18	efficientnet-b0
ILSVRC2012_val_00000013.png	guenon	1.92270	langur	jigsaw_puzzle	19.26051	resnet18	efficientnet-b0
ILSVRC2012_val_00000016.png	grey_whale	-2.87425	leatherback_turtle	jigsaw_puzzle	19.99678	resnet18	efficientnet-b0
ILSVRC2012_val_00000017.png	sea_anemone	-4.01747	groom	altar	19.09513	resnet18	efficientnet-b0
ILSVRC2012_val_00000018.png	vulture	-5.59857	bald_eagle	jigsaw_puzzle	19.26601	resnet18	efficientnet-b0
ILSVRC2012_val_00000021.png	porcupine	1.80749	porcupine	spider_web	19.40068	resnet18	efficientnet-b0
ILSVRC2012_val_00000022.png	Ibizan_hound	-6.23950	bloodhound	jigsaw_puzzle	19.58649	resnet18	efficientnet-b0
ILSVRC2012_val_00000025.png	vulture	0.01855	vulture	plow	19.58722	resnet18	efficientnet-b0
ILSVRC2012_val_00000027.png	white_wolf	5.79540	white_wolf	teddy	19.99739	resnet18	efficientnet-b0
ILSVRC2012_val_00000028.png	English_foxhound	4.65257	beagle	jigsaw_puzzle	19.59273	resnet18	efficientnet-b0
ILSVRC2012_val_00000029.png	green_snake	2.17989	green_snake	cucumber	19.59024	resnet18	efficientnet-b0
ILSVRC2012_val_00000031.png	cabbage_butterfly	4.86445	sulphur_butterfly	head_cabbage	18.48463	resnet18	efficientnet-b0
ILSVRC2012_val_00000033.png	sea_lion	-7.78486	red-backed_sandpiper	jigsaw_puzzle	19.99777	resnet18	efficientnet-b0
ILSVRC2012_val_00000034.png	ballplayer	2.86712	ballplayer	unicycle	0.00000	resnet18	efficientnet-b0
ILSVRC2012_val_00000037.png	tailed_frog	-4.29583	starfish	jigsaw_puzzle	19.77467	resnet18	efficientnet-b0
ILSVRC2012_val_00000040.png	garden_spider	0.26716	garden_spider	spider_web	19.94789	resnet18	efficientnet-b0
ILSVRC2012_val_00000043.png	spoonbill	7.16638	spoonbill	lipstick	19.72143	resnet18	efficientnet-b0
ILSVRC2012_val_00000044.png	standard_schnauzer	3.69884	miniature_schnauzer	knot	19.68524	resnet18	efficientnet-b0
ILSVRC2012_val_00000045.png	Newfoundland	-1.76586	Newfoundland	stole	19.99430	resnet18	efficientnet-b0
ILSVRC2012_val_00000048.png	English_foxhound	0.70635	hog	teddy	19.31973	resnet18	efficientnet-b0
ILSVRC2012_val_00000050.png	sturgeon	-7.01156	bald_eagle	vestment	19.01869	resnet18	efficientnet-b0
ILSVRC2012_val_00000051.png	bee_eater	-6.96869	coral_fungus	jigsaw_puzzle	19.61284	resnet18	efficientnet-b0
ILSVRC2012_val_00000052.png	axolotl	-4.63421	starfish	jigsaw_puzzle	19.35019	resnet18	efficientnet-b0
ILSVRC2012_val_00000055.png	polecat	-3.69592	triceratops	jigsaw_puzzle	19.37146	resnet18	efficientnet-b0
ILSVRC2012_val_00000057.png	Pomeranian	3.95302	keeshond	jigsaw_puzzle	18.73949	resnet18	efficientnet-b0
