img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-55.79959	hammerhead	jigsaw_puzzle	18.54726	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000003.png	Shetland_sheepdog	-2.12210	macaque	mask	18.35613	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000006.png	garter_snake	-39.85199	ox	jigsaw_puzzle	18.46181	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000007.png	porcupine	-31.01616	Komodo_dragon	sock	18.21751	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000010.png	Angora	-5.97187	sea_urchin	piggy_bank	18.23401	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000011.png	brain_coral	-11.87197	brain_coral	jackfruit	18.29999	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000012.png	cougar	-8.68926	Indian_elephant	mask	18.13570	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000013.png	guenon	-42.27509	Persian_cat	jigsaw_puzzle	18.54863	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000016.png	grey_whale	-21.47335	peacock	stole	18.57949	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000017.png	sea_anemone	-23.82139	groom	vestment	17.85157	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000018.png	vulture	-45.25600	hammerhead	jigsaw_puzzle	17.81769	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000021.png	porcupine	-68.90217	jellyfish	bubble	18.61467	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000022.png	Ibizan_hound	-53.95021	Persian_cat	jigsaw_puzzle	17.67771	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000025.png	vulture	-19.11235	stingray	handkerchief	18.54996	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000027.png	white_wolf	-56.22428	malamute	jigsaw_puzzle	18.57108	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000028.png	English_foxhound	-15.17762	Labrador_retriever	toilet_tissue	17.84927	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000029.png	green_snake	-18.06716	night_snake	cup	17.83782	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000031.png	cabbage_butterfly	-5.24865	cabbage_butterfly	coral_reef	17.39357	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000033.png	sea_lion	-19.38643	zebra	mask	18.27491	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000034.png	ballplayer	-26.51028	ballplayer	military_uniform	18.14617	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000037.png	tailed_frog	-12.23743	Italian_greyhound	handkerchief	18.71924	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000040.png	garden_spider	-38.71807	leaf_beetle	jigsaw_puzzle	18.46961	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000043.png	spoonbill	-17.35955	starfish	stole	18.27520	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000044.png	standard_schnauzer	-8.94150	West_Highland_white_terrier	jigsaw_puzzle	18.70506	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000045.png	Newfoundland	-21.36903	peacock	stole	18.09283	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000048.png	English_foxhound	-10.34681	triceratops	paper_towel	18.45003	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000050.png	sturgeon	-26.92078	peacock	stole	18.23391	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000051.png	bee_eater	-52.96178	hammerhead	jigsaw_puzzle	18.62424	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000052.png	axolotl	-57.80147	brain_coral	jigsaw_puzzle	18.40081	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000055.png	polecat	-27.70027	Siamese_cat	diaper	18.47886	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000057.png	Pomeranian	-14.37301	Chihuahua	cradle	17.75866	resnext50_32x4d	resnext50_32x4d
ILSVRC2012_val_00000058.png	stinkhorn	-26.33422	snail	maraca	18.36576	resnext50_32x4d	resnext50_32x4d
