img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	3.10151	sea_snake	sandbar	2.97222	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000003.png	Shetland_sheepdog	8.80186	Shetland_sheepdog	crutch	2.90215	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000006.png	garter_snake	9.02592	sea_snake	worm_fence	2.95986	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000007.png	porcupine	7.84091	porcupine	quill	2.97830	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000010.png	Angora	-5.05951	toy_poodle	wig	2.98481	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000011.png	brain_coral	5.30426	brain_coral	coral_reef	2.96676	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000012.png	cougar	9.99352	cougar	ear	2.89025	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000013.png	guenon	10.25737	guenon	frying_pan	2.98347	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000016.png	grey_whale	20.55097	grey_whale	promontory	2.97434	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000017.png	sea_anemone	1.77536	starfish	torch	2.96098	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000018.png	vulture	3.15538	kite	swimming_trunks	2.98332	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000021.png	porcupine	9.10650	porcupine	barrow	2.92313	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000022.png	Ibizan_hound	6.58512	whippet	muzzle	2.96460	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000025.png	vulture	16.48154	vulture	amphibian	2.98358	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000027.png	white_wolf	15.60302	white_wolf	dogsled	3.00000	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000028.png	English_foxhound	4.82740	Walker_hound	bath_towel	2.96868	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000029.png	green_snake	8.55897	green_snake	confectionery	2.95916	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000031.png	cabbage_butterfly	9.20798	cabbage_butterfly	head_cabbage	2.95729	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000033.png	sea_lion	5.14542	sea_lion	strainer	2.91527	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000034.png	ballplayer	-4.86408	ballplayer	military_uniform	2.97254	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000037.png	tailed_frog	-2.06515	American_alligator	ladle	2.97173	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000040.png	garden_spider	3.68807	garden_spider	spider_web	2.95998	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000043.png	spoonbill	7.66932	spoonbill	goblet	2.97210	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000044.png	standard_schnauzer	10.25038	standard_schnauzer	scale	2.95731	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000045.png	Newfoundland	7.77010	Newfoundland	muzzle	2.99566	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000048.png	English_foxhound	1.34409	beagle	shower_cap	2.94624	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000050.png	sturgeon	-3.77668	coho	butcher_shop	2.96314	densenet-121	wide_resnet50_2
ILSVRC2012_val_00000051.png	bee_eater	6.32091	bee_eater	quill	2.97850	densenet-121	wide_resnet50_2
