img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	7.69636	rock_python	running_shoe	2.98895	resnet18	resnet50
ILSVRC2012_val_00000003.png	Shetland_sheepdog	6.82416	Shetland_sheepdog	plastic_bag	2.95350	resnet18	resnet50
ILSVRC2012_val_00000006.png	garter_snake	9.48926	water_snake	worm_fence	2.96161	resnet18	resnet50
ILSVRC2012_val_00000007.png	porcupine	11.04127	porcupine	mortar	2.98423	resnet18	resnet50
ILSVRC2012_val_00000010.png	Angora	-9.87734	toy_poodle	wig	2.98761	resnet18	resnet50
ILSVRC2012_val_00000011.png	brain_coral	5.12571	brain_coral	coral_reef	2.98842	resnet18	resnet50
ILSVRC2012_val_00000012.png	cougar	16.83860	cougar	remote_control	2.98711	resnet18	resnet50
ILSVRC2012_val_00000013.png	guenon	14.39051	guenon	breastplate	2.95037	resnet18	resnet50
ILSVRC2012_val_00000016.png	grey_whale	13.68075	grey_whale	submarine	2.99152	resnet18	resnet50
ILSVRC2012_val_00000017.png	sea_anemone	0.76934	starfish	nail	2.98919	resnet18	resnet50
ILSVRC2012_val_00000018.png	vulture	4.00904	kite	shower_curtain	2.95925	resnet18	resnet50
ILSVRC2012_val_00000021.png	porcupine	13.54434	porcupine	honeycomb	2.94592	resnet18	resnet50
ILSVRC2012_val_00000022.png	Ibizan_hound	1.23530	Saluki	barrow	2.95600	resnet18	resnet50
ILSVRC2012_val_00000025.png	vulture	13.27150	vulture	plow	2.98833	resnet18	resnet50
ILSVRC2012_val_00000027.png	white_wolf	11.33384	white_wolf	dogsled	2.99036	resnet18	resnet50
ILSVRC2012_val_00000028.png	English_foxhound	2.36150	Walker_hound	shower_cap	2.86632	resnet18	resnet50
ILSVRC2012_val_00000029.png	green_snake	7.15020	green_snake	confectionery	2.97051	resnet18	resnet50
ILSVRC2012_val_00000031.png	cabbage_butterfly	3.95674	cabbage_butterfly	head_cabbage	2.93876	resnet18	resnet50
ILSVRC2012_val_00000033.png	sea_lion	3.05214	terrapin	jigsaw_puzzle	2.94990	resnet18	resnet50
ILSVRC2012_val_00000034.png	ballplayer	1.92945	ballplayer	military_uniform	0.00000	resnet18	resnet50
ILSVRC2012_val_00000037.png	tailed_frog	2.74912	terrapin	hammer	2.99055	resnet18	resnet50
ILSVRC2012_val_00000040.png	garden_spider	1.24304	garden_spider	spider_web	2.99014	resnet18	resnet50
ILSVRC2012_val_00000043.png	spoonbill	13.78233	spoonbill	tricycle	2.99572	resnet18	resnet50
ILSVRC2012_val_00000044.png	standard_schnauzer	16.64047	standard_schnauzer	ping-pong_ball	2.95034	resnet18	resnet50
ILSVRC2012_val_00000045.png	Newfoundland	4.31929	Newfoundland	wool	2.94284	resnet18	resnet50
ILSVRC2012_val_00000048.png	English_foxhound	3.32416	Cardigan	muzzle	2.98712	resnet18	resnet50
ILSVRC2012_val_00000050.png	sturgeon	1.01470	gar	butcher_shop	2.94607	resnet18	resnet50
ILSVRC2012_val_00000051.png	bee_eater	5.51590	macaw	umbrella	2.98945	resnet18	resnet50
ILSVRC2012_val_00000052.png	axolotl	15.51428	axolotl	corn	2.97573	resnet18	resnet50
ILSVRC2012_val_00000055.png	polecat	-16.04889	hamster	bassinet	2.99037	resnet18	resnet50
ILSVRC2012_val_00000057.png	Pomeranian	8.90749	Pomeranian	toilet_tissue	2.98795	resnet18	resnet50
ILSVRC2012_val_00000058.png	stinkhorn	12.83407	stinkhorn	mushroom	2.99116	resnet18	resnet50
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	1.91571	curly-coated_retriever	mitten	2.99022	resnet18	resnet50
